Date, YTD, MTD, Day
01/02/2018, 0.28%, 0.28%, 0.28%
01/03/2018, 0.56%, 0.56%, 0.29%
01/04/2018, 0.87%, 0.87%, 0.3%
01/05/2018, 1.12%, 1.12%, 0.25%
01/08/2018, 1.16%, 1.16%, 0.04%
01/09/2018, 0.98%, 0.98%, -0.18%
01/10/2018, 0.91%, 0.91%, -0.08%
01/11/2018, 1.27%, 1.27%, 0.35%
01/12/2018, 1.61%, 1.61%, 0.33%
01/16/2018, 1.57%, 1.57%, -0.03%
01/17/2018, 1.83%, 1.83%, 0.24%
01/18/2018, 1.57%, 1.57%, -0.25%
01/19/2018, 1.74%, 1.74%, 0.15%
01/22/2018, 2.07%, 2.07%, 0.31%
01/23/2018, 2.31%, 2.31%, 0.24%
01/24/2018, 2.27%, 2.27%, -0.05%
01/25/2018, 2.37%, 2.37%, 0.11%
01/26/2018, 2.74%, 2.74%, 0.34%
01/29/2018, 2.25%, 2.25%, -0.46%
01/30/2018, 1.66%, 1.66%, -0.56%
01/31/2018, 1.73%, 1.73%, 0.07%
02/01/2018, 1.56%, -0.18%, -0.18%
02/02/2018, 0.41%, -1.28%, -1.1%
02/05/2018, -1.06%, -2.65%, -1.41%
02/06/2018, -0.62%, -2.25%, 0.44%
02/07/2018, -1.16%, -2.77%, -0.54%
02/08/2018, -2.48%, -4.03%, -1.32%
02/09/2018, -2.17%, -3.74%, 0.32%
02/12/2018, -1.64%, -3.24%, 0.54%
02/13/2018, -1.57%, -3.16%, 0.08%
02/14/2018, -1.04%, -2.68%, 0.53%
02/15/2018, -0.51%, -2.17%, 0.54%
02/16/2018, -0.44%, -2.1%, 0.07%
02/20/2018, -0.8%, -2.44%, -0.35%
02/21/2018, -1.09%, -2.73%, -0.29%
02/22/2018, -0.99%, -2.63%, 0.1%
02/23/2018, -0.27%, -1.94%, 0.71%
02/26/2018, 0.18%, -1.51%, 0.44%
02/27/2018, -0.55%, -2.22%, -0.72%
02/28/2018, -1.03%, -2.66%, -0.46%
03/01/2018, -1.33%, -0.3%, -0.3%
03/02/2018, -1.31%, -0.28%, 0.02%
03/05/2018, -1.04%, -0.01%, 0.27%
03/06/2018, -0.82%, 0.2%, 0.22%
03/07/2018, -0.81%, 0.22%, 0.02%
03/08/2018, -0.62%, 0.4%, 0.19%
03/09/2018, -0.13%, 0.89%, 0.48%
03/12/2018, -0.05%, 0.96%, 0.08%
03/13/2018, -0.26%, 0.76%, -0.2%
03/14/2018, -0.28%, 0.74%, -0.01%
03/15/2018, -0.38%, 0.65%, -0.09%
03/16/2018, -0.38%, 0.64%, -0.01%
03/19/2018, -0.97%, 0.05%, -0.57%
03/20/2018, -0.94%, 0.09%, 0.03%
03/21/2018, -0.98%, 0.04%, -0.04%
03/22/2018, -1.87%, -0.83%, -0.87%
03/23/2018, -2.67%, -1.62%, -0.81%
03/26/2018, -1.73%, -0.7%, 0.97%
03/27/2018, -2.16%, -1.12%, -0.44%
03/28/2018, -2.19%, -1.14%, -0.02%
03/29/2018, -1.56%, -0.52%, 0.63%
04/02/2018, -2.32%, -0.76%, -0.76%
04/03/2018, -2%, -0.44%, 0.33%
04/04/2018, -1.8%, -0.24%, 0.2%
04/05/2018, -1.53%, 0.03%, 0.27%
04/06/2018, -2.06%, -0.5%, -0.53%
04/09/2018, -1.79%, -0.23%, 0.27%
04/10/2018, -1.2%, 0.37%, 0.6%
04/11/2018, -1.37%, 0.19%, -0.17%
04/12/2018, -1.23%, 0.34%, 0.14%
04/13/2018, -1.34%, 0.22%, -0.11%
04/16/2018, -1.11%, 0.46%, 0.24%
04/17/2018, -0.75%, 0.82%, 0.36%
04/18/2018, -0.76%, 0.81%, -0.01%
04/19/2018, -1.08%, 0.48%, -0.33%
04/20/2018, -1.51%, 0.05%, -0.43%
04/23/2018, -1.64%, -0.08%, -0.13%
04/24/2018, -2.11%, -0.56%, -0.47%
