Date, YTD, MTD, Day
01/04/2021, -0.66%, -0.66%, -0.66%
01/05/2021, -0.38%, -0.38%, 0.29%
01/06/2021, -0.29%, -0.29%, 0.09%
01/07/2021, 0.31%, 0.31%, 0.6%
01/08/2021, 0.48%, 0.48%, 0.17%
01/11/2021, 0.14%, 0.14%, -0.34%
01/12/2021, 0.28%, 0.28%, 0.14%
01/13/2021, 0.51%, 0.51%, 0.23%
01/14/2021, 0.37%, 0.37%, -0.15%
01/15/2021, 0.1%, 0.1%, -0.26%
01/19/2021, 0.54%, 0.54%, 0.44%
01/20/2021, 1.13%, 1.13%, 0.58%
01/21/2021, 0.99%, 0.99%, -0.14%
01/22/2021, 0.93%, 0.93%, -0.06%
01/25/2021, 1.19%, 1.19%, 0.26%
01/26/2021, 1.05%, 1.05%, -0.14%
01/27/2021, -0.16%, -0.16%, -1.16%
01/28/2021, 0.26%, 0.26%, 0.41%
01/29/2021, -0.67%, -0.67%, -0.91%
02/01/2021, 0.15%, 0.82%, 0.82%
02/02/2021, 0.72%, 1.39%, 0.56%
02/03/2021, 0.69%, 1.36%, -0.04%
02/04/2021, 1.24%, 1.92%, 0.54%
02/05/2021, 1.42%, 2.09%, 0.16%
02/08/2021, 1.86%, 2.53%, 0.42%
02/09/2021, 1.91%, 2.59%, 0.06%
02/10/2021, 1.98%, 2.66%, 0.07%
02/11/2021, 2.05%, 2.73%, 0.06%
02/12/2021, 2.09%, 2.77%, 0.03%
02/16/2021, 1.79%, 2.46%, -0.3%
02/17/2021, 1.8%, 2.48%, 0.02%
02/18/2021, 1.53%, 2.2%, -0.26%
02/19/2021, 1.41%, 2.09%, -0.12%
02/22/2021, 0.82%, 1.49%, -0.57%
02/23/2021, 0.77%, 1.44%, -0.05%
02/24/2021, 1.23%, 1.89%, 0.43%
02/25/2021, -0.42%, 0.24%, -1.58%
02/26/2021, -0.14%, 0.53%, 0.3%
03/01/2021, 0.93%, 1.03%, 1.03%
03/02/2021, 0.52%, 0.63%, -0.38%
03/03/2021, -0.31%, -0.18%, -0.8%
03/04/2021, -1.24%, -1.1%, -0.92%
03/05/2021, -0.44%, -0.31%, 0.8%
03/08/2021, -0.87%, -0.75%, -0.44%
03/09/2021, 0.01%, 0.12%, 0.87%
