Date, YTD, MTD, Day
01/02/2014, -0.06%, -0.06%, -0.06%
01/03/2014, -0.06%, -0.06%, 0%
01/06/2014, 0.06%, 0.06%, 0.12%
01/07/2014, 0.23%, 0.23%, 0.17%
01/08/2014, -0%, -0%, -0.24%
01/09/2014, 0.08%, 0.08%, 0.09%
01/10/2014, 0.54%, 0.54%, 0.45%
01/13/2014, 0.52%, 0.52%, -0.02%
01/14/2014, 0.52%, 0.52%, 0%
01/15/2014, 0.52%, 0.52%, -0%
01/16/2014, 0.66%, 0.66%, 0.14%
01/17/2014, 0.69%, 0.69%, 0.03%
01/21/2014, 0.66%, 0.66%, -0.03%
01/22/2014, 0.6%, 0.6%, -0.06%
01/23/2014, 0.71%, 0.71%, 0.11%
01/24/2014, 0.55%, 0.55%, -0.17%
01/27/2014, 0.29%, 0.29%, -0.25%
01/28/2014, 0.48%, 0.48%, 0.19%
01/29/2014, 0.49%, 0.49%, 0.01%
01/30/2014, 0.65%, 0.65%, 0.17%
01/31/2014, 0.64%, 0.64%, -0.02%
02/03/2014, 0.62%, -0.04%, -0.04%
02/04/2014, 0.56%, -0.08%, -0.04%
02/05/2014, 0.37%, -0.27%, -0.19%
02/06/2014, 0.48%, -0.16%, 0.11%
02/07/2014, 0.75%, 0.11%, 0.27%
02/10/2014, 0.85%, 0.21%, 0.1%
02/11/2014, 0.77%, 0.14%, -0.07%
02/12/2014, 0.7%, 0.08%, -0.06%
02/13/2014, 0.96%, 0.34%, 0.25%
02/14/2014, 1.03%, 0.41%, 0.07%
02/18/2014, 1.15%, 0.53%, 0.13%
02/19/2014, 0.97%, 0.35%, -0.18%
02/20/2014, 0.99%, 0.38%, 0.02%
02/21/2014, 1.06%, 0.44%, 0.06%
02/24/2014, 1.07%, 0.46%, 0.02%
02/25/2014, 1.3%, 0.68%, 0.22%
02/26/2014, 1.39%, 0.77%, 0.09%
02/27/2014, 1.62%, 1.01%, 0.23%
02/28/2014, 1.58%, 0.96%, -0.05%
03/03/2014, 1.69%, 0.11%, 0.11%
03/04/2014, 1.54%, -0.04%, -0.15%
03/05/2014, 1.61%, 0.04%, 0.08%
03/06/2014, 1.41%, -0.17%, -0.2%
03/07/2014, 1.24%, -0.33%, -0.17%
03/10/2014, 1.22%, -0.36%, -0.02%
03/11/2014, 1.13%, -0.44%, -0.08%
03/12/2014, 1.3%, -0.27%, 0.17%
03/13/2014, 1.44%, -0.14%, 0.14%
03/14/2014, 1.33%, -0.24%, -0.1%
03/17/2014, 1.31%, -0.26%, -0.02%
03/18/2014, 1.51%, -0.06%, 0.2%
03/19/2014, 1%, -0.56%, -0.5%
03/20/2014, 0.99%, -0.58%, -0.01%
03/21/2014, 1.11%, -0.46%, 0.12%
03/24/2014, 1.04%, -0.53%, -0.07%
03/25/2014, 1.1%, -0.47%, 0.06%
03/26/2014, 1.15%, -0.42%, 0.05%
03/27/2014, 1.21%, -0.36%, 0.07%
03/28/2014, 1.12%, -0.45%, -0.09%
03/31/2014, 1.26%, -0.31%, 0.14%
04/01/2014, 1.3%, 0.04%, 0.04%
04/02/2014, 1.18%, -0.08%, -0.11%
04/03/2014, 1.22%, -0.04%, 0.04%
04/04/2014, 1.27%, 0.01%, 0.05%
04/07/2014, 1.26%, 0%, -0.01%
04/08/2014, 1.33%, 0.07%, 0.07%
04/09/2014, 1.51%, 0.24%, 0.18%
04/10/2014, 1.42%, 0.16%, -0.08%
04/11/2014, 1.36%, 0.1%, -0.07%
04/14/2014, 1.38%, 0.12%, 0.02%
04/15/2014, 1.54%, 0.28%, 0.16%
04/16/2014, 1.62%, 0.36%, 0.08%
04/17/2014, 1.33%, 0.07%, -0.29%
04/21/2014, 1.38%, 0.12%, 0.06%
04/22/2014, 1.55%, 0.28%, 0.16%
04/23/2014, 1.58%, 0.32%, 0.03%
04/24/2014, 1.68%, 0.41%, 0.1%
04/25/2014, 1.53%, 0.27%, -0.14%
04/28/2014, 1.48%, 0.22%, -0.05%
04/29/2014, 1.56%, 0.29%, 0.08%
04/30/2014, 1.77%, 0.51%, 0.21%
05/01/2014, 2.02%, 0.25%, 0.25%
05/02/2014, 2.01%, 0.24%, -0.01%
05/05/2014, 1.95%, 0.18%, -0.06%
05/06/2014, 1.9%, 0.13%, -0.05%
05/07/2014, 2.05%, 0.27%, 0.15%
05/08/2014, 2.02%, 0.24%, -0.03%
05/09/2014, 1.97%, 0.19%, -0.05%
05/12/2014, 1.97%, 0.2%, 0.01%
05/13/2014, 2.2%, 0.42%, 0.23%
05/14/2014, 2.37%, 0.59%, 0.16%
05/15/2014, 2.32%, 0.54%, -0.05%
05/16/2014, 2.3%, 0.52%, -0.02%
05/19/2014, 2.28%, 0.5%, -0.01%
05/20/2014, 2.33%, 0.55%, 0.05%
05/21/2014, 2.29%, 0.51%, -0.04%
05/22/2014, 2.34%, 0.56%, 0.05%
05/23/2014, 2.49%, 0.71%, 0.15%
05/27/2014, 2.67%, 0.89%, 0.18%
05/28/2014, 2.89%, 1.1%, 0.21%
