Date, YTD, MTD, Day
01/04/2016, -1.48%, -1.48%, -1.48%
01/05/2016, -1.41%, -1.41%, 0.07%
01/06/2016, -2.61%, -2.61%, -1.21%
01/07/2016, -4.59%, -4.59%, -2.04%
01/08/2016, -5.52%, -5.52%, -0.98%
01/11/2016, -5.66%, -5.66%, -0.15%
01/12/2016, -5.12%, -5.12%, 0.57%
01/13/2016, -6.91%, -6.91%, -1.9%
01/14/2016, -5.86%, -5.86%, 1.15%
01/15/2016, -7.85%, -7.85%, -2.13%
01/19/2016, -7.78%, -7.78%, 0.08%
01/20/2016, -8.92%, -8.92%, -1.25%
01/21/2016, -8.61%, -8.61%, 0.34%
01/22/2016, -6.67%, -6.67%, 2.15%
01/25/2016, -7.87%, -7.87%, -1.3%
01/26/2016, -6.68%, -6.68%, 1.31%
01/27/2016, -7.38%, -7.38%, -0.76%
01/28/2016, -7.04%, -7.04%, 0.38%
01/29/2016, -4.96%, -4.96%, 2.25%
02/01/2016, -5.05%, -0.09%, -0.09%
02/02/2016, -6.67%, -1.81%, -1.72%
02/03/2016, -6.28%, -1.4%, 0.42%
02/04/2016, -5.95%, -1.05%, 0.35%
02/05/2016, -7.47%, -2.66%, -1.62%
02/08/2016, -8.74%, -4.01%, -1.39%
02/09/2016, -9.11%, -4.4%, -0.41%
02/10/2016, -9.05%, -4.33%, 0.07%
02/11/2016, -10.14%, -5.5%, -1.22%
02/12/2016, -8.77%, -4.04%, 1.55%
02/16/2016, -7.28%, -2.46%, 1.66%
02/17/2016, -5.85%, -0.94%, 1.57%
02/18/2016, -6.12%, -1.23%, -0.3%
02/19/2016, -6.15%, -1.26%, -0.03%
02/22/2016, -5.01%, -0.05%, 1.23%
02/23/2016, -6.09%, -1.19%, -1.14%
02/24/2016, -5.9%, -1%, 0.2%
02/25/2016, -4.94%, 0.02%, 1.02%
02/26/2016, -5.04%, -0.08%, -0.1%
02/29/2016, -5.51%, -0.58%, -0.5%
03/01/2016, -3.55%, 2.1%, 2.1%
03/02/2016, -3.01%, 2.67%, 0.56%
03/03/2016, -2.42%, 3.31%, 0.62%
03/04/2016, -1.94%, 3.82%, 0.49%
03/07/2016, -1.81%, 3.96%, 0.14%
03/08/2016, -2.89%, 2.81%, -1.11%
03/09/2016, -2.47%, 3.25%, 0.43%
03/10/2016, -2.55%, 3.17%, -0.08%
03/11/2016, -0.89%, 4.94%, 1.71%
03/14/2016, -1.38%, 4.42%, -0.49%
03/15/2016, -1.9%, 3.86%, -0.53%
03/16/2016, -1.2%, 4.61%, 0.72%
03/17/2016, -0.39%, 5.48%, 0.83%
03/18/2016, -0.04%, 5.85%, 0.35%
03/21/2016, -0.05%, 5.84%, -0.01%
03/22/2016, -0.12%, 5.76%, -0.07%
03/23/2016, -0.88%, 4.95%, -0.77%
03/24/2016, -1.07%, 4.74%, -0.19%
03/28/2016, -0.91%, 4.92%, 0.16%
03/29/2016, 0.11%, 6%, 1.03%
03/30/2016, 0.59%, 6.51%, 0.47%
03/31/2016, 0.41%, 6.32%, -0.18%
04/01/2016, 0.53%, 0.12%, 0.12%
04/04/2016, 0.23%, -0.18%, -0.3%
04/05/2016, -0.86%, -1.28%, -1.1%
04/06/2016, 0.11%, -0.3%, 0.99%
04/07/2016, -0.93%, -1.34%, -1.04%
04/08/2016, -0.28%, -0.69%, 0.66%
04/11/2016, -0.39%, -0.8%, -0.11%
04/12/2016, 0.58%, 0.17%, 0.98%
04/13/2016, 1.72%, 1.31%, 1.14%
04/14/2016, 1.73%, 1.32%, 0.01%
04/15/2016, 1.7%, 1.29%, -0.03%
04/18/2016, 2.26%, 1.85%, 0.55%
04/19/2016, 2.88%, 2.47%, 0.61%
04/20/2016, 2.87%, 2.46%, -0.01%
04/21/2016, 2.4%, 1.99%, -0.45%
04/22/2016, 2.47%, 2.06%, 0.07%
04/25/2016, 2.18%, 1.77%, -0.29%
04/26/2016, 2.44%, 2.04%, 0.26%
04/27/2016, 2.65%, 2.24%, 0.2%
04/28/2016, 1.9%, 1.49%, -0.74%
04/29/2016, 1.44%, 1.03%, -0.45%
05/02/2016, 2.07%, 0.63%, 0.63%
05/03/2016, 0.97%, -0.47%, -1.08%
05/04/2016, 0.27%, -1.15%, -0.69%
05/05/2016, 0.22%, -1.21%, -0.05%
05/06/2016, 0.44%, -0.98%, 0.23%
05/09/2016, 0.42%, -1%, -0.02%
05/10/2016, 1.56%, 0.13%, 1.14%
05/11/2016, 0.82%, -0.61%, -0.73%
05/12/2016, 0.72%, -0.71%, -0.1%
05/13/2016, -0.03%, -1.45%, -0.74%
05/16/2016, 0.81%, -0.62%, 0.84%
05/17/2016, 0.11%, -1.3%, -0.69%
05/18/2016, 0.01%, -1.4%, -0.1%
05/19/2016, -0.43%, -1.84%, -0.44%
05/20/2016, 0.25%, -1.17%, 0.68%
05/23/2016, 0.08%, -1.34%, -0.17%
05/24/2016, 1.25%, -0.18%, 1.18%
05/25/2016, 1.97%, 0.53%, 0.71%
05/26/2016, 2.05%, 0.61%, 0.08%
05/27/2016, 2.33%, 0.88%, 0.27%
05/31/2016, 2.27%, 0.82%, -0.06%
06/01/2016, 2.42%, 0.14%, 0.14%
06/02/2016, 2.68%, 0.4%, 0.26%
06/03/2016, 2.75%, 0.47%, 0.07%
06/06/2016, 3.29%, 1%, 0.53%
06/07/2016, 3.68%, 1.39%, 0.38%
06/08/2016, 4.04%, 1.74%, 0.34%
06/09/2016, 3.6%, 1.3%, -0.42%
06/10/2016, 2.26%, -0.02%, -1.3%
06/13/2016, 0.71%, -1.53%, -1.52%
06/14/2016, 0.25%, -1.99%, -0.47%
06/15/2016, 0.37%, -1.87%, 0.13%
06/16/2016, 0.49%, -1.76%, 0.11%
06/17/2016, 0.49%, -1.75%, 0.02%
06/20/2016, 1.5%, -0.76%, 1.02%
06/21/2016, 1.79%, -0.47%, 0.29%
06/22/2016, 1.72%, -0.53%, -0.07%
06/23/2016, 3.2%, 0.92%, 1.46%
06/24/2016, -1.07%, -3.28%, -4.15%
06/27/2016, -2.85%, -5.02%, -1.81%
06/28/2016, -1.09%, -3.29%, 1.84%
06/29/2016, 0.49%, -1.75%, 1.61%
06/30/2016, 1.74%, -0.52%, 1.25%
07/01/2016, 2.02%, 0.27%, 0.27%
07/05/2016, 1.08%, -0.66%, -0.93%
07/06/2016, 1.38%, -0.38%, 0.28%
07/07/2016, 1.32%, -0.43%, -0.06%
07/08/2016, 2.7%, 0.93%, 1.37%
07/11/2016, 3.32%, 1.54%, 0.61%
07/12/2016, 4.11%, 2.32%, 0.77%
07/13/2016, 4.14%, 2.35%, 0.03%
07/14/2016, 4.64%, 2.85%, 0.49%
07/15/2016, 4.49%, 2.7%, -0.15%
07/18/2016, 4.71%, 2.92%, 0.22%
07/19/2016, 4.44%, 2.65%, -0.26%
07/20/2016, 4.95%, 3.15%, 0.49%
07/21/2016, 4.65%, 2.86%, -0.28%
07/22/2016, 5%, 3.2%, 0.33%
07/25/2016, 4.75%, 2.95%, -0.24%
07/26/2016, 4.92%, 3.12%, 0.17%
07/27/2016, 4.98%, 3.19%, 0.06%
07/28/2016, 5.1%, 3.3%, 0.11%
07/29/2016, 5.53%, 3.73%, 0.42%
08/01/2016, 5.3%, -0.22%, -0.22%
08/02/2016, 4.65%, -0.83%, -0.61%
08/03/2016, 4.81%, -0.68%, 0.15%
08/04/2016, 5.02%, -0.48%, 0.2%
08/05/2016, 5.74%, 0.2%, 0.68%
08/08/2016, 5.79%, 0.24%, 0.05%
08/09/2016, 6.09%, 0.53%, 0.29%
08/10/2016, 5.95%, 0.41%, -0.12%
08/11/2016, 6.43%, 0.86%, 0.45%
08/12/2016, 6.39%, 0.83%, -0.03%
08/15/2016, 6.75%, 1.17%, 0.33%
