Date, YTD, MTD, Day
01/03/2011, 0.88%, 0.88%, 0.88%
01/04/2011, 0.67%, 0.67%, -0.21%
01/05/2011, 0.93%, 0.93%, 0.25%
01/06/2011, 0.77%, 0.77%, -0.15%
01/07/2011, 0.69%, 0.69%, -0.08%
01/10/2011, 0.65%, 0.65%, -0.04%
01/11/2011, 0.96%, 0.96%, 0.31%
01/12/2011, 1.75%, 1.75%, 0.78%
01/13/2011, 1.7%, 1.7%, -0.04%
01/14/2011, 2.24%, 2.24%, 0.52%
01/18/2011, 2.39%, 2.39%, 0.15%
01/19/2011, 1.48%, 1.48%, -0.88%
01/20/2011, 1.11%, 1.11%, -0.36%
01/21/2011, 1.24%, 1.24%, 0.12%
01/24/2011, 1.75%, 1.75%, 0.5%
01/25/2011, 1.81%, 1.81%, 0.07%
01/26/2011, 2.27%, 2.27%, 0.44%
01/27/2011, 2.52%, 2.52%, 0.25%
01/28/2011, 1.04%, 1.04%, -1.44%
01/31/2011, 1.59%, 1.59%, 0.54%
02/01/2011, 2.96%, 1.34%, 1.34%
02/02/2011, 2.77%, 1.15%, -0.19%
02/03/2011, 2.91%, 1.28%, 0.13%
02/04/2011, 3.03%, 1.41%, 0.12%
02/07/2011, 3.55%, 1.91%, 0.5%
02/08/2011, 3.86%, 2.22%, 0.29%
02/09/2011, 3.65%, 2.01%, -0.2%
02/10/2011, 3.62%, 1.98%, -0.03%
02/11/2011, 4.2%, 2.54%, 0.55%
02/14/2011, 4.48%, 2.83%, 0.27%
02/15/2011, 4.19%, 2.54%, -0.28%
02/16/2011, 4.82%, 3.16%, 0.6%
02/17/2011, 5.17%, 3.5%, 0.33%
02/18/2011, 5.32%, 3.64%, 0.14%
02/22/2011, 3.51%, 1.88%, -1.68%
02/23/2011, 2.92%, 1.3%, -0.57%
02/24/2011, 2.92%, 1.3%, 0%
02/25/2011, 4.01%, 2.36%, 1.04%
02/28/2011, 4.46%, 2.81%, 0.44%
03/01/2011, 3.18%, -1.21%, -1.21%
03/02/2011, 3.32%, -1.09%, 0.13%
03/03/2011, 4.68%, 0.2%, 1.3%
03/04/2011, 4.2%, -0.25%, -0.44%
03/07/2011, 3.41%, -1%, -0.75%
03/08/2011, 4.1%, -0.35%, 0.65%
03/09/2011, 4.01%, -0.43%, -0.08%
03/10/2011, 2.43%, -1.92%, -1.5%
03/11/2011, 2.94%, -1.44%, 0.49%
03/14/2011, 2.42%, -1.93%, -0.5%
03/15/2011, 1.47%, -2.83%, -0.92%
03/16/2011, 0.11%, -4.12%, -1.34%
03/17/2011, 1.08%, -3.2%, 0.97%
03/18/2011, 1.54%, -2.76%, 0.46%
03/21/2011, 2.81%, -1.56%, 1.24%
03/22/2011, 2.52%, -1.84%, -0.28%
03/23/2011, 2.74%, -1.63%, 0.21%
03/24/2011, 3.17%, -1.22%, 0.42%
03/25/2011, 3.39%, -1.02%, 0.2%
03/28/2011, 3.17%, -1.22%, -0.21%
03/29/2011, 3.74%, -0.69%, 0.55%
03/30/2011, 4.47%, 0.01%, 0.7%
03/31/2011, 4.39%, -0.07%, -0.07%
04/01/2011, 4.88%, 0.46%, 0.46%
04/04/2011, 4.99%, 0.57%, 0.11%
04/05/2011, 4.97%, 0.55%, -0.02%
04/06/2011, 5.13%, 0.7%, 0.15%
04/07/2011, 4.94%, 0.51%, -0.18%
04/08/2011, 4.64%, 0.23%, -0.28%
04/11/2011, 4.31%, -0.08%, -0.31%
04/12/2011, 3.65%, -0.7%, -0.62%
04/13/2011, 3.78%, -0.58%, 0.13%
04/14/2011, 3.82%, -0.54%, 0.04%
04/15/2011, 4.25%, -0.13%, 0.41%
04/18/2011, 3.24%, -1.08%, -0.96%
04/19/2011, 3.71%, -0.63%, 0.46%
04/20/2011, 4.97%, 0.55%, 1.2%
04/21/2011, 5.45%, 1.01%, 0.46%
04/25/2011, 5.37%, 0.94%, -0.07%
04/26/2011, 6.17%, 1.69%, 0.75%
04/27/2011, 6.72%, 2.22%, 0.51%
04/28/2011, 7.07%, 2.54%, 0.32%
04/29/2011, 7.31%, 2.78%, 0.23%
05/02/2011, 7.08%, -0.22%, -0.22%
05/03/2011, 6.65%, -0.61%, -0.39%
05/04/2011, 6%, -1.2%, -0.6%
05/05/2011, 5.29%, -1.85%, -0.65%
05/06/2011, 5.65%, -1.52%, 0.33%
05/09/2011, 6.12%, -1.09%, 0.44%
05/10/2011, 6.81%, -0.46%, 0.64%
05/11/2011, 5.87%, -1.32%, -0.87%
05/12/2011, 6.22%, -1%, 0.33%
05/13/2011, 5.47%, -1.69%, -0.7%
05/16/2011, 4.91%, -2.19%, -0.52%
05/17/2011, 4.88%, -2.22%, -0.02%
05/18/2011, 5.66%, -1.51%, 0.73%
05/19/2011, 5.86%, -1.33%, 0.18%
05/20/2011, 5.23%, -1.9%, -0.59%
05/23/2011, 4.09%, -2.95%, -1.08%
05/24/2011, 4.05%, -2.98%, -0.03%
05/25/2011, 4.42%, -2.64%, 0.35%
05/26/2011, 4.96%, -2.15%, 0.51%
05/27/2011, 5.38%, -1.76%, 0.4%
05/31/2011, 6.36%, -0.86%, 0.92%
06/01/2011, 4.49%, -1.73%, -1.73%
06/02/2011, 4.34%, -1.88%, -0.15%
06/03/2011, 3.59%, -2.57%, -0.71%
06/06/2011, 2.6%, -3.49%, -0.95%
06/07/2011, 2.69%, -3.4%, 0.09%
06/08/2011, 2.24%, -3.82%, -0.44%
06/09/2011, 2.75%, -3.35%, 0.5%
06/10/2011, 1.53%, -4.48%, -1.18%
06/13/2011, 1.54%, -4.48%, 0%
06/14/2011, 2.55%, -3.54%, 1%
06/15/2011, 1.17%, -4.82%, -1.34%
06/16/2011, 1.23%, -4.77%, 0.05%
06/17/2011, 1.44%, -4.57%, 0.21%
06/20/2011, 1.82%, -4.22%, 0.38%
06/21/2011, 3.07%, -3.06%, 1.22%
06/22/2011, 2.58%, -3.51%, -0.47%
06/23/2011, 2.09%, -3.97%, -0.48%
06/24/2011, 1.26%, -4.74%, -0.81%
06/27/2011, 1.86%, -4.18%, 0.59%
06/28/2011, 2.88%, -3.24%, 1%
06/29/2011, 3.57%, -2.6%, 0.67%
06/30/2011, 4.39%, -1.83%, 0.79%
07/01/2011, 5.6%, 1.15%, 1.15%
07/05/2011, 5.6%, 1.14%, -0%
07/06/2011, 5.71%, 1.25%, 0.1%
07/07/2011, 6.58%, 2.08%, 0.82%
07/08/2011, 6.08%, 1.6%, -0.46%
07/11/2011, 4.45%, 0.06%, -1.51%
07/12/2011, 4.05%, -0.32%, -0.38%
07/13/2011, 4.49%, 0.1%, 0.42%
07/14/2011, 3.77%, -0.59%, -0.69%
07/15/2011, 4.27%, -0.11%, 0.48%
07/18/2011, 3.4%, -0.94%, -0.83%
07/19/2011, 4.85%, 0.43%, 1.39%
07/20/2011, 4.83%, 0.42%, -0.01%
07/21/2011, 5.89%, 1.42%, 0.99%
07/22/2011, 6.06%, 1.59%, 0.17%
07/25/2011, 5.49%, 1.04%, -0.54%
07/26/2011, 5.25%, 0.82%, -0.22%
07/27/2011, 3.37%, -0.97%, -1.77%
07/28/2011, 3.15%, -1.17%, -0.21%
07/29/2011, 2.84%, -1.46%, -0.3%
08/01/2011, 2.5%, -0.32%, -0.32%
08/02/2011, 0.47%, -2.3%, -1.99%
08/03/2011, 0.85%, -1.93%, 0.39%
08/04/2011, -3.14%, -5.8%, -3.99%
08/05/2011, -3.55%, -6.2%, -0.42%
08/08/2011, -8.76%, -11.26%, -5.5%
08/09/2011, -5.14%, -7.75%, 4.09%
08/10/2011, -8.16%, -10.68%, -3.27%
08/11/2011, -5.06%, -7.66%, 3.53%
08/12/2011, -4.55%, -7.17%, 0.54%
08/15/2011, -2.87%, -5.54%, 1.81%
08/16/2011, -3.64%, -6.29%, -0.81%
08/17/2011, -3.51%, -6.16%, 0.13%
08/18/2011, -7%, -9.55%, -3.7%
08/19/2011, -8.17%, -10.68%, -1.29%
08/22/2011, -8.15%, -10.67%, 0.02%
08/23/2011, -5.74%, -8.33%, 2.73%
08/24/2011, -5.01%, -7.62%, 0.81%
08/25/2011, -6.23%, -8.81%, -1.31%
08/26/2011, -4.95%, -7.56%, 1.4%
08/29/2011, -2.77%, -5.45%, 2.35%
08/30/2011, -2.48%, -5.17%, 0.3%
08/31/2011, -2.07%, -4.77%, 0.43%
09/01/2011, -2.95%, -0.9%, -0.9%
09/02/2011, -4.84%, -2.87%, -2%
09/06/2011, -5.52%, -3.58%, -0.74%
09/07/2011, -3.33%, -1.31%, 2.39%
09/08/2011, -4.17%, -2.19%, -0.89%
09/09/2011, -6.2%, -4.29%, -2.17%
09/12/2011, -5.87%, -3.95%, 0.36%
09/13/2011, -5.12%, -3.17%, 0.82%
09/14/2011, -4.12%, -2.14%, 1.07%
09/15/2011, -2.93%, -0.9%, 1.28%
09/16/2011, -2.55%, -0.51%, 0.39%
09/19/2011, -3.37%, -1.37%, -0.87%
09/20/2011, -3.64%, -1.65%, -0.28%
09/21/2011, -5.82%, -3.91%, -2.32%
09/22/2011, -8.55%, -6.74%, -2.99%
09/23/2011, -8.16%, -6.33%, 0.45%
09/26/2011, -6.73%, -4.84%, 1.62%
09/27/2011, -5.81%, -3.89%, 1.03%
09/28/2011, -7.47%, -5.6%, -1.8%
09/29/2011, -6.82%, -4.93%, 0.72%
09/30/2011, -8.61%, -6.78%, -1.98%
10/03/2011, -10.78%, -2.48%, -2.48%
10/04/2011, -9.16%, -0.63%, 1.91%
10/05/2011, -7.9%, 0.8%, 1.45%
10/06/2011, -6.53%, 2.37%, 1.55%
10/07/2011, -7.25%, 1.56%, -0.78%
10/10/2011, -4.8%, 4.35%, 2.73%
10/11/2011, -4.73%, 4.43%, 0.08%
10/12/2011, -3.88%, 5.4%, 0.91%
10/13/2011, -4.01%, 5.24%, -0.14%
10/14/2011, -2.75%, 6.68%, 1.34%
10/17/2011, -4.28%, 4.93%, -1.6%
10/18/2011, -2.76%, 6.65%, 1.61%
10/19/2011, -3.78%, 5.5%, -1.06%
10/20/2011, -3.53%, 5.77%, 0.25%
10/21/2011, -2.06%, 7.45%, 1.56%
10/24/2011, -0.77%, 8.91%, 1.34%
10/25/2011, -2.29%, 7.17%, -1.55%
10/26/2011, -1.45%, 8.13%, 0.87%
10/27/2011, 1.34%, 11.32%, 2.88%
10/28/2011, 1.39%, 11.37%, 0.05%
10/31/2011, -0.57%, 9.1%, -1.96%
11/01/2011, -2.73%, -2.21%, -2.21%
11/02/2011, -1.48%, -0.94%, 1.31%
11/03/2011, -0.02%, 0.56%, 1.52%
11/04/2011, -0.42%, 0.14%, -0.41%
11/07/2011, -0.03%, 0.54%, 0.4%
11/08/2011, 0.83%, 1.42%, 0.87%
11/09/2011, -2.2%, -1.67%, -3.03%
11/10/2011, -1.63%, -1.09%, 0.59%
11/11/2011, -0.09%, 0.48%, 1.59%
11/14/2011, -0.83%, -0.27%, -0.75%
11/15/2011, -0.45%, 0.1%, 0.38%
11/16/2011, -1.69%, -1.16%, -1.26%
11/17/2011, -2.99%, -2.47%, -1.33%
11/18/2011, -3.06%, -2.55%, -0.07%
11/21/2011, -4.51%, -4.03%, -1.53%
11/22/2011, -4.83%, -4.35%, -0.34%
11/23/2011, -6.54%, -6.1%, -1.85%
11/25/2011, -6.89%, -6.45%, -0.37%
11/28/2011, -4.57%, -4.08%, 2.57%
11/29/2011, -4.42%, -3.93%, 0.17%
11/30/2011, -1.1%, -0.54%, 3.56%
12/01/2011, -1.32%, -0.23%, -0.23%
12/02/2011, -1.2%, -0.11%, 0.12%
12/05/2011, -0.36%, 0.75%, 0.86%
12/06/2011, -0.39%, 0.72%, -0.03%
12/07/2011, -0.21%, 0.9%, 0.18%
12/08/2011, -1.96%, -0.89%, -1.77%
12/09/2011, -0.64%, 0.45%, 1.36%
12/12/2011, -1.86%, -0.8%, -1.25%
12/13/2011, -2.64%, -1.6%, -0.81%
12/14/2011, -3.52%, -2.51%, -0.93%
12/15/2011, -3.22%, -2.2%, 0.32%
12/16/2011, -2.88%, -1.86%, 0.35%
12/19/2011, -3.81%, -2.82%, -0.98%
12/20/2011, -2.16%, -1.14%, 1.74%
12/21/2011, -2.09%, -1.07%, 0.08%
12/22/2011, -1.51%, -0.47%, 0.6%
12/23/2011, -0.91%, 0.14%, 0.62%
12/27/2011, -0.86%, 0.19%, 0.05%
12/28/2011, -1.88%, -0.86%, -1.04%
12/29/2011, -0.98%, 0.07%, 0.93%
12/30/2011, -1.23%, -0.19%, -0.25%
