Date, YTD, MTD, Day
01/02/2018, 0.46%, 0.46%, 0.46%
01/03/2018, 0.81%, 0.81%, 0.35%
01/04/2018, 1.22%, 1.22%, 0.4%
01/05/2018, 1.59%, 1.59%, 0.36%
01/08/2018, 1.64%, 1.64%, 0.05%
01/09/2018, 1.53%, 1.53%, -0.11%
01/10/2018, 1.42%, 1.42%, -0.1%
01/11/2018, 1.88%, 1.88%, 0.44%
01/12/2018, 2.33%, 2.33%, 0.44%
01/16/2018, 2.25%, 2.25%, -0.07%
01/17/2018, 2.65%, 2.65%, 0.38%
01/18/2018, 2.41%, 2.41%, -0.24%
01/19/2018, 2.69%, 2.69%, 0.26%
01/22/2018, 3.13%, 3.13%, 0.42%
01/23/2018, 3.39%, 3.39%, 0.26%
01/24/2018, 3.4%, 3.4%, -0%
01/25/2018, 3.44%, 3.44%, 0.05%
01/26/2018, 3.99%, 3.99%, 0.51%
01/29/2018, 3.4%, 3.4%, -0.56%
01/30/2018, 2.68%, 2.68%, -0.68%
01/31/2018, 2.75%, 2.75%, 0.07%
02/01/2018, 2.64%, -0.11%, -0.11%
02/02/2018, 1.2%, -1.48%, -1.37%
02/05/2018, -0.91%, -3.47%, -2.04%
02/06/2018, -0.24%, -2.84%, 0.68%
02/07/2018, -0.86%, -3.44%, -0.62%
02/08/2018, -2.63%, -5.12%, -1.77%
02/09/2018, -2.15%, -4.67%, 0.49%
02/12/2018, -1.45%, -4%, 0.72%
02/13/2018, -1.35%, -3.9%, 0.1%
02/14/2018, -0.52%, -3.13%, 0.83%
02/15/2018, 0.16%, -2.48%, 0.68%
02/16/2018, 0.22%, -2.42%, 0.06%
02/20/2018, -0.22%, -2.85%, -0.44%
02/21/2018, -0.52%, -3.14%, -0.3%
02/22/2018, -0.42%, -3.04%, 0.1%
02/23/2018, 0.48%, -2.18%, 0.89%
02/26/2018, 1.05%, -1.64%, 0.56%
02/27/2018, 0.13%, -2.51%, -0.89%
02/28/2018, -0.53%, -3.14%, -0.65%
03/01/2018, -1.03%, -0.49%, -0.49%
03/02/2018, -0.91%, -0.37%, 0.12%
03/05/2018, -0.52%, 0.01%, 0.39%
03/06/2018, -0.23%, 0.3%, 0.29%
03/07/2018, -0.21%, 0.32%, 0.02%
03/08/2018, 0.01%, 0.54%, 0.22%
03/09/2018, 0.73%, 1.25%, 0.7%
03/12/2018, 0.8%, 1.32%, 0.07%
03/13/2018, 0.49%, 1.01%, -0.3%
03/14/2018, 0.4%, 0.92%, -0.08%
