Date,Price
12/29/2000,$29.26
01/02/2001,$28.28
01/03/2001,$29.76
01/04/2001,$29.39
01/05/2001,$28.54
01/08/2001,$28.46
01/09/2001,$28.61
01/10/2001,$29.02
01/11/2001,$29.41
01/12/2001,$29.30
01/16/2001,$29.50
01/17/2001,$29.61
01/18/2001,$29.94
01/19/2001,$29.79
01/22/2001,$29.80
01/23/2001,$30.27
01/24/2001,$30.38
01/25/2001,$30.16
01/26/2001,$30.13
01/29/2001,$30.40
01/30/2001,$30.60
01/31/2001,$30.39
02/01/2001,$30.51
02/02/2001,$29.95
02/05/2001,$30.01
02/06/2001,$30.03
02/07/2001,$29.80
02/08/2001,$29.60
02/09/2001,$29.20
02/12/2001,$29.51
02/13/2001,$29.25
02/14/2001,$29.25
02/15/2001,$29.52
02/16/2001,$28.98
02/20/2001,$28.44
02/21/2001,$27.93
02/22/2001,$27.80
02/23/2001,$27.70
02/26/2001,$28.24
02/27/2001,$27.92
02/28/2001,$27.52
03/01/2001,$27.53
03/02/2001,$27.41
03/05/2001,$27.55
03/06/2001,$27.84
03/07/2001,$28.01
03/08/2001,$28.00
03/09/2001,$27.31
03/12/2001,$26.15
03/13/2001,$26.55
03/14/2001,$25.90
03/15/2001,$25.99
03/16/2001,$25.38
03/19/2001,$25.85
03/20/2001,$25.25
03/21/2001,$24.78
03/22/2001,$24.67
03/23/2001,$25.18
03/26/2001,$25.46
03/27/2001,$26.07
03/28/2001,$25.42
03/29/2001,$25.29
03/30/2001,$25.60
04/02/2001,$25.20
04/03/2001,$24.29
04/04/2001,$24.21
04/05/2001,$25.33
04/06/2001,$24.82
04/09/2001,$25.04
04/10/2001,$25.74
04/11/2001,$25.71
04/12/2001,$26.10
04/16/2001,$25.99
04/17/2001,$26.27
04/18/2001,$27.29
04/19/2001,$27.67
04/20/2001,$27.44
04/23/2001,$27.00
04/24/2001,$26.70
04/25/2001,$27.14
04/26/2001,$27.28
04/27/2001,$27.69
04/30/2001,$27.69
05/01/2001,$28.07
05/02/2001,$28.15
05/03/2001,$27.72
05/04/2001,$28.12
05/07/2001,$28.03
05/08/2001,$28.00
05/09/2001,$27.88
05/10/2001,$27.86
05/11/2001,$27.66
05/14/2001,$27.70
05/15/2001,$27.73
05/16/2001,$28.49
05/17/2001,$28.64
05/18/2001,$28.71
05/21/2001,$29.24
05/22/2001,$29.20
05/23/2001,$28.71
05/24/2001,$28.83
05/25/2001,$28.53
05/29/2001,$28.25
05/30/2001,$27.77
05/31/2001,$27.97
06/01/2001,$28.12
06/04/2001,$28.26
06/05/2001,$28.68
06/06/2001,$28.40
06/07/2001,$28.56
06/08/2001,$28.28
06/11/2001,$28.01
06/12/2001,$28.03
06/13/2001,$27.74
06/14/2001,$27.21
06/15/2001,$27.09
06/18/2001,$26.93
06/19/2001,$26.99
06/20/2001,$27.27
06/21/2001,$27.54
06/22/2001,$27.21
06/25/2001,$27.06
06/26/2001,$27.07
06/27/2001,$27.01
06/28/2001,$27.36
06/29/2001,$27.45
