Date, YTD, MTD, Day
01/03/2017, 0.79%, 0.79%, 0.79%
01/04/2017, 1.63%, 1.63%, 0.83%
01/05/2017, 1.68%, 1.68%, 0.05%
01/06/2017, 1.85%, 1.85%, 0.17%
01/09/2017, 1.48%, 1.48%, -0.36%
01/10/2017, 1.62%, 1.62%, 0.14%
01/11/2017, 1.98%, 1.98%, 0.35%
01/12/2017, 1.78%, 1.78%, -0.19%
01/13/2017, 2.09%, 2.09%, 0.3%
01/17/2017, 1.67%, 1.67%, -0.41%
01/18/2017, 1.8%, 1.8%, 0.13%
01/19/2017, 1.45%, 1.45%, -0.35%
01/20/2017, 1.79%, 1.79%, 0.34%
01/23/2017, 1.64%, 1.64%, -0.15%
01/24/2017, 2.4%, 2.4%, 0.74%
01/25/2017, 3.24%, 3.24%, 0.82%
01/26/2017, 3.09%, 3.09%, -0.15%
01/27/2017, 2.95%, 2.95%, -0.13%
01/30/2017, 2.26%, 2.26%, -0.67%
01/31/2017, 2.33%, 2.33%, 0.07%
02/01/2017, 2.41%, 0.08%, 0.08%
02/02/2017, 2.48%, 0.15%, 0.07%
02/03/2017, 3.24%, 0.89%, 0.74%
02/06/2017, 2.92%, 0.58%, -0.31%
02/07/2017, 2.86%, 0.52%, -0.06%
02/08/2017, 3%, 0.66%, 0.13%
02/09/2017, 3.65%, 1.29%, 0.63%
02/10/2017, 4.05%, 1.69%, 0.39%
02/13/2017, 4.57%, 2.19%, 0.5%
02/14/2017, 4.91%, 2.53%, 0.33%
02/15/2017, 5.43%, 3.03%, 0.49%
02/16/2017, 5.35%, 2.95%, -0.08%
02/17/2017, 5.44%, 3.05%, 0.09%
02/21/2017, 6.05%, 3.64%, 0.58%
02/22/2017, 5.93%, 3.52%, -0.11%
02/23/2017, 5.91%, 3.5%, -0.02%
02/24/2017, 5.88%, 3.48%, -0.02%
02/27/2017, 6.04%, 3.64%, 0.15%
02/28/2017, 5.66%, 3.26%, -0.36%
03/01/2017, 7.04%, 1.3%, 1.3%
03/02/2017, 6.32%, 0.62%, -0.68%
03/03/2017, 6.46%, 0.75%, 0.13%
