Date, YTD, MTD, Day
01/02/2019, 0.07%, 0.07%, 0.07%
01/03/2019, -1.45%, -1.45%, -1.51%
01/04/2019, 0.96%, 0.96%, 2.46%
01/07/2019, 1.54%, 1.54%, 0.57%
01/08/2019, 2.27%, 2.27%, 0.72%
01/09/2019, 2.76%, 2.76%, 0.48%
01/10/2019, 3.1%, 3.1%, 0.33%
01/11/2019, 3.1%, 3.1%, 0%
01/14/2019, 2.66%, 2.66%, -0.42%
01/15/2019, 3.42%, 3.42%, 0.74%
01/16/2019, 3.65%, 3.65%, 0.22%
01/17/2019, 4.23%, 4.23%, 0.55%
01/18/2019, 5.18%, 5.18%, 0.89%
01/22/2019, 4.1%, 4.1%, -1.01%
01/23/2019, 4.26%, 4.26%, 0.15%
01/24/2019, 4.5%, 4.5%, 0.23%
01/25/2019, 5.23%, 5.23%, 0.69%
01/28/2019, 4.66%, 4.66%, -0.53%
01/29/2019, 4.63%, 4.63%, -0.03%
01/30/2019, 5.82%, 5.82%, 1.12%
01/31/2019, 6.57%, 6.57%, 0.71%
02/01/2019, 6.6%, 0.02%, 0.02%
02/04/2019, 7.12%, 0.5%, 0.48%
02/05/2019, 7.57%, 0.92%, 0.42%
02/06/2019, 7.36%, 0.73%, -0.19%
02/07/2019, 6.67%, 0.09%, -0.63%
02/08/2019, 6.73%, 0.15%, 0.06%
02/11/2019, 6.82%, 0.23%, 0.07%
02/12/2019, 7.83%, 1.16%, 0.93%
02/13/2019, 8%, 1.31%, 0.15%
02/14/2019, 7.91%, 1.23%, -0.08%
02/15/2019, 8.85%, 2.1%, 0.85%
02/19/2019, 9.04%, 2.27%, 0.18%
02/20/2019, 9.2%, 2.42%, 0.15%
02/21/2019, 8.87%, 2.12%, -0.3%
02/22/2019, 9.49%, 2.69%, 0.56%
02/25/2019, 9.59%, 2.78%, 0.09%
02/26/2019, 9.55%, 2.75%, -0.03%
02/27/2019, 9.48%, 2.68%, -0.07%
02/28/2019, 9.21%, 2.43%, -0.24%
03/01/2019, 9.69%, 0.42%, 0.42%
03/04/2019, 9.37%, 0.14%, -0.28%
03/05/2019, 9.3%, 0.08%, -0.06%
03/06/2019, 8.69%, -0.46%, -0.54%
03/07/2019, 8.08%, -1%, -0.54%
03/08/2019, 7.9%, -1.16%, -0.16%
03/11/2019, 9.09%, -0.1%, 1.08%
03/12/2019, 9.38%, 0.17%, 0.26%
03/13/2019, 9.93%, 0.65%, 0.49%
03/14/2019, 9.79%, 0.53%, -0.12%
03/15/2019, 10.27%, 0.96%, 0.43%
03/18/2019, 10.63%, 1.28%, 0.32%
03/19/2019, 10.58%, 1.24%, -0.04%
03/20/2019, 10.41%, 1.09%, -0.14%
03/21/2019, 11.28%, 1.87%, 0.77%
03/22/2019, 9.21%, 0.04%, -1.79%
03/25/2019, 9.21%, 0.04%, 0.01%
03/26/2019, 9.84%, 0.6%, 0.56%
03/27/2019, 9.51%, 0.31%, -0.29%
03/28/2019, 9.85%, 0.62%, 0.3%
03/29/2019, 10.36%, 1.07%, 0.45%
04/01/2019, 11.24%, 0.77%, 0.77%
04/02/2019, 11.26%, 0.79%, 0.02%
04/03/2019, 11.48%, 0.99%, 0.19%
04/04/2019, 11.63%, 1.12%, 0.13%
04/05/2019, 12.09%, 1.52%, 0.4%
04/08/2019, 12.14%, 1.56%, 0.04%
04/09/2019, 11.62%, 1.11%, -0.44%
04/10/2019, 12.07%, 1.51%, 0.39%
04/11/2019, 12%, 1.44%, -0.07%
04/12/2019, 12.51%, 1.89%, 0.44%
04/15/2019, 12.47%, 1.86%, -0.03%
04/16/2019, 12.47%, 1.85%, -0.01%
04/17/2019, 12.21%, 1.62%, -0.22%
04/18/2019, 12.36%, 1.76%, 0.13%
04/22/2019, 12.35%, 1.75%, -0.01%
04/23/2019, 13.16%, 2.46%, 0.7%
04/24/2019, 13%, 2.32%, -0.13%
04/25/2019, 12.89%, 2.22%, -0.1%
04/26/2019, 13.4%, 2.68%, 0.44%
04/29/2019, 13.48%, 2.75%, 0.07%
