Date, YTD, MTD, Day
01/03/2011, 0.82%, 0.82%, 0.82%
01/04/2011, 0.63%, 0.63%, -0.19%
01/05/2011, 0.83%, 0.83%, 0.2%
01/06/2011, 0.69%, 0.69%, -0.13%
01/07/2011, 0.64%, 0.64%, -0.05%
01/10/2011, 0.61%, 0.61%, -0.03%
01/11/2011, 0.89%, 0.89%, 0.28%
01/12/2011, 1.62%, 1.62%, 0.72%
01/13/2011, 1.6%, 1.6%, -0.02%
01/14/2011, 2.09%, 2.09%, 0.48%
01/18/2011, 2.23%, 2.23%, 0.13%
01/19/2011, 1.38%, 1.38%, -0.82%
01/20/2011, 1.02%, 1.02%, -0.36%
01/21/2011, 1.14%, 1.14%, 0.12%
01/24/2011, 1.61%, 1.61%, 0.47%
01/25/2011, 1.7%, 1.7%, 0.08%
01/26/2011, 2.1%, 2.1%, 0.4%
01/27/2011, 2.35%, 2.35%, 0.25%
01/28/2011, 0.98%, 0.98%, -1.33%
01/31/2011, 1.48%, 1.48%, 0.5%
02/01/2011, 2.75%, 1.24%, 1.24%
02/02/2011, 2.56%, 1.06%, -0.18%
02/03/2011, 2.67%, 1.16%, 0.1%
02/04/2011, 2.77%, 1.25%, 0.09%
02/07/2011, 3.25%, 1.73%, 0.47%
02/08/2011, 3.52%, 1.99%, 0.25%
02/09/2011, 3.34%, 1.81%, -0.17%
02/10/2011, 3.3%, 1.77%, -0.05%
02/11/2011, 3.85%, 2.31%, 0.53%
02/14/2011, 4.13%, 2.58%, 0.26%
02/15/2011, 3.86%, 2.32%, -0.25%
02/16/2011, 4.45%, 2.9%, 0.56%
02/17/2011, 4.79%, 3.24%, 0.32%
02/18/2011, 4.93%, 3.37%, 0.13%
02/22/2011, 3.26%, 1.74%, -1.55%
02/23/2011, 2.7%, 1.19%, -0.53%
02/24/2011, 2.71%, 1.2%, 0.01%
02/25/2011, 3.73%, 2.2%, 0.99%
02/28/2011, 4.17%, 2.63%, 0.41%
03/01/2011, 2.97%, -1.13%, -1.13%
03/02/2011, 3.08%, -1.03%, 0.1%
03/03/2011, 4.33%, 0.15%, 1.2%
03/04/2011, 3.91%, -0.24%, -0.39%
03/07/2011, 3.16%, -0.95%, -0.71%
03/08/2011, 3.79%, -0.36%, 0.6%
03/09/2011, 3.73%, -0.42%, -0.06%
03/10/2011, 2.28%, -1.78%, -1.37%
03/11/2011, 2.75%, -1.34%, 0.46%
03/14/2011, 2.27%, -1.79%, -0.47%
03/15/2011, 1.39%, -2.63%, -0.86%
03/16/2011, 0.13%, -3.81%, -1.23%
03/17/2011, 1.03%, -2.96%, 0.9%
03/18/2011, 1.46%, -2.55%, 0.43%
03/21/2011, 2.63%, -1.45%, 1.15%
03/22/2011, 2.35%, -1.71%, -0.27%
03/23/2011, 2.56%, -1.52%, 0.2%
03/24/2011, 2.95%, -1.15%, 0.38%
03/25/2011, 3.14%, -0.97%, 0.18%
03/28/2011, 2.94%, -1.16%, -0.19%
03/29/2011, 3.47%, -0.67%, 0.5%
03/30/2011, 4.16%, -0.01%, 0.67%
03/31/2011, 4.08%, -0.08%, -0.08%
04/01/2011, 4.54%, 0.43%, 0.43%
04/04/2011, 4.66%, 0.55%, 0.12%
04/05/2011, 4.62%, 0.51%, -0.04%
04/06/2011, 4.76%, 0.63%, 0.12%
04/07/2011, 4.58%, 0.46%, -0.17%
04/08/2011, 4.29%, 0.19%, -0.27%
04/11/2011, 3.98%, -0.1%, -0.29%
04/12/2011, 3.38%, -0.66%, -0.56%
04/13/2011, 3.51%, -0.54%, 0.12%
04/14/2011, 3.55%, -0.5%, 0.03%
04/15/2011, 3.98%, -0.09%, 0.41%
04/18/2011, 3.04%, -0.98%, -0.89%
04/19/2011, 3.49%, -0.55%, 0.43%
04/20/2011, 4.65%, 0.55%, 1.11%
04/21/2011, 5.11%, 0.98%, 0.43%
04/25/2011, 5.04%, 0.92%, -0.06%
04/26/2011, 5.8%, 1.64%, 0.71%
04/27/2011, 6.31%, 2.12%, 0.47%
04/28/2011, 6.65%, 2.44%, 0.31%
04/29/2011, 6.89%, 2.67%, 0.22%
05/02/2011, 6.66%, -0.2%, -0.2%
05/03/2011, 6.27%, -0.56%, -0.36%
05/04/2011, 5.67%, -1.11%, -0.56%
05/05/2011, 5.03%, -1.7%, -0.6%
05/06/2011, 5.36%, -1.39%, 0.31%
05/09/2011, 5.8%, -0.99%, 0.41%
05/10/2011, 6.43%, -0.41%, 0.58%
05/11/2011, 5.56%, -1.21%, -0.8%
05/12/2011, 5.88%, -0.91%, 0.3%
05/13/2011, 5.19%, -1.55%, -0.64%
05/16/2011, 4.68%, -2.02%, -0.48%
05/17/2011, 4.66%, -2.02%, -0.01%
05/18/2011, 5.37%, -1.38%, 0.67%
05/19/2011, 5.56%, -1.21%, 0.17%
05/20/2011, 4.97%, -1.74%, -0.55%
05/23/2011, 3.91%, -2.72%, -1%
05/24/2011, 3.88%, -2.75%, -0.03%
05/25/2011, 4.22%, -2.43%, 0.33%
05/26/2011, 4.74%, -1.95%, 0.5%
05/27/2011, 5.14%, -1.59%, 0.37%
05/31/2011, 6.06%, -0.74%, 0.87%
06/01/2011, 4.33%, -1.6%, -1.6%
06/02/2011, 4.16%, -1.76%, -0.16%
06/03/2011, 3.47%, -2.4%, -0.65%
06/06/2011, 2.54%, -3.27%, -0.9%
06/07/2011, 2.64%, -3.17%, 0.1%
06/08/2011, 2.22%, -3.56%, -0.41%
06/09/2011, 2.68%, -3.13%, 0.45%
06/10/2011, 1.54%, -4.19%, -1.1%
06/13/2011, 1.54%, -4.19%, -0%
06/14/2011, 2.46%, -3.35%, 0.91%
06/15/2011, 1.2%, -4.51%, -1.22%
06/16/2011, 1.26%, -4.46%, 0.06%
06/17/2011, 1.45%, -4.28%, 0.19%
06/20/2011, 1.81%, -3.95%, 0.35%
06/21/2011, 2.97%, -2.87%, 1.14%
06/22/2011, 2.52%, -3.29%, -0.43%
06/23/2011, 2.07%, -3.7%, -0.44%
06/24/2011, 1.3%, -4.42%, -0.75%
06/27/2011, 1.84%, -3.92%, 0.54%
06/28/2011, 2.77%, -3.06%, 0.91%
06/29/2011, 3.41%, -2.47%, 0.62%
06/30/2011, 4.17%, -1.76%, 0.73%
07/01/2011, 5.3%, 1.07%, 1.07%
07/05/2011, 5.31%, 1.08%, 0.01%
07/06/2011, 5.42%, 1.19%, 0.1%
07/07/2011, 6.23%, 1.95%, 0.75%
07/08/2011, 5.79%, 1.54%, -0.4%
07/11/2011, 4.29%, 0.12%, -1.4%
07/12/2011, 3.91%, -0.24%, -0.36%
07/13/2011, 4.33%, 0.16%, 0.4%
07/14/2011, 3.63%, -0.5%, -0.66%
07/15/2011, 4.11%, -0.05%, 0.46%
07/18/2011, 3.29%, -0.83%, -0.78%
07/19/2011, 4.65%, 0.47%, 1.31%
07/20/2011, 4.63%, 0.44%, -0.02%
07/21/2011, 5.61%, 1.37%, 0.92%
07/22/2011, 5.79%, 1.54%, 0.17%
07/25/2011, 5.23%, 1.01%, -0.52%
07/26/2011, 5.02%, 0.81%, -0.2%
07/27/2011, 3.25%, -0.87%, -1.67%
07/28/2011, 3.06%, -1.05%, -0.18%
07/29/2011, 2.8%, -1.29%, -0.25%
08/01/2011, 2.5%, -0.29%, -0.29%
08/02/2011, 0.63%, -2.1%, -1.83%
08/03/2011, 0.99%, -1.75%, 0.36%
08/04/2011, -2.71%, -5.35%, -3.7%
08/05/2011, -3.14%, -5.77%, -0.43%
08/08/2011, -8%, -10.48%, -5.13%
08/09/2011, -4.59%, -7.17%, 3.85%
08/10/2011, -7.38%, -9.88%, -3.03%
08/11/2011, -4.53%, -7.11%, 3.25%
08/12/2011, -4.04%, -6.63%, 0.52%
08/15/2011, -2.47%, -5.11%, 1.68%
08/16/2011, -3.18%, -5.8%, -0.74%
08/17/2011, -3.04%, -5.66%, 0.14%
08/18/2011, -6.3%, -8.83%, -3.45%
08/19/2011, -7.4%, -9.89%, -1.21%
08/22/2011, -7.39%, -9.89%, 0.01%
08/23/2011, -5.15%, -7.72%, 2.53%
08/24/2011, -4.51%, -7.1%, 0.72%
08/25/2011, -5.64%, -8.19%, -1.22%
08/26/2011, -4.43%, -7.01%, 1.32%
08/29/2011, -2.41%, -5.05%, 2.18%
08/30/2011, -2.11%, -4.76%, 0.3%
08/31/2011, -1.73%, -4.4%, 0.4%
