Date, YTD, MTD, Day
01/04/2021, -0.31%, -0.31%, -0.31%
01/05/2021, 0.16%, 0.16%, 0.47%
01/06/2021, 0.19%, 0.19%, 0.03%
01/07/2021, 0.63%, 0.63%, 0.43%
01/08/2021, 0.99%, 0.99%, 0.35%
01/11/2021, 0.49%, 0.49%, -0.49%
01/12/2021, 0.72%, 0.72%, 0.23%
01/13/2021, 0.93%, 0.93%, 0.2%
01/14/2021, 0.98%, 0.98%, 0.05%
01/15/2021, 0.51%, 0.51%, -0.45%
01/19/2021, 1.05%, 1.05%, 0.53%
01/20/2021, 1.62%, 1.62%, 0.55%
01/21/2021, 1.52%, 1.52%, -0.1%
01/22/2021, 1.32%, 1.32%, -0.19%
01/25/2021, 1.54%, 1.54%, 0.22%
01/26/2021, 1.38%, 1.38%, -0.16%
01/27/2021, 0.17%, 0.17%, -1.17%
01/28/2021, 0.52%, 0.52%, 0.34%
01/29/2021, -0.59%, -0.59%, -1.08%
02/01/2021, 0.35%, 0.94%, 0.94%
02/02/2021, 0.88%, 1.47%, 0.52%
02/03/2021, 0.94%, 1.53%, 0.06%
02/04/2021, 1.26%, 1.85%, 0.31%
02/05/2021, 1.48%, 2.06%, 0.2%
02/08/2021, 1.93%, 2.52%, 0.43%
02/09/2021, 2.11%, 2.7%, 0.18%
02/10/2021, 2.2%, 2.79%, 0.09%
02/11/2021, 2.37%, 2.96%, 0.16%
02/12/2021, 2.44%, 3.03%, 0.06%
02/16/2021, 2.37%, 2.96%, -0.08%
02/17/2021, 2.3%, 2.89%, -0.06%
02/18/2021, 1.93%, 2.52%, -0.35%
02/19/2021, 1.91%, 2.5%, -0.03%
02/22/2021, 1.32%, 1.91%, -0.56%
02/23/2021, 1.3%, 1.88%, -0.02%
02/24/2021, 1.52%, 2.1%, 0.2%
02/25/2021, 0.09%, 0.67%, -1.37%
02/26/2021, -0.03%, 0.55%, -0.09%
03/01/2021, 1.03%, 1.03%, 1.03%
03/02/2021, 0.75%, 0.76%, -0.26%
03/03/2021, 0.19%, 0.21%, -0.54%
03/04/2021, -0.78%, -0.75%, -0.95%
03/05/2021, -0.15%, -0.13%, 0.62%
03/08/2021, -0.77%, -0.75%, -0.62%
03/09/2021, 0.16%, 0.17%, 0.92%
03/10/2021, 0.47%, 0.46%, 0.3%
03/11/2021, 1.18%, 1.16%, 0.68%
03/12/2021, 0.89%, 0.86%, -0.3%
03/15/2021, 1.15%, 1.12%, 0.25%
03/16/2021, 1.07%, 1.04%, -0.08%
03/17/2021, 1.21%, 1.17%, 0.13%
03/18/2021, 0.34%, 0.32%, -0.83%
03/19/2021, 0.38%, 0.36%, 0.04%
03/22/2021, 0.72%, 0.7%, 0.34%
03/23/2021, 0.16%, 0.16%, -0.52%
03/24/2021, -0.37%, -0.35%, -0.51%
03/25/2021, -0.1%, -0.1%, 0.25%
03/26/2021, 0.62%, 0.6%, 0.69%
03/29/2021, 0.33%, 0.31%, -0.29%
03/30/2021, 0.31%, 0.3%, -0.01%
03/31/2021, 0.38%, 0.36%, 0.06%
04/01/2021, 1.25%, 0.85%, 0.85%
04/05/2021, 1.73%, 1.3%, 0.44%
04/06/2021, 1.8%, 1.37%, 0.08%
04/07/2021, 1.68%, 1.25%, -0.12%
04/08/2021, 2.11%, 1.67%, 0.41%
04/09/2021, 2.21%, 1.77%, 0.09%
04/12/2021, 2.02%, 1.58%, -0.19%
04/13/2021, 2.39%, 1.94%, 0.36%
04/14/2021, 2.29%, 1.84%, -0.09%
04/15/2021, 3.01%, 2.55%, 0.69%
04/16/2021, 3.12%, 2.65%, 0.09%
04/19/2021, 2.87%, 2.41%, -0.23%
04/20/2021, 2.35%, 1.92%, -0.47%
04/21/2021, 2.89%, 2.44%, 0.5%
04/22/2021, 2.64%, 2.2%, -0.22%
04/23/2021, 3.24%, 2.76%, 0.54%
04/26/2021, 3.37%, 2.89%, 0.13%
04/27/2021, 3.2%, 2.71%, -0.18%
04/28/2021, 3.27%, 2.78%, 0.07%
04/29/2021, 3.39%, 2.9%, 0.11%
04/30/2021, 2.85%, 2.39%, -0.49%
05/03/2021, 3.07%, 0.2%, 0.2%
05/04/2021, 2.58%, -0.24%, -0.44%
05/05/2021, 2.86%, 0.02%, 0.27%
05/06/2021, 3.28%, 0.41%, 0.39%
