Date, YTD, MTD, Day
01/04/2021, -0.63%, -0.63%, -0.63%
01/05/2021, 0.48%, 0.48%, 1.11%
01/06/2021, 1.07%, 1.07%, 0.59%
01/07/2021, 2.2%, 2.2%, 1.12%
01/08/2021, 3.01%, 3.01%, 0.79%
01/11/2021, 2.19%, 2.19%, -0.8%
01/12/2021, 2.65%, 2.65%, 0.46%
01/13/2021, 2.72%, 2.72%, 0.06%
01/14/2021, 3%, 3%, 0.27%
01/15/2021, 1.89%, 1.89%, -1.07%
01/19/2021, 2.88%, 2.88%, 0.97%
01/20/2021, 4.01%, 4.01%, 1.1%
01/21/2021, 3.98%, 3.98%, -0.03%
01/22/2021, 3.58%, 3.58%, -0.38%
01/25/2021, 3.77%, 3.77%, 0.19%
01/26/2021, 3.45%, 3.45%, -0.32%
01/27/2021, 1.03%, 1.03%, -2.33%
01/28/2021, 1.81%, 1.81%, 0.77%
01/29/2021, -0.23%, -0.23%, -2%
02/01/2021, 1.55%, 1.78%, 1.78%
02/02/2021, 2.79%, 3.02%, 1.21%
02/03/2021, 3.09%, 3.32%, 0.29%
02/04/2021, 3.73%, 3.97%, 0.63%
02/05/2021, 4.33%, 4.56%, 0.57%
02/08/2021, 5.23%, 5.47%, 0.86%
02/09/2021, 5.52%, 5.76%, 0.27%
02/10/2021, 5.52%, 5.76%, 0%
02/11/2021, 5.94%, 6.18%, 0.4%
02/12/2021, 6.43%, 6.67%, 0.46%
02/16/2021, 6.73%, 6.97%, 0.28%
02/17/2021, 6.4%, 6.64%, -0.3%
02/18/2021, 5.67%, 5.91%, -0.69%
02/19/2021, 5.97%, 6.21%, 0.28%
02/22/2021, 5.05%, 5.29%, -0.87%
02/23/2021, 5.09%, 5.33%, 0.04%
02/24/2021, 5.7%, 5.94%, 0.58%
02/25/2021, 3.54%, 3.78%, -2.04%
02/26/2021, 2.52%, 2.75%, -0.99%
03/01/2021, 4.81%, 2.23%, 2.23%
03/02/2021, 4.16%, 1.6%, -0.61%
03/03/2021, 3.31%, 0.77%, -0.82%
03/04/2021, 1.71%, -0.79%, -1.55%
03/05/2021, 3.06%, 0.53%, 1.33%
03/08/2021, 2.16%, -0.35%, -0.88%
03/09/2021, 3.76%, 1.21%, 1.57%
03/10/2021, 4.29%, 1.72%, 0.5%
03/11/2021, 5.71%, 3.11%, 1.36%
03/12/2021, 5.65%, 3.05%, -0.06%
03/15/2021, 6.09%, 3.48%, 0.42%
03/16/2021, 6.01%, 3.4%, -0.07%
03/17/2021, 6.37%, 3.76%, 0.34%
03/18/2021, 4.99%, 2.41%, -1.29%
03/19/2021, 4.97%, 2.39%, -0.02%
03/22/2021, 5.4%, 2.81%, 0.41%
03/23/2021, 4.03%, 1.47%, -1.3%
03/24/2021, 2.88%, 0.35%, -1.1%
03/25/2021, 3.5%, 0.95%, 0.6%
03/26/2021, 5.11%, 2.52%, 1.55%
03/29/2021, 4.7%, 2.12%, -0.39%
03/30/2021, 4.67%, 2.1%, -0.02%
03/31/2021, 4.89%, 2.31%, 0.21%
04/01/2021, 6.2%, 1.25%, 1.25%
