Date, YTD, MTD, Day
01/04/2021, -0.5%, -0.5%, -0.5%
01/05/2021, 0.35%, 0.35%, 0.86%
01/06/2021, 0.72%, 0.72%, 0.37%
01/07/2021, 1.57%, 1.57%, 0.85%
01/08/2021, 2.21%, 2.21%, 0.62%
01/11/2021, 1.51%, 1.51%, -0.68%
01/12/2021, 1.88%, 1.88%, 0.36%
01/13/2021, 2%, 2%, 0.12%
01/14/2021, 2.19%, 2.19%, 0.18%
01/15/2021, 1.34%, 1.34%, -0.83%
01/19/2021, 2.15%, 2.15%, 0.8%
01/20/2021, 3.05%, 3.05%, 0.88%
01/21/2021, 2.99%, 2.99%, -0.06%
01/22/2021, 2.68%, 2.68%, -0.3%
01/25/2021, 2.88%, 2.88%, 0.2%
01/26/2021, 2.62%, 2.62%, -0.25%
01/27/2021, 0.69%, 0.69%, -1.87%
01/28/2021, 1.29%, 1.29%, 0.6%
01/29/2021, -0.37%, -0.37%, -1.63%
02/01/2021, 1.07%, 1.44%, 1.44%
02/02/2021, 2.02%, 2.4%, 0.94%
02/03/2021, 2.23%, 2.6%, 0.2%
02/04/2021, 2.75%, 3.12%, 0.5%
02/05/2021, 3.19%, 3.56%, 0.42%
02/08/2021, 3.91%, 4.29%, 0.69%
02/09/2021, 4.15%, 4.53%, 0.24%
02/10/2021, 4.19%, 4.57%, 0.04%
02/11/2021, 4.51%, 4.89%, 0.3%
02/12/2021, 4.83%, 5.21%, 0.3%
02/16/2021, 4.98%, 5.36%, 0.14%
02/17/2021, 4.76%, 5.14%, -0.21%
02/18/2021, 4.17%, 4.55%, -0.55%
02/19/2021, 4.34%, 4.72%, 0.16%
02/22/2021, 3.56%, 3.93%, -0.75%
02/23/2021, 3.57%, 3.95%, 0.01%
02/24/2021, 4.03%, 4.41%, 0.43%
02/25/2021, 2.16%, 2.54%, -1.77%
02/26/2021, 1.5%, 1.87%, -0.63%
03/01/2021, 3.3%, 1.75%, 1.75%
03/02/2021, 2.8%, 1.27%, -0.47%
03/03/2021, 2.06%, 0.55%, -0.71%
03/04/2021, 0.71%, -0.77%, -1.31%
03/05/2021, 1.78%, 0.27%, 1.05%
03/08/2021, 0.98%, -0.51%, -0.77%
03/09/2021, 2.32%, 0.8%, 1.31%
03/10/2021, 2.76%, 1.22%, 0.42%
03/11/2021, 3.9%, 2.33%, 1.09%
03/12/2021, 3.74%, 2.18%, -0.15%
03/15/2021, 4.12%, 2.54%, 0.35%
03/16/2021, 4.03%, 2.46%, -0.08%
03/17/2021, 4.31%, 2.72%, 0.26%
03/18/2021, 3.13%, 1.58%, -1.11%
03/19/2021, 3.13%, 1.58%, 0%
03/22/2021, 3.53%, 1.97%, 0.38%
03/23/2021, 2.48%, 0.95%, -0.99%
03/24/2021, 1.58%, 0.07%, -0.86%
03/25/2021, 2.06%, 0.53%, 0.46%
03/26/2021, 3.31%, 1.75%, 1.21%
03/29/2021, 2.95%, 1.4%, -0.35%
03/30/2021, 2.93%, 1.38%, -0.02%
03/31/2021, 3.08%, 1.53%, 0.15%
04/01/2021, 4.22%, 1.09%, 1.09%
04/05/2021, 5.09%, 1.92%, 0.82%
04/06/2021, 5.04%, 1.88%, -0.04%
04/07/2021, 4.9%, 1.74%, -0.13%
04/08/2021, 5.49%, 2.3%, 0.55%
04/09/2021, 5.71%, 2.5%, 0.2%
04/12/2021, 5.45%, 2.25%, -0.25%
04/13/2021, 5.88%, 2.67%, 0.41%
04/14/2021, 5.77%, 2.57%, -0.1%
04/15/2021, 6.68%, 3.44%, 0.84%
04/16/2021, 7.01%, 3.75%, 0.3%
04/19/2021, 6.61%, 3.37%, -0.37%
04/20/2021, 5.73%, 2.53%, -0.81%
04/21/2021, 6.54%, 3.3%, 0.75%
04/22/2021, 6.09%, 2.88%, -0.41%
04/23/2021, 7.09%, 3.83%, 0.92%
04/26/2021, 7.31%, 4.04%, 0.2%
04/27/2021, 7.18%, 3.91%, -0.13%
04/28/2021, 7.29%, 4.02%, 0.11%
04/29/2021, 7.49%, 4.2%, 0.17%
04/30/2021, 6.58%, 3.33%, -0.83%
05/03/2021, 6.92%, 0.32%, 0.32%
05/04/2021, 6.09%, -0.44%, -0.76%
05/05/2021, 6.49%, -0.07%, 0.38%
05/06/2021, 7.1%, 0.5%, 0.57%
05/07/2021, 7.95%, 1.28%, 0.78%
05/10/2021, 7.1%, 0.5%, -0.77%
05/11/2021, 6.31%, -0.24%, -0.73%
05/12/2021, 4.41%, -1.97%, -1.74%
05/13/2021, 5.05%, -1.39%, 0.6%
05/14/2021, 6.51%, -0.05%, 1.37%
05/17/2021, 6.34%, -0.2%, -0.16%
05/18/2021, 6.29%, -0.25%, -0.05%
05/19/2021, 5.76%, -0.74%, -0.49%
05/20/2021, 6.82%, 0.24%, 0.99%
05/21/2021, 6.69%, 0.13%, -0.12%
05/24/2021, 7.42%, 0.79%, 0.67%
05/25/2021, 7.42%, 0.8%, 0.01%
05/26/2021, 7.69%, 1.05%, 0.24%
05/27/2021, 7.93%, 1.26%, 0.21%
05/28/2021, 8.13%, 1.45%, 0.19%
06/01/2021, 8.49%, 0.32%, 0.32%
06/02/2021, 8.69%, 0.51%, 0.18%
06/03/2021, 8.2%, 0.06%, -0.44%
06/04/2021, 9.03%, 0.82%, 0.76%
06/07/2021, 9.09%, 0.86%, 0.05%
06/08/2021, 9.13%, 0.91%, 0.05%
06/09/2021, 8.92%, 0.73%, -0.18%
06/10/2021, 9.34%, 1.11%, 0.38%
06/11/2021, 9.49%, 1.24%, 0.14%
06/14/2021, 9.62%, 1.35%, 0.11%
06/15/2021, 9.41%, 1.17%, -0.18%
06/16/2021, 8.8%, 0.6%, -0.56%
06/17/2021, 8.62%, 0.45%, -0.15%
06/18/2021, 7.07%, -0.94%, -1.38%
