Date, YTD, MTD, Day
01/04/2021, -0.82%, -0.82%, -0.82%
01/05/2021, 0.01%, 0.01%, 0.83%
01/06/2021, 0.51%, 0.51%, 0.51%
01/07/2021, 1.61%, 1.61%, 1.09%
01/08/2021, 2.18%, 2.18%, 0.55%
01/11/2021, 1.54%, 1.54%, -0.62%
01/12/2021, 1.89%, 1.89%, 0.34%
01/13/2021, 2%, 2%, 0.12%
01/14/2021, 2.08%, 2.08%, 0.07%
01/15/2021, 1.27%, 1.27%, -0.79%
01/19/2021, 2.08%, 2.08%, 0.8%
01/20/2021, 3.11%, 3.11%, 1%
01/21/2021, 3.03%, 3.03%, -0.07%
01/22/2021, 2.78%, 2.78%, -0.24%
01/25/2021, 3.01%, 3.01%, 0.22%
01/26/2021, 2.73%, 2.73%, -0.27%
01/27/2021, 0.59%, 0.59%, -2.07%
01/28/2021, 1.32%, 1.32%, 0.72%
01/29/2021, -0.37%, -0.37%, -1.66%
02/01/2021, 1.13%, 1.51%, 1.51%
02/02/2021, 2.24%, 2.61%, 1.09%
02/03/2021, 2.41%, 2.79%, 0.17%
02/04/2021, 3.16%, 3.54%, 0.73%
02/05/2021, 3.64%, 4.02%, 0.46%
02/08/2021, 4.43%, 4.81%, 0.76%
02/09/2021, 4.6%, 4.98%, 0.16%
02/10/2021, 4.61%, 4.99%, 0.01%
02/11/2021, 4.9%, 5.28%, 0.27%
02/12/2021, 5.27%, 5.65%, 0.35%
02/16/2021, 5.31%, 5.69%, 0.03%
02/17/2021, 5.11%, 5.49%, -0.18%
02/18/2021, 4.52%, 4.91%, -0.55%
02/19/2021, 4.68%, 5.06%, 0.15%
02/22/2021, 3.84%, 4.21%, -0.8%
02/23/2021, 3.84%, 4.22%, 0%
02/24/2021, 4.54%, 4.92%, 0.67%
02/25/2021, 2.38%, 2.76%, -2.05%
02/26/2021, 1.87%, 2.24%, -0.49%
03/01/2021, 3.88%, 1.96%, 1.96%
03/02/2021, 3.22%, 1.32%, -0.63%
03/03/2021, 2.23%, 0.36%, -0.95%
03/04/2021, 0.8%, -1.04%, -1.39%
03/05/2021, 2.12%, 0.25%, 1.3%
03/08/2021, 1.42%, -0.44%, -0.68%
03/09/2021, 2.84%, 0.94%, 1.39%
03/10/2021, 3.36%, 1.45%, 0.5%
03/11/2021, 4.56%, 2.62%, 1.15%
03/12/2021, 4.52%, 2.57%, -0.05%
03/15/2021, 5.01%, 3.06%, 0.47%
03/16/2021, 4.82%, 2.87%, -0.18%
