Date, YTD, MTD, Day
01/03/2012, 1.29%, 1.29%, 1.29%
01/04/2012, 1.19%, 1.19%, -0.1%
01/05/2012, 1.22%, 1.22%, 0.03%
01/06/2012, 1.01%, 1.01%, -0.2%
01/09/2012, 1.26%, 1.26%, 0.24%
01/10/2012, 2.05%, 2.05%, 0.79%
01/11/2012, 2.15%, 2.15%, 0.1%
01/12/2012, 2.38%, 2.38%, 0.22%
01/13/2012, 2%, 2%, -0.37%
01/17/2012, 2.41%, 2.41%, 0.41%
01/18/2012, 3.35%, 3.35%, 0.92%
01/19/2012, 3.8%, 3.8%, 0.42%
01/20/2012, 3.84%, 3.84%, 0.04%
01/23/2012, 3.95%, 3.95%, 0.1%
01/24/2012, 3.87%, 3.87%, -0.07%
01/25/2012, 4.68%, 4.68%, 0.77%
01/26/2012, 4.44%, 4.44%, -0.22%
01/27/2012, 4.52%, 4.52%, 0.07%
01/30/2012, 4.2%, 4.2%, -0.3%
01/31/2012, 4.31%, 4.31%, 0.1%
02/01/2012, 5.23%, 0.87%, 0.87%
02/02/2012, 5.43%, 1.06%, 0.19%
02/03/2012, 6.56%, 2.13%, 1.05%
02/06/2012, 6.49%, 2.07%, -0.06%
02/07/2012, 6.61%, 2.17%, 0.1%
02/08/2012, 6.83%, 2.38%, 0.2%
02/09/2012, 6.91%, 2.46%, 0.07%
02/10/2012, 6.17%, 1.76%, -0.67%
02/13/2012, 6.85%, 2.4%, 0.63%
02/14/2012, 6.68%, 2.25%, -0.15%
02/15/2012, 6.41%, 1.99%, -0.25%
02/16/2012, 7.32%, 2.85%, 0.84%
02/17/2012, 7.47%, 2.99%, 0.13%
02/21/2012, 7.43%, 2.95%, -0.04%
02/22/2012, 7.23%, 2.77%, -0.18%
02/23/2012, 7.7%, 3.21%, 0.43%
02/24/2012, 7.92%, 3.42%, 0.2%
02/27/2012, 7.91%, 3.41%, -0.01%
02/28/2012, 8.24%, 3.73%, 0.3%
02/29/2012, 7.75%, 3.25%, -0.45%
03/01/2012, 8.28%, 0.48%, 0.48%
03/02/2012, 7.92%, 0.16%, -0.32%
03/05/2012, 7.5%, -0.22%, -0.38%
03/06/2012, 5.98%, -1.59%, -1.38%
03/07/2012, 6.61%, -1.03%, 0.57%
03/08/2012, 7.59%, -0.14%, 0.9%
03/09/2012, 7.85%, 0.1%, 0.24%
03/12/2012, 7.75%, 0.01%, -0.09%
03/13/2012, 9.13%, 1.25%, 1.24%
03/14/2012, 8.72%, 0.87%, -0.38%
03/15/2012, 9.29%, 1.39%, 0.51%
03/16/2012, 9.44%, 1.52%, 0.14%
03/19/2012, 9.7%, 1.75%, 0.22%
03/20/2012, 9.24%, 1.33%, -0.41%
03/21/2012, 9.15%, 1.26%, -0.07%
03/22/2012, 8.51%, 0.69%, -0.56%
03/23/2012, 8.62%, 0.78%, 0.1%
03/26/2012, 9.77%, 1.83%, 1.03%
03/27/2012, 9.53%, 1.61%, -0.21%
03/28/2012, 9.07%, 1.2%, -0.41%
03/29/2012, 8.91%, 1.06%, -0.14%
03/30/2012, 9.12%, 1.24%, 0.18%
04/02/2012, 9.85%, 0.65%, 0.65%
04/03/2012, 9.33%, 0.18%, -0.47%
04/04/2012, 8.26%, -0.76%, -0.94%
04/05/2012, 8.22%, -0.8%, -0.04%
04/09/2012, 7.49%, -1.44%, -0.64%
04/10/2012, 5.99%, -2.76%, -1.36%
04/11/2012, 6.67%, -2.17%, 0.62%
04/12/2012, 7.87%, -1.1%, 1.11%
04/13/2012, 6.84%, -2.01%, -0.93%
04/16/2012, 6.87%, -1.98%, 0.04%
04/17/2012, 8.11%, -0.88%, 1.13%
04/18/2012, 7.73%, -1.22%, -0.34%
04/19/2012, 7.34%, -1.56%, -0.35%
04/20/2012, 7.55%, -1.38%, 0.19%
04/23/2012, 6.71%, -2.12%, -0.76%
04/24/2012, 6.99%, -1.87%, 0.26%
04/25/2012, 8.14%, -0.85%, 1.05%
04/26/2012, 8.7%, -0.35%, 0.51%
04/27/2012, 8.96%, -0.12%, 0.23%
04/30/2012, 8.62%, -0.42%, -0.31%
05/01/2012, 8.97%, 0.31%, 0.31%
05/02/2012, 8.81%, 0.17%, -0.14%
05/03/2012, 8.12%, -0.45%, -0.62%
05/04/2012, 6.81%, -1.62%, -1.18%
05/07/2012, 6.9%, -1.53%, 0.09%
05/08/2012, 6.41%, -1.98%, -0.46%
05/09/2012, 5.82%, -2.5%, -0.54%
05/10/2012, 6.05%, -2.3%, 0.21%
05/11/2012, 5.81%, -2.52%, -0.22%
05/14/2012, 4.8%, -3.42%, -0.94%
05/15/2012, 4.25%, -3.92%, -0.52%
05/16/2012, 3.78%, -4.34%, -0.45%
05/17/2012, 2.6%, -5.39%, -1.12%
05/18/2012, 1.94%, -5.99%, -0.64%
05/21/2012, 3.25%, -4.82%, 1.27%
05/22/2012, 3.2%, -4.87%, -0.05%
05/23/2012, 3.21%, -4.86%, 0.01%
05/24/2012, 3.24%, -4.83%, 0.03%
05/25/2012, 3.1%, -4.96%, -0.14%
05/29/2012, 4.03%, -4.12%, 0.9%
05/30/2012, 2.85%, -5.18%, -1.13%
05/31/2012, 2.8%, -5.21%, -0.04%
06/01/2012, 0.94%, -1.8%, -1.8%
06/04/2012, 0.87%, -1.86%, -0.06%
06/05/2012, 1.35%, -1.4%, 0.47%
06/06/2012, 3.09%, 0.29%, 1.72%
06/07/2012, 3.08%, 0.28%, -0.01%
06/08/2012, 3.56%, 0.73%, 0.45%
06/11/2012, 2.54%, -0.24%, -0.97%
06/12/2012, 3.45%, 0.63%, 0.88%
06/13/2012, 2.94%, 0.14%, -0.48%
06/14/2012, 3.68%, 0.85%, 0.71%
06/15/2012, 4.58%, 1.73%, 0.87%
06/18/2012, 4.76%, 1.9%, 0.17%
06/19/2012, 5.65%, 2.77%, 0.84%
06/20/2012, 5.58%, 2.7%, -0.06%
06/21/2012, 3.75%, 0.93%, -1.71%
06/22/2012, 3.9%, 1.08%, 0.15%
06/25/2012, 2.67%, -0.11%, -1.17%
06/26/2012, 3.03%, 0.24%, 0.35%
06/27/2012, 3.78%, 0.96%, 0.72%
06/28/2012, 3.65%, 0.83%, -0.13%
06/29/2012, 5.77%, 2.9%, 2.04%
07/02/2012, 6.15%, 0.36%, 0.36%
07/03/2012, 6.81%, 0.97%, 0.61%
07/05/2012, 6.38%, 0.57%, -0.39%
07/06/2012, 5.6%, -0.15%, -0.72%
07/09/2012, 5.45%, -0.29%, -0.14%
07/10/2012, 4.82%, -0.88%, -0.59%
07/11/2012, 4.82%, -0.88%, -0%
07/12/2012, 4.36%, -1.3%, -0.43%
07/13/2012, 5.62%, -0.14%, 1.19%
07/16/2012, 5.47%, -0.27%, -0.14%
07/17/2012, 5.97%, 0.19%, 0.47%
07/18/2012, 6.48%, 0.67%, 0.48%
07/19/2012, 6.79%, 0.96%, 0.29%
07/20/2012, 5.88%, 0.11%, -0.84%
07/23/2012, 4.97%, -0.74%, -0.86%
07/24/2012, 4.21%, -1.45%, -0.72%
07/25/2012, 4.31%, -1.35%, 0.11%
07/26/2012, 5.66%, -0.09%, 1.29%
07/27/2012, 7.13%, 1.27%, 1.37%
07/30/2012, 7.15%, 1.3%, 0.03%
07/31/2012, 6.81%, 0.98%, -0.31%
08/01/2012, 6.44%, -0.34%, -0.34%
08/02/2012, 5.84%, -0.89%, -0.55%
08/03/2012, 7.47%, 0.61%, 1.52%
08/06/2012, 7.77%, 0.89%, 0.28%
08/07/2012, 8.22%, 1.3%, 0.41%
08/08/2012, 8.25%, 1.33%, 0.02%
08/09/2012, 8.37%, 1.44%, 0.11%
08/10/2012, 8.55%, 1.61%, 0.16%
08/13/2012, 8.39%, 1.46%, -0.14%
08/14/2012, 8.31%, 1.38%, -0.08%
08/15/2012, 8.41%, 1.47%, 0.08%
08/16/2012, 9.04%, 2.05%, 0.57%
08/17/2012, 9.25%, 2.24%, 0.19%
08/20/2012, 9.21%, 2.2%, -0.04%
08/21/2012, 9.07%, 2.08%, -0.12%
08/22/2012, 9.18%, 2.19%, 0.11%
08/23/2012, 8.59%, 1.64%, -0.53%
08/24/2012, 8.99%, 2.01%, 0.36%
08/27/2012, 8.94%, 1.96%, -0.04%
08/28/2012, 8.91%, 1.93%, -0.03%
08/29/2012, 8.96%, 1.98%, 0.04%
08/30/2012, 8.29%, 1.36%, -0.6%
08/31/2012, 8.84%, 1.87%, 0.51%
09/04/2012, 8.79%, -0.04%, -0.04%
09/05/2012, 8.66%, -0.16%, -0.12%
09/06/2012, 10.33%, 1.33%, 1.49%
09/07/2012, 10.86%, 1.81%, 0.48%
09/10/2012, 10.37%, 1.37%, -0.43%
09/11/2012, 10.7%, 1.67%, 0.29%
09/12/2012, 10.94%, 1.88%, 0.21%
09/13/2012, 12.29%, 3.1%, 1.19%
09/14/2012, 12.78%, 3.54%, 0.42%
09/17/2012, 12.44%, 3.24%, -0.28%
09/18/2012, 12.27%, 3.08%, -0.15%
09/19/2012, 12.42%, 3.23%, 0.14%
09/20/2012, 12.24%, 3.06%, -0.16%
09/21/2012, 11.7%, 2.57%, -0.47%
09/24/2012, 11.5%, 2.39%, -0.17%
09/25/2012, 10.64%, 1.63%, -0.74%
09/26/2012, 10.14%, 1.17%, -0.44%
09/27/2012, 11.01%, 1.96%, 0.77%
09/28/2012, 10.52%, 1.51%, -0.43%
10/01/2012, 10.8%, 0.25%, 0.25%
10/02/2012, 10.9%, 0.34%, 0.09%
10/03/2012, 11.09%, 0.5%, 0.16%
10/04/2012, 11.69%, 1.03%, 0.53%
10/05/2012, 11.65%, 0.99%, -0.04%
10/08/2012, 11.29%, 0.67%, -0.31%
10/09/2012, 10.42%, -0.1%, -0.76%
10/10/2012, 9.97%, -0.49%, -0.39%
10/11/2012, 10.18%, -0.3%, 0.19%
10/12/2012, 9.93%, -0.52%, -0.22%
10/15/2012, 10.59%, 0.06%, 0.59%
10/16/2012, 11.46%, 0.83%, 0.77%
10/17/2012, 11.85%, 1.17%, 0.33%
10/18/2012, 11.62%, 0.96%, -0.2%
10/19/2012, 10.35%, -0.15%, -1.1%
10/22/2012, 10.4%, -0.11%, 0.04%
10/23/2012, 9.27%, -1.1%, -0.99%
10/24/2012, 9.03%, -1.31%, -0.21%
10/25/2012, 9.28%, -1.1%, 0.21%
10/26/2012, 9.23%, -1.14%, -0.04%
10/29/2012, 9.23%, -1.14%, 0%
10/30/2012, 9.23%, -1.14%, 0%
10/31/2012, 9.39%, -0.99%, 0.15%
11/01/2012, 10.34%, 0.84%, 0.84%
11/02/2012, 9.49%, 0.09%, -0.74%
11/05/2012, 9.7%, 0.27%, 0.18%
11/06/2012, 10.3%, 0.81%, 0.53%
11/07/2012, 8.59%, -0.71%, -1.5%
11/08/2012, 7.68%, -1.52%, -0.81%
11/09/2012, 7.77%, -1.44%, 0.08%
11/12/2012, 7.76%, -1.45%, -0.01%
11/13/2012, 7.45%, -1.73%, -0.28%
11/14/2012, 6.31%, -2.74%, -1.04%
11/15/2012, 6.2%, -2.84%, -0.1%
11/16/2012, 6.56%, -2.52%, 0.34%
11/19/2012, 8.12%, -1.13%, 1.43%
11/20/2012, 8.12%, -1.13%, 0%
11/21/2012, 8.36%, -0.93%, 0.21%
11/23/2012, 9.49%, 0.09%, 1.03%
11/26/2012, 9.36%, -0.03%, -0.12%
11/27/2012, 8.99%, -0.36%, -0.33%
11/28/2012, 9.64%, 0.22%, 0.58%
11/29/2012, 10.14%, 0.68%, 0.45%
11/30/2012, 10.19%, 0.72%, 0.04%
12/03/2012, 9.88%, -0.27%, -0.27%
12/04/2012, 9.88%, -0.27%, -0%
12/05/2012, 10.05%, -0.12%, 0.16%
12/06/2012, 10.32%, 0.12%, 0.23%
12/07/2012, 10.5%, 0.28%, 0.16%
12/10/2012, 10.6%, 0.37%, 0.09%
12/11/2012, 11.13%, 0.83%, 0.46%
12/12/2012, 11.16%, 0.85%, 0.02%
12/13/2012, 10.64%, 0.4%, -0.45%
12/14/2012, 10.49%, 0.27%, -0.13%
12/17/2012, 11.28%, 0.95%, 0.69%
12/18/2012, 12.18%, 1.75%, 0.78%
12/19/2012, 11.07%, 0.77%, -0.95%
12/20/2012, 11.57%, 1.21%, 0.44%
12/21/2012, 10.72%, 0.44%, -0.75%
12/24/2012, 10.54%, 0.28%, -0.16%
12/26/2012, 10.22%, 0.01%, -0.27%
12/27/2012, 10.25%, 0.04%, 0.03%
12/28/2012, 9.48%, -0.64%, -0.68%
12/31/2012, 10.75%, 0.48%, 1.13%
