Date, YTD, MTD, Day
01/02/2019, 0.03%, 0.03%, 0.03%
01/03/2019, -1.37%, -1.37%, -1.41%
01/04/2019, 1%, 1%, 2.42%
01/07/2019, 1.55%, 1.55%, 0.54%
01/08/2019, 2.24%, 2.24%, 0.67%
01/09/2019, 2.79%, 2.79%, 0.54%
01/10/2019, 3.12%, 3.12%, 0.32%
01/11/2019, 3.1%, 3.1%, -0.02%
01/14/2019, 2.66%, 2.66%, -0.42%
01/15/2019, 3.39%, 3.39%, 0.7%
01/16/2019, 3.62%, 3.62%, 0.22%
01/17/2019, 4.16%, 4.16%, 0.52%
01/18/2019, 5.08%, 5.08%, 0.86%
01/22/2019, 4.01%, 4.01%, -0.99%
01/23/2019, 4.19%, 4.19%, 0.17%
01/24/2019, 4.43%, 4.43%, 0.23%
01/25/2019, 5.19%, 5.19%, 0.71%
01/28/2019, 4.63%, 4.63%, -0.52%
01/29/2019, 4.63%, 4.63%, 0.01%
01/30/2019, 5.79%, 5.79%, 1.09%
01/31/2019, 6.5%, 6.5%, 0.67%
02/01/2019, 6.5%, -0.01%, -0.01%
02/04/2019, 6.98%, 0.44%, 0.44%
02/05/2019, 7.46%, 0.88%, 0.44%
02/06/2019, 7.23%, 0.67%, -0.21%
02/07/2019, 6.51%, 0.01%, -0.65%
02/08/2019, 6.53%, 0.03%, 0.01%
02/11/2019, 6.58%, 0.08%, 0.05%
02/12/2019, 7.58%, 0.99%, 0.91%
02/13/2019, 7.72%, 1.12%, 0.13%
02/14/2019, 7.65%, 1.06%, -0.06%
02/15/2019, 8.56%, 1.9%, 0.83%
02/19/2019, 8.78%, 2.1%, 0.2%
02/20/2019, 8.97%, 2.28%, 0.18%
02/21/2019, 8.65%, 1.98%, -0.3%
02/22/2019, 9.26%, 2.54%, 0.55%
02/25/2019, 9.38%, 2.65%, 0.11%
02/26/2019, 9.38%, 2.65%, 0%
02/27/2019, 9.27%, 2.55%, -0.1%
02/28/2019, 8.99%, 2.29%, -0.26%
03/01/2019, 9.44%, 0.4%, 0.4%
03/04/2019, 9.15%, 0.14%, -0.25%
03/05/2019, 9.1%, 0.1%, -0.04%
03/06/2019, 8.53%, -0.4%, -0.51%
03/07/2019, 7.89%, -0.97%, -0.57%
03/08/2019, 7.7%, -1.15%, -0.18%
03/11/2019, 8.85%, -0.12%, 1.05%
03/12/2019, 9.14%, 0.14%, 0.26%
03/13/2019, 9.67%, 0.63%, 0.48%
03/14/2019, 9.53%, 0.49%, -0.14%
03/15/2019, 10.04%, 0.95%, 0.46%
03/18/2019, 10.43%, 1.3%, 0.35%
03/19/2019, 10.39%, 1.27%, -0.03%
03/20/2019, 10.25%, 1.16%, -0.11%
03/21/2019, 11.02%, 1.84%, 0.68%
03/22/2019, 9%, 0.05%, -1.76%
03/25/2019, 9%, 0.05%, -0%
03/26/2019, 9.61%, 0.6%, 0.55%
03/27/2019, 9.3%, 0.32%, -0.27%
03/28/2019, 9.59%, 0.59%, 0.26%
03/29/2019, 10.09%, 1.03%, 0.44%
04/01/2019, 10.98%, 0.78%, 0.78%
04/02/2019, 11.01%, 0.8%, 0.03%
04/03/2019, 11.27%, 1.03%, 0.22%
04/04/2019, 11.4%, 1.15%, 0.11%
04/05/2019, 11.82%, 1.53%, 0.37%
04/08/2019, 11.88%, 1.58%, 0.05%
04/09/2019, 11.39%, 1.14%, -0.42%
04/10/2019, 11.83%, 1.54%, 0.38%
04/11/2019, 11.72%, 1.44%, -0.1%
04/12/2019, 12.23%, 1.88%, 0.43%
04/15/2019, 12.2%, 1.86%, -0.02%
04/16/2019, 12.21%, 1.86%, 0%
04/17/2019, 12%, 1.68%, -0.18%
04/18/2019, 12.12%, 1.79%, 0.11%
04/22/2019, 12.1%, 1.77%, -0.03%
04/23/2019, 12.84%, 2.42%, 0.64%
04/24/2019, 12.62%, 2.23%, -0.19%
04/25/2019, 12.5%, 2.13%, -0.1%
04/26/2019, 13.01%, 2.57%, 0.44%
04/29/2019, 13.1%, 2.66%, 0.08%
04/30/2019, 13.21%, 2.75%, 0.1%
05/01/2019, 12.57%, -0.55%, -0.55%
05/02/2019, 12.39%, -0.7%, -0.16%
05/03/2019, 13.31%, 0.08%, 0.8%
05/06/2019, 12.87%, -0.29%, -0.37%
05/07/2019, 11.5%, -1.46%, -1.17%
05/08/2019, 11.3%, -1.63%, -0.17%
05/09/2019, 11.02%, -1.86%, -0.24%
05/10/2019, 11.34%, -1.59%, 0.28%
05/13/2019, 9.33%, -3.3%, -1.75%
05/14/2019, 10.05%, -2.69%, 0.64%
05/15/2019, 10.56%, -2.25%, 0.46%
05/16/2019, 11.22%, -1.7%, 0.58%
05/17/2019, 10.62%, -2.21%, -0.53%
05/20/2019, 10.06%, -2.69%, -0.49%
05/21/2019, 10.77%, -2.09%, 0.62%
05/22/2019, 10.53%, -2.28%, -0.2%
05/23/2019, 9.57%, -3.09%, -0.83%
05/24/2019, 9.83%, -2.87%, 0.24%
05/28/2019, 9.26%, -3.35%, -0.51%
05/29/2019, 8.69%, -3.84%, -0.51%
05/30/2019, 8.92%, -3.63%, 0.22%
05/31/2019, 8.13%, -4.29%, -0.71%
06/03/2019, 8.16%, 0.04%, 0.04%
06/04/2019, 9.69%, 1.43%, 1.39%
06/05/2019, 10.19%, 1.87%, 0.44%
06/06/2019, 10.57%, 2.22%, 0.34%
06/07/2019, 11.49%, 3.07%, 0.82%
06/10/2019, 11.83%, 3.37%, 0.28%
06/11/2019, 11.87%, 3.41%, 0.04%
06/12/2019, 11.69%, 3.24%, -0.16%
06/13/2019, 12.07%, 3.59%, 0.34%
06/14/2019, 11.52%, 3.09%, -0.48%
06/17/2019, 11.6%, 3.16%, 0.07%
06/18/2019, 12.57%, 4.05%, 0.86%
06/19/2019, 13%, 4.45%, 0.38%
06/20/2019, 13.67%, 5.06%, 0.58%
06/21/2019, 13.41%, 4.81%, -0.24%
06/24/2019, 13.26%, 4.68%, -0.12%
06/25/2019, 12.52%, 4.01%, -0.63%
06/26/2019, 12.37%, 3.87%, -0.13%
06/27/2019, 12.93%, 4.39%, 0.49%
06/28/2019, 13.47%, 4.88%, 0.47%
07/01/2019, 14.07%, 0.51%, 0.51%
07/02/2019, 14.33%, 0.74%, 0.23%
07/03/2019, 15.02%, 1.33%, 0.59%
07/05/2019, 14.72%, 1.06%, -0.27%
07/08/2019, 14.18%, 0.6%, -0.46%
07/09/2019, 14.24%, 0.64%, 0.04%
07/10/2019, 14.62%, 0.97%, 0.32%
07/11/2019, 14.65%, 0.99%, 0.02%
07/12/2019, 15.07%, 1.34%, 0.35%
07/15/2019, 15.1%, 1.37%, 0.03%
07/16/2019, 14.8%, 1.11%, -0.26%
07/17/2019, 14.38%, 0.76%, -0.34%
