Date, YTD, MTD, Day
01/03/2017, 0.75%, 0.75%, 0.75%
01/04/2017, 1.55%, 1.55%, 0.79%
01/05/2017, 1.62%, 1.62%, 0.07%
01/06/2017, 1.76%, 1.76%, 0.14%
01/09/2017, 1.43%, 1.43%, -0.33%
01/10/2017, 1.55%, 1.55%, 0.13%
01/11/2017, 1.9%, 1.9%, 0.34%
01/12/2017, 1.71%, 1.71%, -0.18%
01/13/2017, 2%, 2%, 0.28%
01/17/2017, 1.62%, 1.62%, -0.37%
01/18/2017, 1.72%, 1.72%, 0.09%
01/19/2017, 1.37%, 1.37%, -0.34%
01/20/2017, 1.7%, 1.7%, 0.33%
01/23/2017, 1.58%, 1.58%, -0.13%
01/24/2017, 2.28%, 2.28%, 0.69%
01/25/2017, 3.07%, 3.07%, 0.77%
01/26/2017, 2.92%, 2.92%, -0.14%
01/27/2017, 2.8%, 2.8%, -0.12%
01/30/2017, 2.14%, 2.14%, -0.64%
01/31/2017, 2.22%, 2.22%, 0.07%
02/01/2017, 2.28%, 0.06%, 0.06%
02/02/2017, 2.35%, 0.13%, 0.07%
02/03/2017, 3.08%, 0.84%, 0.71%
02/06/2017, 2.79%, 0.56%, -0.28%
02/07/2017, 2.74%, 0.51%, -0.05%
02/08/2017, 2.88%, 0.65%, 0.14%
02/09/2017, 3.48%, 1.24%, 0.58%
02/10/2017, 3.86%, 1.61%, 0.37%
02/13/2017, 4.35%, 2.09%, 0.47%
02/14/2017, 4.67%, 2.4%, 0.3%
02/15/2017, 5.15%, 2.87%, 0.46%
02/16/2017, 5.08%, 2.8%, -0.06%
02/17/2017, 5.18%, 2.9%, 0.09%
02/21/2017, 5.76%, 3.46%, 0.55%
02/22/2017, 5.65%, 3.36%, -0.1%
02/23/2017, 5.63%, 3.34%, -0.01%
02/24/2017, 5.63%, 3.34%, -0%
02/27/2017, 5.77%, 3.48%, 0.13%
02/28/2017, 5.41%, 3.12%, -0.34%
03/01/2017, 6.69%, 1.21%, 1.21%
03/02/2017, 5.99%, 0.56%, -0.65%
03/03/2017, 6.13%, 0.68%, 0.13%
03/06/2017, 5.77%, 0.34%, -0.34%
03/07/2017, 5.44%, 0.03%, -0.31%
03/08/2017, 5.14%, -0.25%, -0.29%
03/09/2017, 5.14%, -0.25%, -0%
03/10/2017, 5.56%, 0.14%, 0.39%
03/13/2017, 5.75%, 0.32%, 0.18%
03/14/2017, 5.36%, -0.04%, -0.37%
03/15/2017, 6.42%, 0.96%, 1.01%
03/16/2017, 6.45%, 0.98%, 0.02%
03/17/2017, 6.44%, 0.98%, -0.01%
03/20/2017, 6.28%, 0.83%, -0.15%
03/21/2017, 5.06%, -0.33%, -1.16%
03/22/2017, 5.17%, -0.22%, 0.11%
03/23/2017, 4.77%, -0.6%, -0.38%
03/24/2017, 4.77%, -0.6%, -0%
03/27/2017, 4.78%, -0.59%, 0.01%
03/28/2017, 5.43%, 0.03%, 0.62%
03/29/2017, 5.59%, 0.18%, 0.15%
03/30/2017, 5.78%, 0.35%, 0.18%
03/31/2017, 5.6%, 0.18%, -0.17%
04/03/2017, 5.38%, -0.2%, -0.2%
04/04/2017, 5.44%, -0.15%, 0.05%
04/05/2017, 5.08%, -0.49%, -0.34%
04/06/2017, 5.3%, -0.28%, 0.21%
04/07/2017, 5.2%, -0.37%, -0.09%
04/10/2017, 5.28%, -0.29%, 0.08%
04/11/2017, 5.34%, -0.24%, 0.06%
04/12/2017, 4.98%, -0.58%, -0.34%
04/13/2017, 4.33%, -1.2%, -0.62%
04/17/2017, 5.17%, -0.41%, 0.8%
04/18/2017, 4.88%, -0.67%, -0.27%
04/19/2017, 4.71%, -0.83%, -0.16%
04/20/2017, 5.49%, -0.1%, 0.75%
04/21/2017, 5.23%, -0.34%, -0.25%
04/24/2017, 6.5%, 0.85%, 1.2%
04/25/2017, 7.17%, 1.48%, 0.63%
04/26/2017, 7.15%, 1.46%, -0.02%
04/27/2017, 7.18%, 1.49%, 0.03%
04/28/2017, 6.92%, 1.25%, -0.24%
05/01/2017, 7.12%, 0.19%, 0.19%
05/02/2017, 7.31%, 0.36%, 0.17%
05/03/2017, 7.06%, 0.13%, -0.23%
05/04/2017, 7.15%, 0.21%, 0.08%
05/05/2017, 7.71%, 0.73%, 0.52%
05/08/2017, 7.58%, 0.61%, -0.12%
05/09/2017, 7.5%, 0.53%, -0.08%
05/10/2017, 7.71%, 0.73%, 0.2%
05/11/2017, 7.48%, 0.52%, -0.21%
05/12/2017, 7.43%, 0.47%, -0.05%
05/15/2017, 7.98%, 0.98%, 0.51%
05/16/2017, 8.07%, 1.06%, 0.08%
05/17/2017, 6.34%, -0.56%, -1.6%
05/18/2017, 6.56%, -0.35%, 0.21%
05/19/2017, 7.35%, 0.38%, 0.73%
05/22/2017, 7.85%, 0.85%, 0.47%
05/23/2017, 7.97%, 0.97%, 0.12%
05/24/2017, 8.23%, 1.21%, 0.24%
05/25/2017, 8.6%, 1.56%, 0.34%
05/26/2017, 8.58%, 1.54%, -0.02%
05/30/2017, 8.41%, 1.38%, -0.16%
05/31/2017, 8.39%, 1.37%, -0.01%
06/01/2017, 9.28%, 0.82%, 0.82%
06/02/2017, 9.79%, 1.28%, 0.46%
06/05/2017, 9.58%, 1.09%, -0.19%
06/06/2017, 9.31%, 0.84%, -0.24%
06/07/2017, 9.41%, 0.94%, 0.09%
06/08/2017, 9.52%, 1.04%, 0.1%
06/09/2017, 9.41%, 0.94%, -0.1%
06/12/2017, 9.26%, 0.8%, -0.14%
06/13/2017, 9.85%, 1.34%, 0.53%
06/14/2017, 9.72%, 1.23%, -0.11%
06/15/2017, 9.32%, 0.86%, -0.36%
06/16/2017, 9.43%, 0.96%, 0.1%
06/19/2017, 10.22%, 1.69%, 0.72%
06/20/2017, 8.83%, 0.42%, -1.25%
06/21/2017, 8.76%, 0.35%, -0.07%
06/22/2017, 8.79%, 0.38%, 0.03%
06/23/2017, 9.05%, 0.62%, 0.24%
06/26/2017, 9.17%, 0.72%, 0.1%
06/27/2017, 8.46%, 0.07%, -0.65%
06/28/2017, 9.39%, 0.93%, 0.86%
06/29/2017, 8.53%, 0.13%, -0.78%
06/30/2017, 8.65%, 0.24%, 0.11%
07/03/2017, 8.89%, 0.22%, 0.22%
07/05/2017, 8.93%, 0.26%, 0.04%
07/06/2017, 8.02%, -0.57%, -0.83%
07/07/2017, 8.6%, -0.04%, 0.53%
07/10/2017, 8.66%, 0.02%, 0.06%
07/11/2017, 8.72%, 0.06%, 0.05%
07/12/2017, 9.55%, 0.83%, 0.76%
07/13/2017, 9.79%, 1.04%, 0.22%
07/14/2017, 10.34%, 1.54%, 0.49%
07/17/2017, 10.33%, 1.54%, -0%
07/18/2017, 10.4%, 1.61%, 0.07%
07/19/2017, 11.02%, 2.17%, 0.56%
07/20/2017, 11.06%, 2.21%, 0.03%
07/21/2017, 10.96%, 2.11%, -0.09%
07/24/2017, 10.89%, 2.05%, -0.06%
07/25/2017, 11.18%, 2.31%, 0.26%
07/26/2017, 11.25%, 2.38%, 0.07%
07/27/2017, 11.09%, 2.23%, -0.15%
07/28/2017, 10.96%, 2.12%, -0.11%
07/31/2017, 10.93%, 2.08%, -0.03%
08/01/2017, 11.25%, 0.28%, 0.28%
08/02/2017, 11.18%, 0.23%, -0.06%
08/03/2017, 11%, 0.06%, -0.16%
08/04/2017, 11.2%, 0.24%, 0.18%
08/07/2017, 11.37%, 0.39%, 0.16%
08/08/2017, 11.09%, 0.14%, -0.25%
08/09/2017, 10.9%, -0.03%, -0.17%
08/10/2017, 9.38%, -1.39%, -1.37%
08/11/2017, 9.48%, -1.3%, 0.1%
08/14/2017, 10.48%, -0.4%, 0.92%
08/15/2017, 10.34%, -0.52%, -0.12%
08/16/2017, 10.65%, -0.25%, 0.27%
08/17/2017, 9.16%, -1.59%, -1.35%
