Date, YTD, MTD, Day
01/02/2018, 0.9%, 0.9%, 0.9%
01/03/2018, 1.46%, 1.46%, 0.55%
01/04/2018, 2.02%, 2.02%, 0.55%
01/05/2018, 2.68%, 2.68%, 0.65%
01/08/2018, 2.81%, 2.81%, 0.12%
01/09/2018, 2.9%, 2.9%, 0.09%
01/10/2018, 2.75%, 2.75%, -0.15%
01/11/2018, 3.51%, 3.51%, 0.74%
01/12/2018, 4.21%, 4.21%, 0.68%
01/16/2018, 3.91%, 3.91%, -0.29%
01/17/2018, 4.77%, 4.77%, 0.83%
01/18/2018, 4.55%, 4.55%, -0.21%
01/19/2018, 5.14%, 5.14%, 0.56%
01/22/2018, 5.91%, 5.91%, 0.74%
01/23/2018, 6.21%, 6.21%, 0.28%
01/24/2018, 6.23%, 6.23%, 0.02%
01/25/2018, 6.18%, 6.18%, -0.04%
01/26/2018, 7.27%, 7.27%, 1.02%
01/29/2018, 6.47%, 6.47%, -0.74%
01/30/2018, 5.37%, 5.37%, -1.04%
01/31/2018, 5.4%, 5.4%, 0.03%
02/01/2018, 5.43%, 0.04%, 0.04%
02/02/2018, 3.23%, -2.05%, -2.09%
02/05/2018, -0.71%, -5.8%, -3.82%
02/06/2018, 0.72%, -4.44%, 1.44%
02/07/2018, 0.04%, -5.08%, -0.67%
02/08/2018, -3.19%, -8.15%, -3.23%
02/09/2018, -2.09%, -7.1%, 1.14%
02/12/2018, -0.86%, -5.93%, 1.25%
02/13/2018, -0.65%, -5.74%, 0.21%
02/14/2018, 0.9%, -4.27%, 1.56%
02/15/2018, 2.03%, -3.19%, 1.12%
02/16/2018, 2.08%, -3.14%, 0.05%
02/20/2018, 1.43%, -3.76%, -0.64%
02/21/2018, 1.05%, -4.12%, -0.37%
02/22/2018, 1.13%, -4.04%, 0.08%
02/23/2018, 2.58%, -2.67%, 1.43%
02/26/2018, 3.56%, -1.74%, 0.96%
02/27/2018, 2.19%, -3.04%, -1.33%
02/28/2018, 1.04%, -4.14%, -1.13%
03/01/2018, -0.05%, -1.07%, -1.07%
03/02/2018, 0.45%, -0.58%, 0.5%
03/05/2018, 1.32%, 0.28%, 0.86%
03/06/2018, 1.76%, 0.71%, 0.43%
03/07/2018, 1.81%, 0.76%, 0.05%
03/08/2018, 2.15%, 1.1%, 0.34%
03/09/2018, 3.63%, 2.57%, 1.45%
03/12/2018, 3.64%, 2.57%, 0.01%
03/13/2018, 3.03%, 1.97%, -0.59%
03/14/2018, 2.65%, 1.6%, -0.36%
03/15/2018, 2.54%, 1.49%, -0.11%
03/16/2018, 2.7%, 1.64%, 0.15%
03/19/2018, 1.43%, 0.38%, -1.24%
03/20/2018, 1.6%, 0.56%, 0.17%
03/21/2018, 1.34%, 0.3%, -0.25%
03/22/2018, -0.98%, -1.99%, -2.29%
03/23/2018, -2.87%, -3.86%, -1.91%
03/26/2018, -0.54%, -1.55%, 2.4%
03/27/2018, -2.02%, -3.02%, -1.49%
03/28/2018, -2.14%, -3.14%, -0.12%
03/29/2018, -0.92%, -1.93%, 1.25%
04/02/2018, -2.89%, -1.99%, -1.99%
04/03/2018, -1.77%, -0.86%, 1.15%
04/04/2018, -0.98%, -0.06%, 0.8%
04/05/2018, -0.27%, 0.65%, 0.72%
04/06/2018, -2.04%, -1.13%, -1.77%
04/09/2018, -1.63%, -0.72%, 0.41%
04/10/2018, -0.12%, 0.81%, 1.54%
04/11/2018, -0.53%, 0.39%, -0.41%
04/12/2018, 0.12%, 1.04%, 0.65%
04/13/2018, -0.16%, 0.76%, -0.28%
04/16/2018, 0.48%, 1.41%, 0.65%
04/17/2018, 1.32%, 2.26%, 0.83%
04/18/2018, 1.57%, 2.51%, 0.25%
04/19/2018, 1.11%, 2.05%, -0.45%
04/20/2018, 0.36%, 1.29%, -0.74%
04/23/2018, 0.25%, 1.18%, -0.11%
04/24/2018, -0.74%, 0.18%, -0.99%
04/25/2018, -0.73%, 0.19%, 0.01%
04/26/2018, 0.08%, 1.01%, 0.83%
04/27/2018, 0.22%, 1.15%, 0.14%
04/30/2018, -0.42%, 0.5%, -0.64%
05/01/2018, -0.33%, 0.09%, 0.09%
05/02/2018, -0.8%, -0.38%, -0.47%
05/03/2018, -0.96%, -0.54%, -0.16%
05/04/2018, 0.01%, 0.44%, 0.98%
05/07/2018, 0.32%, 0.74%, 0.3%
05/08/2018, 0.36%, 0.78%, 0.04%
05/09/2018, 1.12%, 1.55%, 0.76%
05/10/2018, 1.97%, 2.41%, 0.85%
05/11/2018, 2.2%, 2.63%, 0.22%
05/14/2018, 2.27%, 2.7%, 0.07%
05/15/2018, 1.56%, 1.99%, -0.69%
05/16/2018, 1.99%, 2.42%, 0.42%
05/17/2018, 1.97%, 2.4%, -0.02%
05/18/2018, 1.71%, 2.15%, -0.25%
05/21/2018, 2.37%, 2.8%, 0.64%
05/22/2018, 2.09%, 2.53%, -0.26%
05/23/2018, 2.11%, 2.54%, 0.01%
