Date, YTD, MTD, Day
01/04/2016, -1.67%, -1.67%, -1.67%
01/05/2016, -1.58%, -1.58%, 0.09%
01/06/2016, -2.95%, -2.95%, -1.39%
01/07/2016, -5.16%, -5.16%, -2.28%
01/08/2016, -6.22%, -6.22%, -1.11%
01/11/2016, -6.34%, -6.34%, -0.14%
01/12/2016, -5.78%, -5.78%, 0.6%
01/13/2016, -7.78%, -7.78%, -2.13%
01/14/2016, -6.59%, -6.59%, 1.3%
01/15/2016, -8.82%, -8.82%, -2.39%
01/19/2016, -8.73%, -8.73%, 0.1%
01/20/2016, -10.01%, -10.01%, -1.4%
01/21/2016, -9.66%, -9.66%, 0.39%
01/22/2016, -7.49%, -7.49%, 2.4%
01/25/2016, -8.84%, -8.84%, -1.46%
01/26/2016, -7.52%, -7.52%, 1.45%
01/27/2016, -8.3%, -8.3%, -0.84%
01/28/2016, -7.93%, -7.93%, 0.41%
01/29/2016, -5.65%, -5.65%, 2.47%
02/01/2016, -5.73%, -0.08%, -0.08%
02/02/2016, -7.58%, -2.04%, -1.96%
02/03/2016, -7.12%, -1.56%, 0.49%
02/04/2016, -6.77%, -1.19%, 0.38%
02/05/2016, -8.45%, -2.97%, -1.8%
02/08/2016, -9.92%, -4.52%, -1.6%
02/09/2016, -10.32%, -4.95%, -0.45%
02/10/2016, -10.27%, -4.9%, 0.06%
02/11/2016, -11.5%, -6.2%, -1.37%
02/12/2016, -9.93%, -4.53%, 1.78%
02/16/2016, -8.25%, -2.76%, 1.86%
02/17/2016, -6.64%, -1.05%, 1.75%
02/18/2016, -6.98%, -1.41%, -0.36%
02/19/2016, -7.02%, -1.45%, -0.04%
02/22/2016, -5.74%, -0.1%, 1.37%
02/23/2016, -6.95%, -1.38%, -1.28%
02/24/2016, -6.74%, -1.16%, 0.22%
02/25/2016, -5.7%, -0.05%, 1.12%
02/26/2016, -5.78%, -0.13%, -0.08%
02/29/2016, -6.31%, -0.7%, -0.56%
03/01/2016, -4.09%, 2.37%, 2.37%
03/02/2016, -3.49%, 3.01%, 0.62%
03/03/2016, -2.85%, 3.7%, 0.67%
03/04/2016, -2.31%, 4.28%, 0.56%
03/07/2016, -2.14%, 4.45%, 0.17%
03/08/2016, -3.39%, 3.13%, -1.27%
03/09/2016, -2.9%, 3.64%, 0.5%
03/10/2016, -2.97%, 3.57%, -0.07%
03/11/2016, -1.12%, 5.55%, 1.91%
03/14/2016, -1.67%, 4.97%, -0.56%
03/15/2016, -2.25%, 4.34%, -0.59%
03/16/2016, -1.51%, 5.13%, 0.75%
03/17/2016, -0.62%, 6.09%, 0.91%
03/18/2016, -0.25%, 6.48%, 0.37%
03/21/2016, -0.24%, 6.48%, 0.01%
03/22/2016, -0.31%, 6.41%, -0.06%
03/23/2016, -1.2%, 5.46%, -0.89%
03/24/2016, -1.39%, 5.25%, -0.2%
03/28/2016, -1.22%, 5.44%, 0.18%
03/29/2016, -0.14%, 6.6%, 1.09%
03/30/2016, 0.4%, 7.17%, 0.54%
03/31/2016, 0.18%, 6.94%, -0.22%
04/01/2016, 0.31%, 0.13%, 0.13%
04/04/2016, -0.03%, -0.21%, -0.33%
04/05/2016, -1.27%, -1.46%, -1.25%
04/06/2016, -0.17%, -0.35%, 1.12%
04/07/2016, -1.36%, -1.54%, -1.19%
04/08/2016, -0.63%, -0.81%, 0.75%
04/11/2016, -0.75%, -0.93%, -0.12%
04/12/2016, 0.35%, 0.17%, 1.11%
04/13/2016, 1.61%, 1.43%, 1.26%
04/14/2016, 1.64%, 1.46%, 0.04%
04/15/2016, 1.58%, 1.4%, -0.06%
04/18/2016, 2.21%, 2.02%, 0.62%
04/19/2016, 2.9%, 2.72%, 0.68%
04/20/2016, 2.92%, 2.73%, 0.02%
04/21/2016, 2.41%, 2.23%, -0.49%
04/22/2016, 2.5%, 2.31%, 0.09%
04/25/2016, 2.17%, 1.98%, -0.32%
04/26/2016, 2.49%, 2.3%, 0.31%
04/27/2016, 2.69%, 2.5%, 0.2%
04/28/2016, 1.81%, 1.63%, -0.85%
04/29/2016, 1.31%, 1.12%, -0.5%
05/02/2016, 2.03%, 0.72%, 0.72%
05/03/2016, 0.77%, -0.53%, -1.23%
05/04/2016, -0.01%, -1.3%, -0.78%
05/05/2016, -0.09%, -1.38%, -0.08%
05/06/2016, 0.18%, -1.11%, 0.27%
05/09/2016, 0.15%, -1.14%, -0.03%
05/10/2016, 1.41%, 0.11%, 1.26%
05/11/2016, 0.58%, -0.72%, -0.82%
05/12/2016, 0.47%, -0.82%, -0.1%
05/13/2016, -0.38%, -1.66%, -0.85%
05/16/2016, 0.58%, -0.71%, 0.97%
05/17/2016, -0.18%, -1.46%, -0.75%
05/18/2016, -0.23%, -1.52%, -0.06%
05/19/2016, -0.73%, -2.01%, -0.5%
05/20/2016, 0.01%, -1.27%, 0.75%
05/23/2016, -0.17%, -1.46%, -0.19%
05/24/2016, 1.14%, -0.16%, 1.32%
05/25/2016, 1.95%, 0.63%, 0.8%
05/26/2016, 2.01%, 0.69%, 0.06%
05/27/2016, 2.34%, 1.02%, 0.32%
05/31/2016, 2.25%, 0.94%, -0.09%
06/01/2016, 2.41%, 0.16%, 0.16%
06/02/2016, 2.69%, 0.43%, 0.27%
06/03/2016, 2.7%, 0.44%, 0.02%
