Date, YTD, MTD, Day
01/02/2019, 0.08%, 0.08%, 0.08%
01/03/2019, 0.32%, 0.32%, 0.24%
01/04/2019, 0.3%, 0.3%, -0.01%
01/07/2019, 0.21%, 0.21%, -0.1%
01/08/2019, 0.21%, 0.21%, 0%
01/09/2019, 0.38%, 0.38%, 0.16%
01/10/2019, 0.34%, 0.34%, -0.04%
01/11/2019, 0.41%, 0.41%, 0.08%
01/14/2019, 0.36%, 0.36%, -0.05%
01/15/2019, 0.37%, 0.37%, 0.01%
01/16/2019, 0.39%, 0.39%, 0.03%
01/17/2019, 0.46%, 0.46%, 0.06%
01/18/2019, 0.41%, 0.41%, -0.05%
01/22/2019, 0.44%, 0.44%, 0.04%
01/23/2019, 0.55%, 0.55%, 0.11%
01/24/2019, 0.75%, 0.75%, 0.2%
01/25/2019, 0.77%, 0.77%, 0.01%
01/28/2019, 0.7%, 0.7%, -0.07%
01/29/2019, 0.87%, 0.87%, 0.17%
01/30/2019, 1.1%, 1.1%, 0.22%
01/31/2019, 1.52%, 1.52%, 0.41%
02/01/2019, 1.27%, -0.25%, -0.25%
02/04/2019, 1.24%, -0.28%, -0.03%
02/05/2019, 1.48%, -0.05%, 0.23%
02/06/2019, 1.44%, -0.08%, -0.03%
02/07/2019, 1.51%, -0.01%, 0.07%
02/08/2019, 1.59%, 0.07%, 0.08%
02/11/2019, 1.51%, -0.01%, -0.08%
02/12/2019, 1.56%, 0.03%, 0.04%
02/13/2019, 1.41%, -0.12%, -0.15%
02/14/2019, 1.57%, 0.04%, 0.16%
02/15/2019, 1.77%, 0.23%, 0.19%
02/19/2019, 1.88%, 0.34%, 0.11%
02/20/2019, 1.83%, 0.28%, -0.05%
02/21/2019, 1.62%, 0.08%, -0.2%
02/22/2019, 1.87%, 0.32%, 0.24%
02/25/2019, 1.8%, 0.25%, -0.07%
02/26/2019, 1.97%, 0.42%, 0.17%
02/27/2019, 1.71%, 0.16%, -0.26%
02/28/2019, 1.58%, 0.04%, -0.12%
03/01/2019, 1.39%, -0.2%, -0.2%
03/04/2019, 1.52%, -0.06%, 0.14%
03/05/2019, 1.6%, 0.02%, 0.08%
03/06/2019, 1.61%, 0.04%, 0.02%
03/07/2019, 1.77%, 0.21%, 0.17%
03/08/2019, 1.75%, 0.18%, -0.03%
03/11/2019, 1.89%, 0.31%, 0.13%
03/12/2019, 2.1%, 0.51%, 0.2%
03/13/2019, 2.17%, 0.58%, 0.06%
03/14/2019, 1.98%, 0.39%, -0.18%
03/15/2019, 2.22%, 0.62%, 0.23%
03/18/2019, 2.28%, 0.67%, 0.05%
03/19/2019, 2.27%, 0.67%, -0%
03/20/2019, 2.59%, 0.99%, 0.32%
03/21/2019, 2.68%, 1.07%, 0.08%
03/22/2019, 2.83%, 1.25%, 0.18%
03/25/2019, 3%, 1.41%, 0.16%
03/26/2019, 3.08%, 1.48%, 0.07%
03/27/2019, 3.2%, 1.61%, 0.13%
03/28/2019, 3.24%, 1.64%, 0.03%
03/29/2019, 3.22%, 1.62%, -0.02%
04/01/2019, 3%, -0.22%, -0.22%
04/02/2019, 3.09%, -0.13%, 0.09%
04/03/2019, 2.97%, -0.26%, -0.13%
04/04/2019, 2.98%, -0.25%, 0.01%
04/05/2019, 3.12%, -0.12%, 0.13%
