Date, YTD, MTD, Day
01/03/2012, 0.03%, 0.03%, 0.03%
01/04/2012, -0.07%, -0.07%, -0.09%
01/05/2012, -0.16%, -0.16%, -0.09%
01/06/2012, -0.03%, -0.03%, 0.12%
01/09/2012, 0.08%, 0.08%, 0.11%
01/10/2012, 0.11%, 0.11%, 0.03%
01/11/2012, 0.35%, 0.35%, 0.25%
01/12/2012, 0.39%, 0.39%, 0.03%
01/13/2012, 0.49%, 0.49%, 0.1%
01/17/2012, 0.63%, 0.63%, 0.14%
01/18/2012, 0.53%, 0.53%, -0.11%
01/19/2012, 0.44%, 0.44%, -0.1%
01/20/2012, 0.29%, 0.29%, -0.15%
01/23/2012, 0.23%, 0.23%, -0.06%
01/24/2012, 0.21%, 0.21%, -0.01%
01/25/2012, 0.48%, 0.48%, 0.26%
01/26/2012, 0.77%, 0.77%, 0.29%
01/27/2012, 0.86%, 0.86%, 0.09%
01/30/2012, 0.97%, 0.97%, 0.11%
01/31/2012, 1.15%, 1.15%, 0.17%
02/01/2012, 1.2%, 0.04%, 0.04%
02/02/2012, 1.31%, 0.15%, 0.11%
02/03/2012, 1.14%, -0.02%, -0.17%
02/06/2012, 1.28%, 0.12%, 0.15%
02/07/2012, 1.07%, -0.1%, -0.22%
02/08/2012, 1.1%, -0.07%, 0.03%
02/09/2012, 1.03%, -0.14%, -0.07%
02/10/2012, 1.08%, -0.08%, 0.06%
02/13/2012, 1.17%, 0.01%, 0.09%
02/14/2012, 1.22%, 0.06%, 0.05%
02/15/2012, 1.19%, 0.03%, -0.03%
02/16/2012, 1.16%, -0.01%, -0.05%
02/17/2012, 1.1%, -0.07%, -0.06%
02/21/2012, 0.94%, -0.23%, -0.16%
02/22/2012, 1.15%, -0.02%, 0.22%
02/23/2012, 1.21%, 0.04%, 0.06%
02/24/2012, 1.33%, 0.15%, 0.11%
02/27/2012, 1.47%, 0.3%, 0.15%
02/28/2012, 1.53%, 0.35%, 0.05%
02/29/2012, 1.38%, 0.21%, -0.14%
03/01/2012, 1.3%, -0.09%, -0.09%
03/02/2012, 1.48%, 0.1%, 0.19%
03/05/2012, 1.26%, -0.11%, -0.21%
03/06/2012, 1.2%, -0.15%, -0.04%
03/07/2012, 1.13%, -0.23%, -0.08%
03/08/2012, 1.12%, -0.26%, -0.03%
03/09/2012, 1.14%, -0.24%, 0.02%
03/12/2012, 1.13%, -0.25%, -0.02%
03/13/2012, 0.99%, -0.4%, -0.15%
03/14/2012, 0.46%, -0.93%, -0.53%
03/15/2012, 0.61%, -0.78%, 0.15%
03/16/2012, 0.64%, -0.76%, 0.02%
03/19/2012, 0.43%, -0.97%, -0.21%
03/20/2012, 0.36%, -1.03%, -0.06%
03/21/2012, 0.58%, -0.81%, 0.23%
03/22/2012, 0.58%, -0.81%, 0%
03/23/2012, 0.76%, -0.63%, 0.18%
03/26/2012, 0.83%, -0.57%, 0.06%
03/27/2012, 1.03%, -0.36%, 0.21%
03/28/2012, 0.89%, -0.5%, -0.14%
03/29/2012, 1.02%, -0.37%, 0.13%
03/30/2012, 0.74%, -0.65%, -0.29%
04/02/2012, 0.92%, 0.17%, 0.17%
04/03/2012, 0.52%, -0.22%, -0.39%
04/04/2012, 0.53%, -0.2%, 0.02%
04/05/2012, 0.68%, -0.05%, 0.15%
04/09/2012, 1.06%, 0.35%, 0.4%
04/10/2012, 0.94%, 0.25%, -0.1%
04/11/2012, 0.87%, 0.18%, -0.07%
04/12/2012, 0.96%, 0.24%, 0.07%
04/13/2012, 1.05%, 0.35%, 0.11%
04/16/2012, 1.06%, 0.36%, 0.01%
04/17/2012, 1.23%, 0.51%, 0.15%
04/18/2012, 1.17%, 0.46%, -0.05%
04/19/2012, 1.2%, 0.5%, 0.03%
04/20/2012, 1.23%, 0.53%, 0.03%
04/23/2012, 1.19%, 0.5%, -0.03%
04/24/2012, 1.08%, 0.38%, -0.12%
04/25/2012, 1.23%, 0.51%, 0.14%
04/26/2012, 1.38%, 0.65%, 0.14%
04/27/2012, 1.41%, 0.68%, 0.03%
04/30/2012, 1.45%, 0.72%, 0.04%
05/01/2012, 1.41%, -0.04%, -0.04%
05/02/2012, 1.47%, 0.02%, 0.06%
05/03/2012, 1.45%, 0.01%, -0%
05/04/2012, 1.44%, 0.02%, 0%
05/07/2012, 1.45%, 0.03%, 0.01%
05/08/2012, 1.38%, -0.04%, -0.07%
05/09/2012, 1.29%, -0.12%, -0.08%
05/10/2012, 1.25%, -0.17%, -0.05%
05/11/2012, 1.29%, -0.12%, 0.05%
05/14/2012, 1.3%, -0.09%, 0.02%
05/15/2012, 1.14%, -0.24%, -0.16%
05/16/2012, 1.08%, -0.3%, -0.07%
05/17/2012, 1.08%, -0.28%, 0.01%
05/18/2012, 0.92%, -0.44%, -0.16%
05/21/2012, 0.93%, -0.44%, 0.01%
05/22/2012, 0.85%, -0.53%, -0.09%
05/23/2012, 0.83%, -0.54%, -0.01%
05/24/2012, 0.76%, -0.62%, -0.08%
05/25/2012, 0.81%, -0.55%, 0.06%
05/29/2012, 0.86%, -0.52%, 0.05%
05/30/2012, 1.09%, -0.27%, 0.23%
05/31/2012, 1.25%, -0.12%, 0.16%
06/01/2012, 1.32%, 0.08%, 0.08%
06/04/2012, 1.08%, -0.16%, -0.24%
06/05/2012, 0.98%, -0.26%, -0.09%
06/06/2012, 0.9%, -0.34%, -0.08%
06/07/2012, 1.06%, -0.18%, 0.16%
06/08/2012, 1.04%, -0.21%, -0.03%
06/11/2012, 1.06%, -0.18%, 0.03%
06/12/2012, 1.03%, -0.22%, -0.04%
06/13/2012, 1.12%, -0.13%, 0.09%
06/14/2012, 1.13%, -0.11%, 0.01%
06/15/2012, 1.42%, 0.16%, 0.28%
06/18/2012, 1.52%, 0.26%, 0.1%
06/19/2012, 1.48%, 0.23%, -0.04%
06/20/2012, 1.4%, 0.15%, -0.08%
06/21/2012, 1.31%, 0.06%, -0.07%
06/22/2012, 1.1%, -0.15%, -0.21%
06/25/2012, 1.17%, -0.08%, 0.08%
06/26/2012, 1.14%, -0.11%, -0.03%
06/27/2012, 1.32%, 0.07%, 0.17%
06/28/2012, 1.38%, 0.13%, 0.06%
06/29/2012, 1.51%, 0.26%, 0.13%
07/02/2012, 1.8%, 0.28%, 0.28%
07/03/2012, 1.81%, 0.29%, 0.01%
07/05/2012, 1.83%, 0.31%, 0.02%
07/06/2012, 1.88%, 0.37%, 0.06%
07/09/2012, 2.01%, 0.5%, 0.13%
07/10/2012, 1.93%, 0.43%, -0.07%
07/11/2012, 1.94%, 0.43%, 0%
07/12/2012, 2.02%, 0.52%, 0.09%
07/13/2012, 2.11%, 0.6%, 0.08%
07/16/2012, 2.25%, 0.74%, 0.14%
07/17/2012, 2.24%, 0.72%, -0.02%
07/18/2012, 2.38%, 0.86%, 0.14%
07/19/2012, 2.43%, 0.9%, 0.05%
07/20/2012, 2.46%, 0.94%, 0.04%
07/23/2012, 2.4%, 0.89%, -0.05%
07/24/2012, 2.38%, 0.88%, -0.02%
07/25/2012, 2.48%, 0.97%, 0.1%
07/26/2012, 2.51%, 0.99%, 0.03%
07/27/2012, 2.39%, 0.86%, -0.13%
07/30/2012, 2.55%, 1.03%, 0.16%
07/31/2012, 2.67%, 1.14%, 0.11%
08/01/2012, 2.46%, -0.2%, -0.2%
08/02/2012, 2.46%, -0.2%, 0%
08/03/2012, 2.45%, -0.22%, -0.02%
08/06/2012, 2.57%, -0.1%, 0.12%
08/07/2012, 2.39%, -0.28%, -0.18%
08/08/2012, 2.32%, -0.35%, -0.07%
08/09/2012, 2.26%, -0.41%, -0.06%
08/10/2012, 2.36%, -0.31%, 0.1%
08/13/2012, 2.34%, -0.34%, -0.02%
08/14/2012, 2.09%, -0.58%, -0.24%
08/15/2012, 1.86%, -0.8%, -0.23%
08/16/2012, 1.79%, -0.87%, -0.08%
08/17/2012, 1.9%, -0.77%, 0.1%
08/20/2012, 1.97%, -0.7%, 0.07%
08/21/2012, 1.96%, -0.71%, -0.01%
08/22/2012, 2.37%, -0.31%, 0.41%
08/23/2012, 2.37%, -0.31%, 0.01%
08/24/2012, 2.34%, -0.34%, -0.03%
08/27/2012, 2.48%, -0.19%, 0.15%
08/28/2012, 2.48%, -0.2%, -0.01%
08/29/2012, 2.4%, -0.27%, -0.07%
08/30/2012, 2.47%, -0.21%, 0.07%
08/31/2012, 2.78%, 0.1%, 0.3%
09/04/2012, 2.77%, -0.01%, -0.01%
09/05/2012, 2.67%, -0.11%, -0.1%
09/06/2012, 2.66%, -0.14%, -0.03%
09/07/2012, 2.74%, -0.06%, 0.07%
09/10/2012, 2.67%, -0.12%, -0.06%
09/11/2012, 2.57%, -0.23%, -0.11%
09/12/2012, 2.52%, -0.28%, -0.05%
09/13/2012, 2.78%, -0.04%, 0.24%
09/14/2012, 2.54%, -0.28%, -0.25%
09/17/2012, 2.65%, -0.17%, 0.12%
09/18/2012, 2.7%, -0.11%, 0.05%
09/19/2012, 2.8%, -0.01%, 0.1%
09/20/2012, 2.77%, -0.04%, -0.03%
09/21/2012, 2.77%, -0.04%, 0%
09/24/2012, 2.9%, 0.09%, 0.13%
09/25/2012, 2.95%, 0.15%, 0.06%
09/26/2012, 2.96%, 0.16%, 0.02%
09/27/2012, 3%, 0.19%, 0.03%
09/28/2012, 2.92%, 0.12%, -0.07%
10/01/2012, 3.04%, 0.11%, 0.11%
10/02/2012, 3.06%, 0.13%, 0.01%
10/03/2012, 3.08%, 0.14%, 0.02%
10/04/2012, 3%, 0.06%, -0.08%
10/05/2012, 2.84%, -0.1%, -0.16%
10/08/2012, 2.79%, -0.14%, -0.04%
10/09/2012, 2.67%, -0.25%, -0.1%
10/10/2012, 2.69%, -0.22%, 0.03%
10/11/2012, 2.8%, -0.11%, 0.11%
10/12/2012, 2.85%, -0.06%, 0.05%
10/15/2012, 2.94%, 0.02%, 0.08%
10/16/2012, 2.9%, -0.03%, -0.05%
10/17/2012, 2.72%, -0.22%, -0.18%
10/18/2012, 2.61%, -0.32%, -0.11%
10/19/2012, 2.68%, -0.23%, 0.09%
10/22/2012, 2.54%, -0.38%, -0.14%
10/23/2012, 2.62%, -0.28%, 0.1%
10/24/2012, 2.43%, -0.46%, -0.18%
10/25/2012, 2.31%, -0.59%, -0.12%
10/26/2012, 2.54%, -0.36%, 0.23%
10/29/2012, 2.54%, -0.36%, 0%
10/30/2012, 2.54%, -0.36%, 0%
10/31/2012, 2.72%, -0.19%, 0.17%
11/01/2012, 2.76%, 0.03%, 0.03%
11/02/2012, 2.65%, -0.07%, -0.1%
11/05/2012, 2.76%, 0.03%, 0.1%
11/06/2012, 2.6%, -0.13%, -0.16%
11/07/2012, 2.7%, -0.01%, 0.12%
11/08/2012, 2.74%, 0.04%, 0.05%
11/09/2012, 2.67%, -0.03%, -0.07%
11/12/2012, 2.67%, -0.03%, -0%
11/13/2012, 2.7%, 0.01%, 0.04%
11/14/2012, 2.48%, -0.2%, -0.21%
11/15/2012, 2.47%, -0.21%, -0.01%
11/16/2012, 2.51%, -0.17%, 0.04%
11/19/2012, 2.56%, -0.15%, 0.04%
11/20/2012, 2.4%, -0.3%, -0.16%
11/21/2012, 2.43%, -0.27%, 0.03%
11/23/2012, 2.51%, -0.21%, 0.07%
11/26/2012, 2.57%, -0.15%, 0.06%
11/27/2012, 2.6%, -0.12%, 0.03%
11/28/2012, 2.68%, -0.04%, 0.08%
11/29/2012, 2.83%, 0.1%, 0.14%
11/30/2012, 2.84%, 0.11%, 0.01%
12/03/2012, 2.8%, -0.03%, -0.03%
12/04/2012, 2.88%, 0.05%, 0.08%
12/05/2012, 2.91%, 0.07%, 0.02%
12/06/2012, 2.94%, 0.1%, 0.03%
