Date, YTD, MTD, Day
01/02/2014, -0.02%, -0.02%, -0.02%
01/03/2014, -0.02%, -0.02%, 0%
01/06/2014, 0.13%, 0.13%, 0.15%
01/07/2014, 0.27%, 0.27%, 0.14%
01/08/2014, 0.01%, 0.01%, -0.25%
01/09/2014, 0.1%, 0.1%, 0.09%
01/10/2014, 0.57%, 0.57%, 0.47%
01/13/2014, 0.64%, 0.64%, 0.07%
01/14/2014, 0.56%, 0.56%, -0.07%
01/15/2014, 0.52%, 0.52%, -0.04%
01/16/2014, 0.68%, 0.68%, 0.16%
01/17/2014, 0.73%, 0.73%, 0.05%
01/21/2014, 0.68%, 0.68%, -0.05%
01/22/2014, 0.61%, 0.61%, -0.07%
01/23/2014, 0.78%, 0.78%, 0.17%
01/24/2014, 0.73%, 0.73%, -0.05%
01/27/2014, 0.49%, 0.49%, -0.24%
01/28/2014, 0.65%, 0.65%, 0.16%
01/29/2014, 0.73%, 0.73%, 0.07%
01/30/2014, 0.82%, 0.82%, 0.09%
01/31/2014, 0.83%, 0.83%, 0.01%
02/03/2014, 0.96%, 0.12%, 0.12%
02/04/2014, 0.86%, 0.01%, -0.1%
02/05/2014, 0.67%, -0.17%, -0.18%
02/06/2014, 0.72%, -0.12%, 0.05%
02/07/2014, 0.93%, 0.1%, 0.21%
02/10/2014, 1.02%, 0.18%, 0.09%
02/11/2014, 0.87%, 0.05%, -0.14%
02/12/2014, 0.8%, -0.02%, -0.07%
02/13/2014, 1.03%, 0.21%, 0.22%
02/14/2014, 1.07%, 0.25%, 0.05%
02/18/2014, 1.2%, 0.38%, 0.12%
02/19/2014, 1.05%, 0.23%, -0.15%
02/20/2014, 1.02%, 0.2%, -0.03%
02/21/2014, 1.1%, 0.28%, 0.08%
02/24/2014, 1.08%, 0.27%, -0.02%
02/25/2014, 1.32%, 0.5%, 0.24%
02/26/2014, 1.41%, 0.59%, 0.08%
02/27/2014, 1.62%, 0.8%, 0.22%
02/28/2014, 1.57%, 0.75%, -0.06%
03/03/2014, 1.71%, 0.14%, 0.14%
03/04/2014, 1.45%, -0.11%, -0.25%
03/05/2014, 1.53%, -0.03%, 0.08%
03/06/2014, 1.32%, -0.24%, -0.21%
03/07/2014, 1.13%, -0.43%, -0.18%
03/10/2014, 1.11%, -0.45%, -0.02%
03/11/2014, 1.05%, -0.51%, -0.05%
03/12/2014, 1.22%, -0.34%, 0.16%
03/13/2014, 1.43%, -0.13%, 0.21%
03/14/2014, 1.33%, -0.23%, -0.1%
03/17/2014, 1.25%, -0.31%, -0.07%
03/18/2014, 1.42%, -0.15%, 0.16%
03/19/2014, 0.91%, -0.65%, -0.5%
03/20/2014, 0.85%, -0.7%, -0.06%
03/21/2014, 1%, -0.56%, 0.15%
03/24/2014, 1%, -0.56%, -0%
03/25/2014, 1.05%, -0.51%, 0.05%
03/26/2014, 1.16%, -0.4%, 0.11%
03/27/2014, 1.25%, -0.31%, 0.09%
03/28/2014, 1.13%, -0.43%, -0.11%
03/31/2014, 1.22%, -0.34%, 0.09%
04/01/2014, 1.21%, -0.01%, -0.01%
04/02/2014, 1.07%, -0.15%, -0.14%
04/03/2014, 1.12%, -0.1%, 0.06%
04/04/2014, 1.27%, 0.05%, 0.15%
04/07/2014, 1.35%, 0.13%, 0.07%
04/08/2014, 1.39%, 0.17%, 0.04%
04/09/2014, 1.51%, 0.28%, 0.12%
04/10/2014, 1.56%, 0.34%, 0.05%
04/11/2014, 1.56%, 0.33%, -0.01%
04/14/2014, 1.53%, 0.31%, -0.02%
04/15/2014, 1.65%, 0.42%, 0.11%
04/16/2014, 1.67%, 0.44%, 0.02%
04/17/2014, 1.35%, 0.13%, -0.31%
04/21/2014, 1.38%, 0.16%, 0.03%
04/22/2014, 1.52%, 0.3%, 0.14%
04/23/2014, 1.58%, 0.35%, 0.05%
04/24/2014, 1.67%, 0.44%, 0.09%
04/25/2014, 1.58%, 0.36%, -0.09%
04/28/2014, 1.52%, 0.29%, -0.06%
04/29/2014, 1.57%, 0.35%, 0.05%
04/30/2014, 1.78%, 0.55%, 0.2%
05/01/2014, 2.04%, 0.26%, 0.26%
05/02/2014, 2.04%, 0.26%, -0%
05/05/2014, 1.96%, 0.18%, -0.08%
05/06/2014, 1.98%, 0.2%, 0.01%
05/07/2014, 2.1%, 0.32%, 0.12%
