Date,NAV
12/29/2006,$140.08
01/02/2007,$140.08
01/03/2007,$139.97
01/04/2007,$140.19
01/05/2007,$139.18
01/08/2007,$139.52
01/09/2007,$139.54
01/10/2007,$139.88
01/11/2007,$140.90
01/12/2007,$141.65
01/16/2007,$141.71
01/17/2007,$141.58
01/18/2007,$140.95
01/19/2007,$141.49
01/22/2007,$140.72
01/23/2007,$141.34
01/24/2007,$142.58
01/25/2007,$141.00
01/26/2007,$140.95
01/29/2007,$140.96
01/30/2007,$141.79
01/31/2007,$142.71
02/01/2007,$143.58
02/02/2007,$143.86
02/05/2007,$143.73
02/06/2007,$143.92
02/07/2007,$144.29
02/08/2007,$144.15
02/09/2007,$143.06
02/12/2007,$142.57
02/13/2007,$143.69
02/14/2007,$144.74
02/15/2007,$144.94
02/16/2007,$144.92
02/20/2007,$145.48
02/21/2007,$145.38
02/22/2007,$145.34
02/23/2007,$144.87
02/26/2007,$144.66
02/27/2007,$139.72
02/28/2007,$140.42
03/01/2007,$140.05
03/02/2007,$138.29
03/05/2007,$136.72
03/06/2007,$138.97
03/07/2007,$138.70
03/08/2007,$139.71
03/09/2007,$139.88
03/12/2007,$140.30
03/13/2007,$137.46
03/14/2007,$138.34
03/15/2007,$138.98
03/16/2007,$138.42
03/19/2007,$139.94
03/20/2007,$140.87
03/21/2007,$143.22
03/22/2007,$143.24
03/23/2007,$143.41
03/26/2007,$142.89
03/27/2007,$142.01
03/28/2007,$141.00
03/29/2007,$141.46
03/30/2007,$141.38
04/02/2007,$141.79
04/03/2007,$143.11
04/04/2007,$143.26
04/05/2007,$143.74
04/09/2007,$143.82
04/10/2007,$144.20
04/11/2007,$143.28
04/12/2007,$144.18
04/13/2007,$144.72
04/16/2007,$146.26
04/17/2007,$146.46
04/18/2007,$146.46
04/19/2007,$146.17
04/20/2007,$147.50
04/23/2007,$147.24
04/24/2007,$147.17
04/25/2007,$148.57
04/26/2007,$148.56
04/27/2007,$148.44
04/30/2007,$147.07
05/01/2007,$147.44
05/02/2007,$148.60
05/03/2007,$149.21
05/04/2007,$149.58
05/07/2007,$149.88
05/08/2007,$149.72
05/09/2007,$150.32
05/10/2007,$148.20
05/11/2007,$149.68
05/14/2007,$149.29
05/15/2007,$148.94
05/16/2007,$150.17
