Date,NAV
01/02/2020,$164.94
01/03/2020,$163.93
01/06/2020,$164.48
01/07/2020,$164.08
01/08/2020,$164.86
01/09/2020,$165.89
01/10/2020,$165.43
01/13/2020,$166.63
01/14/2020,$166.53
01/15/2020,$166.86
01/16/2020,$168.34
01/17/2020,$168.83
01/21/2020,$168.38
01/22/2020,$168.45
01/23/2020,$168.65
01/24/2020,$167.08
01/27/2020,$164.54
01/28/2020,$166.18
01/29/2020,$165.99
01/30/2020,$166.50
01/31/2020,$163.59
02/03/2020,$164.95
02/04/2020,$167.50
02/05/2020,$169.17
02/06/2020,$169.63
02/07/2020,$168.68
02/10/2020,$169.95
02/11/2020,$170.36
02/12/2020,$171.46
02/13/2020,$171.37
02/14/2020,$171.68
02/18/2020,$171.29
02/19/2020,$172.14
02/20/2020,$171.65
02/21/2020,$169.85
02/24/2020,$164.27
02/25/2020,$159.22
02/26/2020,$158.35
02/27/2020,$151.53
02/28/2020,$150.23
03/02/2020,$156.74
03/03/2020,$152.53
03/04/2020,$158.69
03/05/2020,$153.38
03/06/2020,$150.65
03/09/2020,$138.83
03/10/2020,$145.38
03/11/2020,$137.99
03/12/2020,$124.68
03/13/2020,$135.87
03/16/2020,$119.17
03/17/2020,$126.05
03/18/2020,$118.69
03/19/2020,$120.13
03/20/2020,$115.13
03/23/2020,$111.94
03/24/2020,$122.52
03/25/2020,$124.23
03/26/2020,$131.28
03/27/2020,$126.87
03/30/2020,$130.88
03/31/2020,$128.90
04/01/2020,$122.90
04/02/2020,$125.44
04/03/2020,$123.36
04/06/2020,$132.20
04/07/2020,$132.14
04/08/2020,$136.90
04/09/2020,$139.34
04/13/2020,$137.72
04/14/2020,$141.84
04/15/2020,$138.54
04/16/2020,$139.21
04/17/2020,$143.20
04/20/2020,$140.76
04/21/2020,$136.46
04/22/2020,$139.52
04/23/2020,$139.62
04/24/2020,$141.59
04/27/2020,$144.14
04/28/2020,$143.60
04/29/2020,$147.77
04/30/2020,$145.99
05/01/2020,$141.73
05/04/2020,$142.39
05/05/2020,$143.73
05/06/2020,$142.82
05/07/2020,$144.72
05/08/2020,$147.47
05/11/2020,$147.44
05/12/2020,$144.23
05/13/2020,$141.41
05/14/2020,$143.03
05/15/2020,$143.76
05/18/2020,$148.66
05/19/2020,$147.09
05/20/2020,$149.72
05/21/2020,$148.74
05/22/2020,$149.20
05/26/2020,$151.27
05/27/2020,$153.67
05/28/2020,$153.11
05/29/2020,$153.85
06/01/2020,$154.67
06/02/2020,$155.97
06/03/2020,$158.32
06/04/2020,$157.81
06/05/2020,$161.98
06/08/2020,$164.19
06/09/2020,$162.62
06/10/2020,$161.50
06/11/2020,$151.79
06/12/2020,$153.95
06/15/2020,$155.54
06/16/2020,$158.50
06/17/2020,$157.79
06/18/2020,$157.93
06/19/2020,$157.10
06/22/2020,$158.14
06/23/2020,$158.76
06/24/2020,$154.51
06/25/2020,$155.63
06/26/2020,$151.91
06/29/2020,$154.25
06/30/2020,$156.67
07/01/2020,$157.38
07/02/2020,$158.13
07/06/2020,$160.59
07/07/2020,$158.81
07/08/2020,$160.16
07/09/2020,$159.20
07/10/2020,$160.93
07/13/2020,$159.10
07/14/2020,$161.28
07/15/2020,$163.18
07/16/2020,$162.54
07/17/2020,$163.12
07/20/2020,$164.51
07/21/2020,$164.83
07/22/2020,$165.76
07/23/2020,$163.86
07/24/2020,$162.65
07/27/2020,$164.03
07/28/2020,$162.87
07/29/2020,$165.13
07/30/2020,$164.60
07/31/2020,$165.51
08/03/2020,$166.95
08/04/2020,$167.57
08/05/2020,$168.83
08/06/2020,$169.67
08/07/2020,$169.84
08/10/2020,$170.22
08/11/2020,$168.86
08/12/2020,$171.15
08/13/2020,$170.99
08/14/2020,$170.93
08/17/2020,$171.66
08/18/2020,$171.94
08/19/2020,$171.22
08/20/2020,$171.75
08/21/2020,$172.15
08/24/2020,$173.78
08/25/2020,$174.39
08/26/2020,$176.02
08/27/2020,$176.42
08/28/2020,$177.64
08/31/2020,$177.40
09/01/2020,$178.90
09/02/2020,$181.34
09/03/2020,$174.90
09/04/2020,$173.42
09/08/2020,$168.51
09/09/2020,$171.92
09/10/2020,$169.11
09/11/2020,$169.07
09/14/2020,$171.75
09/15/2020,$172.74
09/16/2020,$172.16
09/17/2020,$170.70
09/18/2020,$169.08
09/21/2020,$167.03
09/22/2020,$168.69
09/23/2020,$164.58
09/24/2020,$164.93
09/25/2020,$167.02
09/28/2020,$169.84
09/29/2020,$169.09
09/30/2020,$170.38
10/01/2020,$171.68
10/02/2020,$170.28
10/05/2020,$173.48
10/06/2020,$171.32
10/07/2020,$174.36
10/08/2020,$175.83
10/09/2020,$177.33
10/12/2020,$179.94
10/13/2020,$179.00
10/14/2020,$177.86
10/15/2020,$177.76
10/16/2020,$177.67
10/19/2020,$174.95
10/20/2020,$175.60
10/21/2020,$175.04
10/22/2020,$176.18
10/23/2020,$176.87
10/26/2020,$173.54
10/27/2020,$172.95
10/28/2020,$167.08
10/29/2020,$168.98
10/30/2020,$166.73
11/02/2020,$168.82
11/03/2020,$172.06
11/04/2020,$175.67
11/05/2020,$179.31
11/06/2020,$179.20
11/09/2020,$181.19
11/10/2020,$181.10
11/11/2020,$182.50
11/12/2020,$180.72
11/13/2020,$183.20
11/16/2020,$185.47
11/17/2020,$185.03
11/18/2020,$183.16
11/19/2020,$184.18
11/20/2020,$183.19
11/23/2020,$184.66
11/24/2020,$187.55
11/25/2020,$187.44
11/27/2020,$188.12
11/30/2020,$187.06
12/01/2020,$188.98
12/02/2020,$189.19
12/03/2020,$189.46
12/04/2020,$191.43
12/07/2020,$191.26
12/08/2020,$192.04
12/09/2020,$190.27
12/10/2020,$190.55
12/11/2020,$190.22
12/14/2020,$189.67
12/15/2020,$192.22
12/16/2020,$192.47
12/17/2020,$193.97
12/18/2020,$193.53
12/21/2020,$192.96
12/22/2020,$193.00
12/23/2020,$193.19
12/24/2020,$192.91
12/28/2020,$193.91
12/29/2020,$193.15
12/30/2020,$193.68
12/31/2020,$194.61
