Date,NAV
01/02/2018,$138.20
01/03/2018,$139.01
01/04/2018,$139.53
01/05/2018,$140.43
01/08/2018,$140.70
01/09/2018,$140.87
01/10/2018,$140.71
01/11/2018,$141.89
01/12/2018,$142.75
01/16/2018,$142.10
01/17/2018,$143.41
01/18/2018,$143.13
01/19/2018,$143.93
01/22/2018,$145.07
01/23/2018,$145.42
01/24/2018,$145.24
01/25/2018,$145.33
01/26/2018,$146.89
01/29/2018,$145.91
01/30/2018,$144.35
01/31/2018,$144.36
02/01/2018,$144.35
02/02/2018,$141.35
02/05/2018,$135.71
02/06/2018,$137.90
02/07/2018,$137.36
02/08/2018,$132.35
02/09/2018,$134.22
02/12/2018,$136.01
02/13/2018,$136.39
02/14/2018,$138.36
02/15/2018,$140.01
02/16/2018,$140.12
02/20/2018,$139.28
02/21/2018,$138.62
02/22/2018,$138.69
02/23/2018,$140.83
02/26/2018,$142.35
02/27/2018,$140.54
02/28/2018,$138.99
03/01/2018,$137.36
03/02/2018,$138.27
03/05/2018,$139.77
03/06/2018,$140.30
03/07/2018,$140.39
03/08/2018,$140.94
03/09/2018,$143.32
03/12/2018,$143.22
03/13/2018,$142.34
03/14/2018,$141.60
03/15/2018,$141.41
03/16/2018,$141.74
03/19/2018,$139.83
03/20/2018,$140.03
03/21/2018,$139.94
03/22/2018,$135.92
03/23/2018,$133.10
03/26/2018,$136.58
03/27/2018,$134.19
03/28/2018,$133.87
03/29/2018,$135.69
04/02/2018,$132.62
04/03/2018,$134.27
04/04/2018,$135.82
04/05/2018,$136.79
04/06/2018,$133.87
04/09/2018,$134.26
04/10/2018,$136.53
04/11/2018,$135.92
04/12/2018,$137.00
04/13/2018,$136.56
04/16/2018,$137.69
04/17/2018,$139.17
04/18/2018,$139.34
04/19/2018,$138.57
04/20/2018,$137.48
04/23/2018,$137.45
04/24/2018,$135.74
04/25/2018,$135.90
04/26/2018,$137.22
04/27/2018,$137.33
04/30/2018,$136.21
05/01/2018,$136.57
05/02/2018,$135.72
05/03/2018,$135.41
05/04/2018,$137.15
05/07/2018,$137.74
05/08/2018,$137.79
05/09/2018,$139.08
05/10/2018,$140.30
05/11/2018,$140.56
05/14/2018,$140.61
05/15/2018,$139.77
05/16/2018,$140.45
05/17/2018,$140.47
05/18/2018,$140.19
05/21/2018,$141.22
05/22/2018,$140.68
05/23/2018,$141.11
05/24/2018,$140.88
05/25/2018,$140.60
05/29/2018,$139.18
05/30/2018,$141.00
05/31/2018,$140.03
06/01/2018,$141.50
06/04/2018,$142.16
06/05/2018,$142.37
06/06/2018,$143.58
