Date,NAV
12/31/2008,$44.78
01/02/2009,$46.15
01/05/2009,$46.00
01/06/2009,$46.46
01/07/2009,$45.07
01/08/2009,$45.29
01/09/2009,$44.26
01/12/2009,$43.20
01/13/2009,$43.35
01/14/2009,$41.85
01/15/2009,$42.03
01/16/2009,$42.38
01/20/2009,$40.05
01/21/2009,$41.82
01/22/2009,$41.10
01/23/2009,$41.34
01/26/2009,$41.58
01/27/2009,$42.04
01/28/2009,$43.48
01/29/2009,$42.02
01/30/2009,$41.08
02/02/2009,$41.11
02/03/2009,$41.70
02/04/2009,$41.45
02/05/2009,$42.12
02/06/2009,$43.32
02/09/2009,$43.36
02/10/2009,$41.29
02/11/2009,$41.60
02/12/2009,$41.72
02/13/2009,$41.33
02/17/2009,$39.47
02/18/2009,$39.36
02/19/2009,$38.89
02/20/2009,$38.47
02/23/2009,$37.10
02/24/2009,$38.62
02/25/2009,$38.17
02/26/2009,$37.57
02/27/2009,$36.79
03/02/2009,$35.00
03/03/2009,$34.75
03/04/2009,$35.62
03/05/2009,$34.06
03/06/2009,$34.11
03/09/2009,$33.75
03/10/2009,$35.93
03/11/2009,$36.02
03/12/2009,$37.55
03/13/2009,$37.83
03/16/2009,$37.62
03/17/2009,$38.86
03/18/2009,$39.73
03/19/2009,$39.27
03/20/2009,$38.44
03/23/2009,$41.18
03/24/2009,$40.28
03/25/2009,$40.43
03/26/2009,$41.50
03/27/2009,$40.59
03/30/2009,$39.19
03/31/2009,$39.72
04/01/2009,$40.36
04/02/2009,$41.63
04/03/2009,$42.10
04/06/2009,$41.71
04/07/2009,$40.67
04/08/2009,$41.20
04/09/2009,$42.87
04/13/2009,$42.96
04/14/2009,$42.06
04/15/2009,$42.59
04/16/2009,$43.34
04/17/2009,$43.61
04/20/2009,$41.65
04/21/2009,$42.63
04/22/2009,$42.37
04/23/2009,$42.69
04/24/2009,$43.49
04/27/2009,$43.01
04/28/2009,$42.94
04/29/2009,$43.97
04/30/2009,$43.93
05/01/2009,$44.14
05/04/2009,$45.69
05/05/2009,$45.50
05/06/2009,$46.20
05/07/2009,$45.50
05/08/2009,$46.68
05/11/2009,$45.71
05/12/2009,$45.59
05/13/2009,$44.24
05/14/2009,$44.76
05/15/2009,$44.27
05/18/2009,$45.70
05/19/2009,$45.65
05/20/2009,$45.42
05/21/2009,$44.67
05/22/2009,$44.58
05/26/2009,$45.84
05/27/2009,$45.00
05/28/2009,$45.64
05/29/2009,$46.28
06/01/2009,$47.57
06/02/2009,$47.69
06/03/2009,$47.02
06/04/2009,$47.61
06/05/2009,$47.50
06/08/2009,$47.40
06/09/2009,$47.62
06/10/2009,$47.46
