Date,NAV
12/30/2016,$115.21
01/03/2017,$116.16
01/04/2017,$117.07
01/05/2017,$116.85
01/06/2017,$117.20
01/09/2017,$116.75
01/10/2017,$116.89
01/11/2017,$117.21
01/12/2017,$116.89
01/13/2017,$117.21
01/17/2017,$116.71
01/18/2017,$117.00
01/19/2017,$116.52
01/20/2017,$116.91
01/23/2017,$116.61
01/24/2017,$117.52
01/25/2017,$118.47
01/26/2017,$118.34
01/27/2017,$118.18
01/30/2017,$117.38
01/31/2017,$117.41
02/01/2017,$117.43
02/02/2017,$117.50
02/03/2017,$118.46
02/06/2017,$118.15
02/07/2017,$118.12
02/08/2017,$118.23
02/09/2017,$119.05
02/10/2017,$119.52
02/13/2017,$120.12
02/14/2017,$120.61
02/15/2017,$121.21
02/16/2017,$121.08
02/17/2017,$121.29
02/21/2017,$122.04
02/22/2017,$121.86
02/23/2017,$121.80
02/24/2017,$121.99
02/27/2017,$122.28
02/28/2017,$121.78
03/01/2017,$123.49
03/02/2017,$122.67
03/03/2017,$122.73
03/06/2017,$122.27
03/07/2017,$121.85
03/08/2017,$121.54
03/09/2017,$121.55
03/10/2017,$121.96
03/13/2017,$122.09
03/14/2017,$121.66
03/15/2017,$122.79
03/16/2017,$122.65
03/17/2017,$122.57
03/20/2017,$122.26
03/21/2017,$120.54
03/22/2017,$120.74
03/23/2017,$120.71
03/24/2017,$120.10
03/27/2017,$120.02
03/28/2017,$120.89
03/29/2017,$121.11
03/30/2017,$121.51
03/31/2017,$121.32
04/03/2017,$120.99
04/04/2017,$121.06
04/05/2017,$120.57
04/06/2017,$120.97
04/07/2017,$120.88
04/10/2017,$121.01
04/11/2017,$120.98
04/12/2017,$120.39
04/13/2017,$119.53
04/17/2017,$120.60
04/18/2017,$120.32
04/19/2017,$120.22
04/20/2017,$121.18
04/21/2017,$120.82
04/24/2017,$122.13
04/25/2017,$122.91
04/26/2017,$122.92
04/27/2017,$123.00
04/28/2017,$122.61
05/01/2017,$122.88
05/02/2017,$122.92
05/03/2017,$122.67
05/04/2017,$122.69
05/05/2017,$123.28
05/08/2017,$123.19
05/09/2017,$123.09
05/10/2017,$123.33
05/11/2017,$123.02
05/12/2017,$122.79
05/15/2017,$123.44
05/16/2017,$123.38
05/17/2017,$121.08
05/18/2017,$121.53
05/19/2017,$122.36
05/22/2017,$123.02
05/23/2017,$123.25
05/24/2017,$123.57
05/25/2017,$124.07
05/26/2017,$124.10
05/30/2017,$123.87
05/31/2017,$123.86
06/01/2017,$125.00
06/02/2017,$125.48
06/05/2017,$125.24
06/06/2017,$124.90
06/07/2017,$125.09
06/08/2017,$125.29
06/09/2017,$125.23
06/12/2017,$125.13
06/13/2017,$125.78
06/14/2017,$125.60
06/15/2017,$125.29
06/16/2017,$125.29
06/19/2017,$126.32
06/20/2017,$125.42
06/21/2017,$124.73
06/22/2017,$124.75
06/23/2017,$125.05
06/26/2017,$125.14
06/27/2017,$124.09
06/28/2017,$125.30
06/29/2017,$124.24
06/30/2017,$124.43
07/03/2017,$124.79
07/05/2017,$124.88
07/06/2017,$123.67
07/07/2017,$124.53
07/10/2017,$124.55
07/11/2017,$124.53
07/12/2017,$125.46
07/13/2017,$125.69
07/14/2017,$126.24
07/17/2017,$126.26
07/18/2017,$126.29
07/19/2017,$127.06
07/20/2017,$127.05
07/21/2017,$126.95
07/24/2017,$126.89
07/25/2017,$127.34
07/26/2017,$127.27
07/27/2017,$127.06
07/28/2017,$126.87
07/31/2017,$126.76
08/01/2017,$127.05
08/02/2017,$126.94
08/03/2017,$126.67
08/04/2017,$126.96
08/07/2017,$127.15
08/08/2017,$126.84
08/09/2017,$126.66
08/10/2017,$124.83
08/11/2017,$125.02
08/14/2017,$126.33
08/15/2017,$126.19
08/16/2017,$126.42
08/17/2017,$124.45
08/18/2017,$124.24
08/21/2017,$124.36
08/22/2017,$125.61
08/23/2017,$125.24
08/24/2017,$125.07
08/25/2017,$125.30
08/28/2017,$125.37
08/29/2017,$125.48
08/30/2017,$126.14
