Date,NAV
01/02/2014,$95.06
01/03/2014,$95.10
01/06/2014,$94.80
01/07/2014,$95.43
01/08/2014,$95.47
01/09/2014,$95.52
01/10/2014,$95.82
01/13/2014,$94.60
01/14/2014,$95.67
01/15/2014,$96.17
01/16/2014,$96.09
01/17/2014,$95.73
01/21/2014,$96.04
01/22/2014,$96.19
01/23/2014,$95.35
01/24/2014,$93.29
01/27/2014,$92.72
01/28/2014,$93.37
01/29/2014,$92.40
01/30/2014,$93.52
01/31/2014,$92.94
02/03/2014,$90.68
02/04/2014,$91.41
02/05/2014,$91.20
02/06/2014,$92.34
02/07/2014,$93.55
02/10/2014,$93.72
02/11/2014,$94.72
02/12/2014,$94.82
02/13/2014,$95.47
02/14/2014,$95.89
02/18/2014,$96.16
02/19/2014,$95.51
02/20/2014,$96.17
02/21/2014,$96.06
02/24/2014,$96.68
02/25/2014,$96.58
02/26/2014,$96.68
02/27/2014,$97.18
02/28/2014,$97.35
03/03/2014,$96.67
03/04/2014,$98.24
03/05/2014,$98.22
03/06/2014,$98.36
03/07/2014,$98.39
03/10/2014,$98.29
03/11/2014,$97.73
03/12/2014,$97.83
03/13/2014,$96.69
03/14/2014,$96.53
03/17/2014,$97.40
03/18/2014,$98.19
03/19/2014,$97.57
03/20/2014,$98.08
03/21/2014,$97.78
03/24/2014,$97.17
03/25/2014,$97.09
03/26/2014,$96.26
03/27/2014,$96.10
03/28/2014,$96.51
03/31/2014,$97.43
04/01/2014,$98.23
04/02/2014,$98.52
04/03/2014,$98.26
04/04/2014,$96.89
04/07/2014,$95.74
04/08/2014,$96.19
04/09/2014,$97.31
04/10/2014,$95.19
04/11/2014,$94.21
04/14/2014,$94.89
04/15/2014,$95.50
04/16/2014,$96.55
04/17/2014,$96.73
04/21/2014,$97.11
04/22/2014,$97.63
04/23/2014,$97.36
04/24/2014,$97.46
04/25/2014,$96.51
04/28/2014,$96.66
04/29/2014,$97.15
04/30/2014,$97.49
05/01/2014,$97.54
05/02/2014,$97.47
05/05/2014,$97.62
05/06/2014,$96.68
05/07/2014,$97.17
05/08/2014,$96.93
05/09/2014,$97.15
05/12/2014,$98.25
05/13/2014,$98.19
05/14/2014,$97.64
05/15/2014,$96.78
05/16/2014,$97.16
05/19/2014,$97.62
05/20/2014,$96.90
05/21/2014,$97.65
05/22/2014,$97.98
05/23/2014,$98.47
05/27/2014,$99.14
05/28/2014,$99.01
05/29/2014,$99.53
05/30/2014,$99.62
06/02/2014,$99.69
06/03/2014,$99.65
06/04/2014,$99.91
06/05/2014,$100.68
06/06/2014,$101.21
06/09/2014,$101.38
06/10/2014,$101.32
06/11/2014,$100.98
06/12/2014,$100.30
06/13/2014,$100.62
06/16/2014,$100.73
06/17/2014,$101.04
06/18/2014,$101.79
06/19/2014,$101.93
06/20/2014,$102.14
06/23/2014,$102.11
06/24/2014,$100.99
06/25/2014,$101.52
06/26/2014,$101.43
06/27/2014,$101.69
06/30/2014,$101.74
07/01/2014,$102.48
07/02/2014,$102.44
07/03/2014,$103.00
07/07/2014,$102.41
07/08/2014,$101.63
07/09/2014,$102.08
07/10/2014,$101.61
07/11/2014,$101.72
07/14/2014,$102.21
07/15/2014,$101.92
07/16/2014,$102.26
07/17/2014,$101.04
07/18/2014,$102.14
07/21/2014,$101.89
07/22/2014,$102.44
07/23/2014,$102.63
07/24/2014,$102.67
07/25/2014,$102.13
07/28/2014,$102.09
07/29/2014,$101.70
07/30/2014,$101.79
07/31/2014,$99.75
08/01/2014,$99.46
08/04/2014,$100.17
08/05/2014,$99.31
08/06/2014,$99.34
08/07/2014,$98.83
08/08/2014,$99.94
08/11/2014,$100.31
08/12/2014,$100.07
08/13/2014,$100.80
08/14/2014,$101.23
08/15/2014,$101.23
08/18/2014,$102.18
08/19/2014,$102.68
08/20/2014,$102.90
08/21/2014,$103.17
08/22/2014,$103.03
08/25/2014,$103.51
08/26/2014,$103.69
08/27/2014,$103.70
08/28/2014,$103.51
08/29/2014,$103.92
09/02/2014,$103.96
09/03/2014,$103.83
09/04/2014,$103.62
09/05/2014,$104.11
09/08/2014,$103.88
09/09/2014,$103.14
09/10/2014,$103.54
09/11/2014,$103.72
09/12/2014,$103.05
09/15/2014,$102.78
09/16/2014,$103.51
09/17/2014,$103.66
09/18/2014,$104.14
09/19/2014,$103.96
09/22/2014,$102.98
09/23/2014,$102.35
09/24/2014,$102.67
09/25/2014,$101.05
09/26/2014,$101.92
09/29/2014,$101.69
09/30/2014,$101.26
10/01/2014,$99.89
10/02/2014,$99.99
10/03/2014,$101.08
10/06/2014,$100.85
10/07/2014,$99.30
10/08/2014,$101.01
10/09/2014,$98.87
10/10/2014,$97.63
10/13/2014,$96.08
10/14/2014,$96.37
10/15/2014,$95.82
10/16/2014,$96.05
10/17/2014,$97.14
10/20/2014,$98.06
10/21/2014,$100.02
10/22/2014,$99.20
10/23/2014,$100.47
10/24/2014,$101.13
10/27/2014,$100.96
10/28/2014,$102.33
10/29/2014,$102.15
10/30/2014,$102.79
10/31/2014,$104.04
11/03/2014,$104.03
11/04/2014,$103.67
11/05/2014,$104.19
11/06/2014,$104.67
11/07/2014,$104.73
11/10/2014,$105.07
11/11/2014,$105.14
11/12/2014,$105.18
11/13/2014,$105.12
11/14/2014,$105.16
11/17/2014,$105.13
11/18/2014,$105.71
11/19/2014,$105.47
11/20/2014,$105.79
11/21/2014,$106.32
11/24/2014,$106.74
11/25/2014,$106.65
11/26/2014,$106.97
11/28/2014,$106.56
12/01/2014,$105.66
12/02/2014,$106.35
12/03/2014,$106.87
12/04/2014,$106.72
12/05/2014,$106.95
12/08/2014,$106.12
12/09/2014,$106.26
12/10/2014,$104.46
12/11/2014,$104.96
12/12/2014,$103.33
12/15/2014,$102.62
12/16/2014,$101.84
12/17/2014,$104.03
12/18/2014,$106.41
12/19/2014,$106.90
12/22/2014,$106.76
12/23/2014,$106.94
12/24/2014,$106.99
12/26/2014,$107.39
12/29/2014,$107.55
