Date, YTD, MTD, Day
01/04/2016, -0.52%, -0.52%, -0.52%
01/05/2016, -0.52%, -0.52%, 0%
01/06/2016, -0.83%, -0.83%, -0.32%
01/07/2016, -1.69%, -1.69%, -0.89%
01/08/2016, -2.01%, -2.01%, -0.34%
01/11/2016, -2.21%, -2.21%, -0.2%
01/12/2016, -1.79%, -1.79%, 0.43%
01/13/2016, -2.6%, -2.6%, -0.87%
01/14/2016, -2.16%, -2.16%, 0.49%
01/15/2016, -2.87%, -2.87%, -0.77%
01/19/2016, -2.95%, -2.95%, -0.08%
01/20/2016, -3.31%, -3.31%, -0.4%
01/21/2016, -3.21%, -3.21%, 0.11%
01/22/2016, -2.47%, -2.47%, 0.82%
01/25/2016, -3.01%, -3.01%, -0.59%
01/26/2016, -2.46%, -2.46%, 0.6%
01/27/2016, -2.84%, -2.84%, -0.41%
01/28/2016, -2.63%, -2.63%, 0.22%
01/29/2016, -1.53%, -1.53%, 1.19%
02/01/2016, -1.66%, -0.13%, -0.13%
02/02/2016, -2.11%, -0.63%, -0.5%
02/03/2016, -2.04%, -0.55%, 0.09%
02/04/2016, -1.87%, -0.37%, 0.18%
02/05/2016, -2.6%, -1.14%, -0.78%
02/08/2016, -2.89%, -1.48%, -0.35%
02/09/2016, -3.04%, -1.62%, -0.15%
02/10/2016, -2.9%, -1.49%, 0.13%
02/11/2016, -3.31%, -1.92%, -0.45%
02/12/2016, -2.91%, -1.48%, 0.49%
02/16/2016, -2.36%, -0.9%, 0.62%
02/17/2016, -1.79%, -0.28%, 0.63%
02/18/2016, -1.78%, -0.29%, -0%
02/19/2016, -1.77%, -0.28%, 0.01%
02/22/2016, -1.25%, 0.28%, 0.57%
02/23/2016, -1.65%, -0.15%, -0.43%
02/24/2016, -1.5%, 0.01%, 0.16%
02/25/2016, -0.96%, 0.57%, 0.56%
02/26/2016, -1.15%, 0.39%, -0.18%
02/29/2016, -1.34%, 0.17%, -0.21%
03/01/2016, -0.68%, 0.72%, 0.72%
03/02/2016, -0.47%, 0.95%, 0.22%
03/03/2016, -0.14%, 1.28%, 0.33%
03/04/2016, -0.09%, 1.35%, 0.06%
03/07/2016, -0.07%, 1.38%, 0.03%
03/08/2016, -0.35%, 1.06%, -0.29%
03/09/2016, -0.26%, 1.17%, 0.1%
03/10/2016, -0.4%, 1.02%, -0.14%
03/11/2016, 0.24%, 1.72%, 0.67%
03/14/2016, 0.06%, 1.52%, -0.18%
03/15/2016, -0.11%, 1.33%, -0.18%
03/16/2016, 0.37%, 1.83%, 0.49%
03/17/2016, 0.75%, 2.23%, 0.38%
03/18/2016, 1.04%, 2.53%, 0.29%
