Date, YTD, MTD, Day
01/02/2019, 0.08%, 0.08%, 0.08%
01/03/2019, -0.5%, -0.5%, -0.58%
01/04/2019, 0.6%, 0.6%, 1.14%
01/07/2019, 0.82%, 0.82%, 0.22%
01/08/2019, 1.17%, 1.17%, 0.34%
01/09/2019, 1.47%, 1.47%, 0.3%
01/10/2019, 1.61%, 1.61%, 0.13%
01/11/2019, 1.65%, 1.65%, 0.05%
01/14/2019, 1.42%, 1.42%, -0.23%
01/15/2019, 1.78%, 1.78%, 0.35%
01/16/2019, 1.9%, 1.9%, 0.12%
01/17/2019, 2.21%, 2.21%, 0.3%
01/18/2019, 2.63%, 2.63%, 0.39%
01/22/2019, 2.14%, 2.14%, -0.45%
01/23/2019, 2.27%, 2.27%, 0.13%
01/24/2019, 2.49%, 2.49%, 0.21%
01/25/2019, 2.83%, 2.83%, 0.32%
01/28/2019, 2.53%, 2.53%, -0.28%
01/29/2019, 2.6%, 2.6%, 0.07%
01/30/2019, 3.28%, 3.28%, 0.64%
01/31/2019, 3.86%, 3.86%, 0.55%
02/01/2019, 3.74%, -0.12%, -0.12%
02/04/2019, 3.98%, 0.09%, 0.21%
02/05/2019, 4.3%, 0.4%, 0.31%
02/06/2019, 4.2%, 0.3%, -0.1%
02/07/2019, 3.92%, 0.05%, -0.25%
02/08/2019, 3.99%, 0.13%, 0.08%
02/11/2019, 3.99%, 0.12%, -0%
02/12/2019, 4.49%, 0.57%, 0.45%
02/13/2019, 4.49%, 0.57%, -0.01%
02/14/2019, 4.53%, 0.61%, 0.05%
02/15/2019, 5.07%, 1.12%, 0.5%
02/19/2019, 5.22%, 1.26%, 0.14%
02/20/2019, 5.27%, 1.29%, 0.03%
02/21/2019, 5%, 1.04%, -0.25%
02/22/2019, 5.42%, 1.43%, 0.39%
02/25/2019, 5.43%, 1.44%, 0%
02/26/2019, 5.49%, 1.51%, 0.07%
02/27/2019, 5.32%, 1.34%, -0.17%
02/28/2019, 5.14%, 1.16%, -0.17%
03/01/2019, 5.26%, 0.09%, 0.09%
03/04/2019, 5.18%, 0.03%, -0.06%
03/05/2019, 5.18%, 0.04%, 0.01%
03/06/2019, 4.9%, -0.2%, -0.24%
03/07/2019, 4.71%, -0.36%, -0.16%
03/08/2019, 4.62%, -0.44%, -0.09%
03/11/2019, 5.25%, 0.13%, 0.58%
03/12/2019, 5.49%, 0.35%, 0.23%
03/13/2019, 5.79%, 0.62%, 0.26%
03/14/2019, 5.63%, 0.46%, -0.15%
03/15/2019, 5.97%, 0.78%, 0.32%
03/18/2019, 6.16%, 0.95%, 0.17%
03/19/2019, 6.13%, 0.93%, -0.02%
03/20/2019, 6.22%, 1.03%, 0.1%
03/21/2019, 6.68%, 1.44%, 0.41%
03/22/2019, 5.8%, 0.69%, -0.74%
03/25/2019, 5.9%, 0.78%, 0.09%
03/26/2019, 6.23%, 1.08%, 0.3%
03/27/2019, 6.14%, 1.01%, -0.07%
03/28/2019, 6.32%, 1.17%, 0.16%
03/29/2019, 6.55%, 1.37%, 0.2%
04/01/2019, 6.85%, 0.24%, 0.24%
04/02/2019, 6.9%, 0.29%, 0.05%
04/03/2019, 6.93%, 0.31%, 0.01%
04/04/2019, 7.01%, 0.38%, 0.07%
04/05/2019, 7.3%, 0.64%, 0.26%
04/08/2019, 7.28%, 0.61%, -0.02%
04/09/2019, 7.05%, 0.42%, -0.19%
04/10/2019, 7.38%, 0.72%, 0.3%
04/11/2019, 7.25%, 0.6%, -0.12%
04/12/2019, 7.43%, 0.75%, 0.15%
04/15/2019, 7.45%, 0.77%, 0.03%
04/16/2019, 7.36%, 0.68%, -0.09%
04/17/2019, 7.23%, 0.56%, -0.12%
04/18/2019, 7.4%, 0.72%, 0.16%
04/22/2019, 7.3%, 0.63%, -0.09%
04/23/2019, 7.78%, 1.05%, 0.42%
04/24/2019, 7.78%, 1.06%, 0.02%
04/25/2019, 7.72%, 1.01%, -0.05%
04/26/2019, 8.08%, 1.34%, 0.32%
04/29/2019, 8.04%, 1.29%, -0.05%
04/30/2019, 8.18%, 1.43%, 0.14%
05/01/2019, 7.83%, -0.3%, -0.3%
05/02/2019, 7.64%, -0.47%, -0.17%
05/03/2019, 8.19%, -0%, 0.48%
05/06/2019, 8.03%, -0.13%, -0.13%
05/07/2019, 7.37%, -0.67%, -0.55%
05/08/2019, 7.18%, -0.85%, -0.18%
05/09/2019, 7.15%, -0.87%, -0.02%
05/10/2019, 7.27%, -0.77%, 0.1%
05/13/2019, 6.31%, -1.57%, -0.82%
05/14/2019, 6.65%, -1.28%, 0.3%
05/15/2019, 7.02%, -0.95%, 0.34%
05/16/2019, 7.35%, -0.68%, 0.28%
05/17/2019, 7.04%, -0.95%, -0.27%
05/20/2019, 6.68%, -1.26%, -0.32%
05/21/2019, 7.02%, -0.97%, 0.3%
05/22/2019, 6.99%, -0.99%, -0.02%
05/23/2019, 6.64%, -1.25%, -0.28%
05/24/2019, 6.71%, -1.2%, 0.06%
05/28/2019, 6.47%, -1.39%, -0.2%
05/29/2019, 6.16%, -1.65%, -0.28%
05/30/2019, 6.42%, -1.41%, 0.24%
05/31/2019, 6.18%, -1.58%, -0.19%
06/03/2019, 6.29%, 0.11%, 0.11%
