Date, YTD, MTD, Day
01/02/2019, 0.08%, 0.08%, 0.08%
01/03/2019, -0.37%, -0.37%, -0.45%
01/04/2019, 0.55%, 0.55%, 0.95%
01/07/2019, 0.72%, 0.72%, 0.16%
01/08/2019, 1.01%, 1.01%, 0.29%
01/09/2019, 1.29%, 1.29%, 0.27%
01/10/2019, 1.4%, 1.4%, 0.1%
01/11/2019, 1.45%, 1.45%, 0.05%
01/14/2019, 1.24%, 1.24%, -0.2%
01/15/2019, 1.55%, 1.55%, 0.29%
01/16/2019, 1.65%, 1.65%, 0.1%
01/17/2019, 1.92%, 1.92%, 0.26%
01/18/2019, 2.26%, 2.26%, 0.31%
01/22/2019, 1.86%, 1.86%, -0.37%
01/23/2019, 1.99%, 1.99%, 0.12%
01/24/2019, 2.2%, 2.2%, 0.21%
01/25/2019, 2.49%, 2.49%, 0.27%
01/28/2019, 2.23%, 2.23%, -0.25%
01/29/2019, 2.31%, 2.31%, 0.09%
01/30/2019, 2.92%, 2.92%, 0.57%
01/31/2019, 3.47%, 3.47%, 0.53%
02/01/2019, 3.34%, -0.14%, -0.14%
02/04/2019, 3.53%, 0.03%, 0.17%
02/05/2019, 3.84%, 0.33%, 0.3%
02/06/2019, 3.74%, 0.24%, -0.09%
02/07/2019, 3.52%, 0.04%, -0.19%
02/08/2019, 3.6%, 0.12%, 0.08%
02/11/2019, 3.59%, 0.11%, -0.02%
02/12/2019, 4.01%, 0.49%, 0.38%
02/13/2019, 3.99%, 0.46%, -0.03%
02/14/2019, 4.05%, 0.53%, 0.07%
02/15/2019, 4.54%, 0.98%, 0.45%
02/19/2019, 4.68%, 1.11%, 0.13%
02/20/2019, 4.7%, 1.13%, 0.02%
02/21/2019, 4.45%, 0.89%, -0.24%
02/22/2019, 4.84%, 1.26%, 0.36%
02/25/2019, 4.83%, 1.25%, -0.01%
02/26/2019, 4.92%, 1.33%, 0.09%
02/27/2019, 4.73%, 1.15%, -0.18%
02/28/2019, 4.55%, 0.98%, -0.16%
03/01/2019, 4.62%, 0.04%, 0.04%
03/04/2019, 4.58%, 0.01%, -0.03%
03/05/2019, 4.59%, 0.04%, 0.02%
03/06/2019, 4.36%, -0.17%, -0.2%
03/07/2019, 4.23%, -0.26%, -0.1%
03/08/2019, 4.15%, -0.34%, -0.07%
03/11/2019, 4.7%, 0.16%, 0.5%
03/12/2019, 4.94%, 0.38%, 0.22%
03/13/2019, 5.19%, 0.61%, 0.23%
03/14/2019, 5.03%, 0.45%, -0.16%
03/15/2019, 5.35%, 0.75%, 0.3%
03/18/2019, 5.52%, 0.9%, 0.15%
03/19/2019, 5.5%, 0.88%, -0.02%
03/20/2019, 5.62%, 1.02%, 0.14%
03/21/2019, 6.03%, 1.38%, 0.36%
03/22/2019, 5.32%, 0.78%, -0.58%
03/25/2019, 5.42%, 0.88%, 0.1%
03/26/2019, 5.71%, 1.14%, 0.26%
03/27/2019, 5.66%, 1.11%, -0.04%
03/28/2019, 5.82%, 1.25%, 0.14%
03/29/2019, 6.01%, 1.41%, 0.16%
04/01/2019, 6.22%, 0.16%, 0.16%
04/02/2019, 6.28%, 0.22%, 0.06%
04/03/2019, 6.28%, 0.21%, -0.01%
04/04/2019, 6.35%, 0.27%, 0.06%
04/05/2019, 6.61%, 0.51%, 0.24%
04/08/2019, 6.58%, 0.48%, -0.03%
04/09/2019, 6.39%, 0.32%, -0.15%
04/10/2019, 6.71%, 0.61%, 0.28%
04/11/2019, 6.57%, 0.47%, -0.13%
04/12/2019, 6.71%, 0.58%, 0.1%
04/15/2019, 6.74%, 0.62%, 0.03%
04/16/2019, 6.64%, 0.51%, -0.1%
04/17/2019, 6.52%, 0.41%, -0.1%
04/18/2019, 6.69%, 0.57%, 0.16%
04/22/2019, 6.58%, 0.47%, -0.11%
04/23/2019, 7.01%, 0.85%, 0.38%
04/24/2019, 7.04%, 0.88%, 0.04%
04/25/2019, 6.98%, 0.84%, -0.05%
04/26/2019, 7.32%, 1.15%, 0.31%
04/29/2019, 7.26%, 1.08%, -0.07%
04/30/2019, 7.41%, 1.23%, 0.14%
05/01/2019, 7.1%, -0.26%, -0.26%
05/02/2019, 6.91%, -0.44%, -0.17%
05/03/2019, 7.41%, -0.01%, 0.43%
05/06/2019, 7.28%, -0.11%, -0.1%
05/07/2019, 6.73%, -0.57%, -0.46%
05/08/2019, 6.53%, -0.75%, -0.18%
05/09/2019, 6.53%, -0.74%, 0.01%
05/10/2019, 6.62%, -0.66%, 0.08%
05/13/2019, 5.82%, -1.33%, -0.68%
05/14/2019, 6.1%, -1.09%, 0.25%
05/15/2019, 6.45%, -0.78%, 0.32%
05/16/2019, 6.73%, -0.55%, 0.24%
05/17/2019, 6.45%, -0.78%, -0.24%
05/20/2019, 6.13%, -1.07%, -0.29%
05/21/2019, 6.42%, -0.83%, 0.25%
05/22/2019, 6.41%, -0.82%, 0%
05/23/2019, 6.16%, -1%, -0.2%
05/24/2019, 6.21%, -0.97%, 0.04%
05/28/2019, 6.02%, -1.11%, -0.15%
05/29/2019, 5.75%, -1.34%, -0.24%
05/30/2019, 6.01%, -1.1%, 0.25%
05/31/2019, 5.86%, -1.18%, -0.11%
06/03/2019, 5.99%, 0.13%, 0.13%
06/04/2019, 6.61%, 0.68%, 0.55%
06/05/2019, 6.87%, 0.92%, 0.24%
06/06/2019, 7.01%, 1.04%, 0.12%
06/07/2019, 7.6%, 1.58%, 0.53%
06/10/2019, 7.6%, 1.58%, -0.01%
