Date, YTD, MTD, Day
01/03/2017, 0.28%, 0.28%, 0.28%
01/04/2017, 0.63%, 0.63%, 0.35%
01/05/2017, 0.91%, 0.91%, 0.28%
01/06/2017, 0.75%, 0.75%, -0.16%
01/09/2017, 0.8%, 0.8%, 0.05%
01/10/2017, 0.78%, 0.78%, -0.01%
01/11/2017, 0.95%, 0.95%, 0.17%
01/12/2017, 0.87%, 0.87%, -0.08%
01/13/2017, 0.85%, 0.85%, -0.02%
01/17/2017, 0.95%, 0.95%, 0.1%
01/18/2017, 0.65%, 0.65%, -0.3%
01/19/2017, 0.39%, 0.39%, -0.25%
01/20/2017, 0.57%, 0.57%, 0.18%
01/23/2017, 0.68%, 0.68%, 0.11%
01/24/2017, 0.77%, 0.77%, 0.09%
01/25/2017, 0.88%, 0.88%, 0.1%
01/26/2017, 0.89%, 0.89%, 0.01%
01/27/2017, 0.91%, 0.91%, 0.02%
01/30/2017, 0.67%, 0.67%, -0.24%
01/31/2017, 0.81%, 0.81%, 0.14%
02/01/2017, 0.7%, -0.11%, -0.11%
02/02/2017, 0.72%, -0.08%, 0.02%
02/03/2017, 1.06%, 0.25%, 0.33%
02/06/2017, 1.14%, 0.33%, 0.08%
02/07/2017, 1.19%, 0.38%, 0.04%
02/08/2017, 1.41%, 0.6%, 0.22%
02/09/2017, 1.41%, 0.59%, -0.01%
02/10/2017, 1.55%, 0.73%, 0.14%
02/13/2017, 1.67%, 0.85%, 0.11%
02/14/2017, 1.68%, 0.86%, 0.01%
02/15/2017, 1.74%, 0.91%, 0.05%
02/16/2017, 1.89%, 1.06%, 0.15%
02/17/2017, 2%, 1.17%, 0.11%
02/21/2017, 2.22%, 1.39%, 0.21%
02/22/2017, 2.23%, 1.4%, 0.01%
02/23/2017, 2.28%, 1.45%, 0.05%
02/24/2017, 2.55%, 1.72%, 0.27%
02/27/2017, 2.44%, 1.6%, -0.11%
02/28/2017, 2.36%, 1.53%, -0.07%
03/01/2017, 2.49%, 0.11%, 0.11%
03/02/2017, 2.18%, -0.19%, -0.3%
03/03/2017, 2.21%, -0.16%, 0.03%
03/06/2017, 2.02%, -0.34%, -0.19%
03/07/2017, 1.83%, -0.52%, -0.18%
03/08/2017, 1.55%, -0.8%, -0.28%
03/09/2017, 1.37%, -0.98%, -0.18%
03/10/2017, 1.57%, -0.79%, 0.19%
03/13/2017, 1.5%, -0.85%, -0.07%
03/14/2017, 1.43%, -0.92%, -0.07%
03/15/2017, 2.09%, -0.28%, 0.65%
03/16/2017, 2.02%, -0.35%, -0.08%
03/17/2017, 2.12%, -0.25%, 0.11%
03/20/2017, 2.17%, -0.19%, 0.05%
03/21/2017, 1.8%, -0.54%, -0.34%
03/22/2017, 1.91%, -0.43%, 0.11%
03/23/2017, 1.69%, -0.64%, -0.21%
03/24/2017, 1.74%, -0.59%, 0.05%
03/27/2017, 1.85%, -0.48%, 0.11%
03/28/2017, 1.93%, -0.42%, 0.06%
03/29/2017, 2.11%, -0.24%, 0.18%
03/30/2017, 2.08%, -0.27%, -0.03%
03/31/2017, 2.14%, -0.21%, 0.06%
04/03/2017, 2.23%, 0.1%, 0.1%
04/04/2017, 2.19%, 0.05%, -0.04%
04/05/2017, 2.11%, -0.02%, -0.07%
04/06/2017, 2.21%, 0.07%, 0.1%
04/07/2017, 2%, -0.13%, -0.21%
04/10/2017, 2.09%, -0.04%, 0.09%
04/11/2017, 2.34%, 0.21%, 0.25%
04/12/2017, 2.31%, 0.18%, -0.03%
04/13/2017, 2.18%, 0.06%, -0.12%
04/17/2017, 2.43%, 0.3%, 0.24%
04/18/2017, 2.58%, 0.45%, 0.15%
04/19/2017, 2.41%, 0.29%, -0.16%
04/20/2017, 2.58%, 0.44%, 0.16%
04/21/2017, 2.48%, 0.34%, -0.1%
04/24/2017, 2.79%, 0.63%, 0.29%
04/25/2017, 2.85%, 0.68%, 0.05%
04/26/2017, 2.91%, 0.74%, 0.06%
04/27/2017, 2.99%, 0.82%, 0.07%
04/28/2017, 2.94%, 0.77%, -0.04%
05/01/2017, 2.9%, -0.05%, -0.05%
05/02/2017, 3%, 0.05%, 0.1%
05/03/2017, 2.86%, -0.08%, -0.14%
05/04/2017, 2.81%, -0.13%, -0.05%
05/05/2017, 3.01%, 0.05%, 0.18%
05/08/2017, 2.85%, -0.1%, -0.15%
05/09/2017, 2.82%, -0.13%, -0.03%
05/10/2017, 2.84%, -0.12%, 0.01%
05/11/2017, 2.8%, -0.14%, -0.03%
05/12/2017, 3%, 0.05%, 0.2%
05/15/2017, 3.14%, 0.18%, 0.13%
05/16/2017, 3.21%, 0.25%, 0.06%
05/17/2017, 2.9%, -0.02%, -0.26%
05/18/2017, 2.95%, 0.02%, 0.04%
05/19/2017, 3.22%, 0.27%, 0.25%
05/22/2017, 3.36%, 0.4%, 0.12%
05/23/2017, 3.29%, 0.33%, -0.07%
05/24/2017, 3.51%, 0.54%, 0.21%
05/25/2017, 3.65%, 0.68%, 0.14%
05/26/2017, 3.65%, 0.68%, -0%
05/30/2017, 3.71%, 0.73%, 0.06%
05/31/2017, 3.7%, 0.73%, -0.01%
06/01/2017, 4.04%, 0.31%, 0.31%
06/02/2017, 4.39%, 0.64%, 0.33%
06/05/2017, 4.25%, 0.52%, -0.13%
06/06/2017, 4.27%, 0.54%, 0.03%
06/07/2017, 4.2%, 0.47%, -0.08%
06/08/2017, 4.19%, 0.45%, -0.01%
06/09/2017, 4.1%, 0.37%, -0.09%
06/12/2017, 4.05%, 0.33%, -0.04%
06/13/2017, 4.26%, 0.52%, 0.19%
06/14/2017, 4.45%, 0.71%, 0.19%
06/15/2017, 4.27%, 0.54%, -0.17%
06/16/2017, 4.29%, 0.56%, 0.02%
06/19/2017, 4.53%, 0.78%, 0.22%
06/20/2017, 4.17%, 0.45%, -0.32%
06/21/2017, 4.14%, 0.43%, -0.03%
06/22/2017, 4.15%, 0.43%, 0.01%
06/23/2017, 4.3%, 0.58%, 0.15%
06/26/2017, 4.34%, 0.61%, 0.03%
06/27/2017, 3.87%, 0.17%, -0.44%
06/28/2017, 4.22%, 0.49%, 0.33%
06/29/2017, 3.73%, 0.02%, -0.47%
06/30/2017, 3.72%, 0.01%, -0.01%
07/03/2017, 3.7%, -0.03%, -0.03%
07/05/2017, 3.72%, -0.01%, 0.02%
07/06/2017, 3.31%, -0.39%, -0.38%
07/07/2017, 3.48%, -0.23%, 0.16%
07/10/2017, 3.5%, -0.22%, 0.01%
07/11/2017, 3.56%, -0.15%, 0.07%
07/12/2017, 4.04%, 0.3%, 0.45%
07/13/2017, 4%, 0.25%, -0.05%
07/14/2017, 4.24%, 0.48%, 0.23%
07/17/2017, 4.3%, 0.54%, 0.06%
07/18/2017, 4.5%, 0.74%, 0.2%
