Date, YTD, MTD, Day
01/02/2019, 0.1%, 0.1%, 0.1%
01/03/2019, -1.52%, -1.52%, -1.62%
01/04/2019, 0.92%, 0.92%, 2.5%
01/07/2019, 1.52%, 1.52%, 0.6%
01/08/2019, 2.31%, 2.31%, 0.77%
01/09/2019, 2.73%, 2.73%, 0.41%
01/10/2019, 3.08%, 3.08%, 0.34%
01/11/2019, 3.1%, 3.1%, 0.02%
01/14/2019, 2.66%, 2.66%, -0.43%
01/15/2019, 3.45%, 3.45%, 0.77%
01/16/2019, 3.68%, 3.68%, 0.22%
01/17/2019, 4.3%, 4.3%, 0.59%
01/18/2019, 5.28%, 5.28%, 0.92%
01/22/2019, 4.18%, 4.18%, -1.02%
01/23/2019, 4.32%, 4.32%, 0.14%
01/24/2019, 4.57%, 4.57%, 0.23%
01/25/2019, 5.28%, 5.28%, 0.67%
01/28/2019, 4.7%, 4.7%, -0.54%
01/29/2019, 4.63%, 4.63%, -0.07%
01/30/2019, 5.85%, 5.85%, 1.15%
01/31/2019, 6.64%, 6.64%, 0.75%
02/01/2019, 6.7%, 0.05%, 0.05%
02/04/2019, 7.26%, 0.56%, 0.51%
02/05/2019, 7.68%, 0.95%, 0.39%
02/06/2019, 7.5%, 0.79%, -0.16%
02/07/2019, 6.83%, 0.18%, -0.6%
02/08/2019, 6.94%, 0.28%, 0.1%
02/11/2019, 7.05%, 0.38%, 0.1%
02/12/2019, 8.08%, 1.32%, 0.94%
02/13/2019, 8.29%, 1.51%, 0.18%
02/14/2019, 8.18%, 1.41%, -0.09%
02/15/2019, 9.13%, 2.29%, 0.86%
02/19/2019, 9.3%, 2.45%, 0.15%
02/20/2019, 9.43%, 2.57%, 0.12%
02/21/2019, 9.09%, 2.25%, -0.31%
02/22/2019, 9.72%, 2.84%, 0.57%
02/25/2019, 9.81%, 2.91%, 0.07%
02/26/2019, 9.72%, 2.84%, -0.07%
02/27/2019, 9.69%, 2.8%, -0.04%
02/28/2019, 9.43%, 2.56%, -0.23%
03/01/2019, 9.94%, 0.44%, 0.44%
03/04/2019, 9.59%, 0.14%, -0.3%
03/05/2019, 9.49%, 0.05%, -0.08%
03/06/2019, 8.84%, -0.52%, -0.58%
03/07/2019, 8.26%, -1.03%, -0.51%
03/08/2019, 8.1%, -1.17%, -0.14%
03/11/2019, 9.34%, -0.08%, 1.11%
03/12/2019, 9.62%, 0.19%, 0.26%
03/13/2019, 10.18%, 0.68%, 0.49%
03/14/2019, 10.06%, 0.57%, -0.11%
03/15/2019, 10.49%, 0.96%, 0.39%
03/18/2019, 10.83%, 1.26%, 0.3%
03/19/2019, 10.77%, 1.21%, -0.05%
03/20/2019, 10.57%, 1.03%, -0.17%
03/21/2019, 11.53%, 1.89%, 0.85%
03/22/2019, 9.42%, 0.02%, -1.83%
03/25/2019, 9.43%, 0.04%, 0.01%
03/26/2019, 10.07%, 0.61%, 0.57%
03/27/2019, 9.72%, 0.3%, -0.31%
03/28/2019, 10.1%, 0.65%, 0.34%
03/29/2019, 10.62%, 1.11%, 0.46%
04/01/2019, 11.51%, 0.77%, 0.77%
04/02/2019, 11.52%, 0.78%, 0.01%
04/03/2019, 11.7%, 0.94%, 0.15%
04/04/2019, 11.87%, 1.09%, 0.15%
04/05/2019, 12.35%, 1.51%, 0.42%
04/08/2019, 12.39%, 1.54%, 0.03%
04/09/2019, 11.86%, 1.08%, -0.46%
04/10/2019, 12.32%, 1.49%, 0.4%
04/11/2019, 12.28%, 1.45%, -0.04%
04/12/2019, 12.8%, 1.9%, 0.44%
04/15/2019, 12.74%, 1.85%, -0.05%
04/16/2019, 12.73%, 1.84%, -0.02%
04/17/2019, 12.43%, 1.57%, -0.26%
04/18/2019, 12.59%, 1.73%, 0.15%
04/22/2019, 12.61%, 1.73%, 0%
04/23/2019, 13.48%, 2.5%, 0.75%
04/24/2019, 13.38%, 2.42%, -0.08%
04/25/2019, 13.27%, 2.32%, -0.09%
04/26/2019, 13.79%, 2.79%, 0.45%
04/29/2019, 13.86%, 2.85%, 0.06%
04/30/2019, 13.96%, 2.93%, 0.09%
05/01/2019, 13.27%, -0.58%, -0.58%
05/02/2019, 13.09%, -0.74%, -0.16%
05/03/2019, 14.06%, 0.08%, 0.83%
05/06/2019, 13.74%, -0.18%, -0.26%
05/07/2019, 12.3%, -1.4%, -1.22%
05/08/2019, 12.1%, -1.58%, -0.18%
05/09/2019, 11.93%, -1.71%, -0.14%
05/10/2019, 12.23%, -1.46%, 0.26%
05/13/2019, 10.13%, -3.23%, -1.81%
05/14/2019, 10.87%, -2.61%, 0.65%
05/15/2019, 11.41%, -2.15%, 0.48%
05/16/2019, 12.16%, -1.51%, 0.65%
05/17/2019, 11.58%, -2.01%, -0.5%
05/20/2019, 10.96%, -2.53%, -0.54%
05/21/2019, 11.72%, -1.89%, 0.67%
05/22/2019, 11.48%, -2.09%, -0.21%
05/23/2019, 10.48%, -2.93%, -0.87%
05/24/2019, 10.65%, -2.79%, 0.15%
05/28/2019, 9.99%, -3.33%, -0.57%
05/29/2019, 9.4%, -3.83%, -0.53%
05/30/2019, 9.62%, -3.64%, 0.2%
05/31/2019, 8.68%, -4.43%, -0.84%
06/03/2019, 8.55%, -0.11%, -0.11%
06/04/2019, 10.31%, 1.48%, 1.59%
06/05/2019, 10.95%, 2.06%, 0.57%
06/06/2019, 11.38%, 2.45%, 0.38%
06/07/2019, 12.31%, 3.3%, 0.82%
06/10/2019, 12.66%, 3.61%, 0.3%
06/11/2019, 12.59%, 3.55%, -0.06%
06/12/2019, 12.49%, 3.46%, -0.08%
06/13/2019, 12.95%, 3.88%, 0.4%
06/14/2019, 12.42%, 3.4%, -0.46%
06/17/2019, 12.55%, 3.52%, 0.12%
06/18/2019, 13.47%, 4.35%, 0.8%
06/19/2019, 13.82%, 4.67%, 0.31%
06/20/2019, 14.65%, 5.43%, 0.72%
06/21/2019, 14.39%, 5.18%, -0.23%
06/24/2019, 14.18%, 5%, -0.17%
06/25/2019, 13.38%, 4.28%, -0.68%
06/26/2019, 13.19%, 4.1%, -0.17%
06/27/2019, 13.77%, 4.63%, 0.51%
06/28/2019, 14.38%, 5.18%, 0.52%
07/01/2019, 15.02%, 0.54%, 0.54%
07/02/2019, 15.24%, 0.74%, 0.2%
07/03/2019, 16.02%, 1.41%, 0.66%
07/05/2019, 15.79%, 1.2%, -0.2%
07/08/2019, 15.28%, 0.77%, -0.43%
07/09/2019, 15.43%, 0.89%, 0.12%
07/10/2019, 15.81%, 1.22%, 0.33%
07/11/2019, 15.86%, 1.25%, 0.03%
07/12/2019, 16.35%, 1.66%, 0.41%
07/15/2019, 16.34%, 1.66%, 0%
07/16/2019, 16.04%, 1.41%, -0.25%
07/17/2019, 15.55%, 0.99%, -0.4%
07/18/2019, 15.9%, 1.29%, 0.3%
07/19/2019, 15.35%, 0.83%, -0.45%
07/22/2019, 15.57%, 1.01%, 0.18%
07/23/2019, 16.15%, 1.5%, 0.48%
07/24/2019, 16.74%, 2.01%, 0.5%
07/25/2019, 16.16%, 1.52%, -0.48%
07/26/2019, 16.88%, 2.12%, 0.59%
07/29/2019, 16.66%, 1.94%, -0.18%
07/30/2019, 16.57%, 1.87%, -0.07%
07/31/2019, 15.64%, 1.08%, -0.77%
08/01/2019, 14.97%, -0.55%, -0.55%
08/02/2019, 14.29%, -1.11%, -0.57%
08/05/2019, 11.81%, -3.17%, -2.1%
08/06/2019, 12.95%, -2.22%, 1%
08/07/2019, 13.03%, -2.14%, 0.07%
08/08/2019, 14.71%, -0.74%, 1.46%
08/09/2019, 14.02%, -1.32%, -0.59%
08/12/2019, 13.08%, -2.1%, -0.8%
08/13/2019, 14.25%, -1.12%, 1.01%
08/14/2019, 11.83%, -3.13%, -2.06%
08/15/2019, 12.1%, -2.9%, 0.24%
08/16/2019, 13.39%, -1.82%, 1.13%
08/19/2019, 14.29%, -1.08%, 0.77%
08/20/2019, 13.71%, -1.56%, -0.49%
08/21/2019, 14.38%, -0.99%, 0.58%
08/22/2019, 14.3%, -1.07%, -0.07%
08/23/2019, 12.15%, -2.86%, -1.83%
08/26/2019, 13.02%, -2.13%, 0.76%
08/27/2019, 12.74%, -2.36%, -0.24%
08/28/2019, 13.34%, -1.85%, 0.53%
08/29/2019, 14.43%, -0.94%, 0.94%
08/30/2019, 14.51%, -0.87%, 0.07%
09/03/2019, 13.86%, -0.56%, -0.56%
09/04/2019, 14.83%, 0.27%, 0.83%
09/05/2019, 15.86%, 1.14%, 0.87%
09/06/2019, 15.92%, 1.19%, 0.05%
09/09/2019, 15.83%, 1.11%, -0.08%
09/10/2019, 15.79%, 1.06%, -0.05%
09/11/2019, 16.53%, 1.7%, 0.63%
09/12/2019, 16.72%, 1.85%, 0.15%
09/13/2019, 16.1%, 1.32%, -0.53%
09/16/2019, 16%, 1.24%, -0.07%
09/17/2019, 16.26%, 1.46%, 0.22%
09/18/2019, 16.24%, 1.45%, -0.01%
09/19/2019, 16.24%, 1.45%, 0%
09/20/2019, 15.94%, 1.2%, -0.24%
09/23/2019, 15.95%, 1.21%, 0.01%
09/24/2019, 15.19%, 0.57%, -0.63%
09/25/2019, 15.66%, 0.96%, 0.39%
09/26/2019, 15.42%, 0.76%, -0.2%
09/27/2019, 14.93%, 0.33%, -0.42%
09/30/2019, 15.39%, 0.73%, 0.39%
10/01/2019, 14.29%, -0.92%, -0.92%
10/02/2019, 12.82%, -2.16%, -1.25%
10/03/2019, 13.63%, -1.47%, 0.71%
10/04/2019, 14.83%, -0.45%, 1.03%
10/07/2019, 14.41%, -0.82%, -0.37%
10/08/2019, 13.05%, -1.95%, -1.15%
10/09/2019, 13.77%, -1.36%, 0.62%
10/10/2019, 14.18%, -1.02%, 0.35%
10/11/2019, 15.12%, -0.23%, 0.8%
10/14/2019, 15%, -0.33%, -0.1%
10/15/2019, 15.82%, 0.36%, 0.69%
10/16/2019, 15.65%, 0.22%, -0.14%
10/17/2019, 15.95%, 0.47%, 0.25%
10/18/2019, 15.62%, 0.19%, -0.28%
10/21/2019, 16.18%, 0.66%, 0.47%
10/22/2019, 15.89%, 0.42%, -0.24%
10/23/2019, 16.12%, 0.61%, 0.19%
10/24/2019, 16.34%, 0.8%, 0.18%
10/25/2019, 16.7%, 1.1%, 0.3%
10/28/2019, 17.17%, 1.49%, 0.39%
10/29/2019, 17.17%, 1.49%, 0%
10/30/2019, 17.49%, 1.77%, 0.27%
10/31/2019, 17.26%, 1.58%, -0.18%
11/01/2019, 18.19%, 0.77%, 0.77%
11/04/2019, 18.44%, 0.97%, 0.2%
11/05/2019, 18.25%, 0.8%, -0.17%
11/06/2019, 18.29%, 0.83%, 0.04%
11/07/2019, 18.46%, 0.96%, 0.12%
11/08/2019, 18.71%, 1.17%, 0.2%
11/11/2019, 18.55%, 1.04%, -0.13%
11/12/2019, 18.71%, 1.17%, 0.13%
11/13/2019, 18.81%, 1.26%, 0.08%
11/14/2019, 18.99%, 1.41%, 0.16%
11/15/2019, 19.66%, 1.97%, 0.55%
11/18/2019, 19.75%, 2.05%, 0.07%
11/19/2019, 19.78%, 2.08%, 0.03%
11/20/2019, 19.54%, 1.88%, -0.19%
11/21/2019, 19.32%, 1.7%, -0.18%
11/22/2019, 19.54%, 1.88%, 0.18%
11/25/2019, 20.36%, 2.56%, 0.66%
11/26/2019, 20.64%, 2.8%, 0.23%
11/27/2019, 21.01%, 3.1%, 0.29%
11/29/2019, 20.62%, 2.77%, -0.32%
12/02/2019, 19.7%, -0.74%, -0.74%
12/03/2019, 19.27%, -1.06%, -0.32%
12/04/2019, 19.81%, -0.64%, 0.42%
12/05/2019, 19.89%, -0.58%, 0.06%
12/06/2019, 20.71%, 0.07%, 0.66%
12/09/2019, 20.42%, -0.16%, -0.23%
12/10/2019, 20.33%, -0.24%, -0.08%
12/11/2019, 20.6%, -0.01%, 0.23%
12/12/2019, 21.27%, 0.5%, 0.51%
12/13/2019, 21.38%, 0.61%, 0.1%
12/16/2019, 21.99%, 1.09%, 0.48%
12/17/2019, 22.05%, 1.14%, 0.05%
12/18/2019, 22.01%, 1.09%, -0.05%
12/19/2019, 22.47%, 1.46%, 0.36%
12/20/2019, 22.95%, 1.85%, 0.38%
12/23/2019, 22.48%, 1.47%, -0.37%
12/24/2019, 22.51%, 1.5%, 0.03%
12/26/2019, 23%, 1.89%, 0.38%
12/27/2019, 22.97%, 1.87%, -0.01%
12/30/2019, 22.45%, 1.46%, -0.4%
12/31/2019, 22.69%, 1.64%, 0.18%
