Date, YTD, MTD, Day
01/03/2012, 1.39%, 1.39%, 1.39%
01/04/2012, 1.27%, 1.27%, -0.12%
01/05/2012, 1.18%, 1.18%, -0.09%
01/06/2012, 0.92%, 0.92%, -0.26%
01/09/2012, 1.17%, 1.17%, 0.24%
01/10/2012, 2%, 2%, 0.82%
01/11/2012, 2.07%, 2.07%, 0.06%
01/12/2012, 2.31%, 2.31%, 0.24%
01/13/2012, 1.9%, 1.9%, -0.4%
01/17/2012, 2.39%, 2.39%, 0.48%
01/18/2012, 3.37%, 3.37%, 0.94%
01/19/2012, 3.85%, 3.85%, 0.46%
01/20/2012, 3.91%, 3.91%, 0.05%
01/23/2012, 4.07%, 4.07%, 0.15%
01/24/2012, 3.96%, 3.96%, -0.11%
01/25/2012, 4.78%, 4.78%, 0.78%
01/26/2012, 4.61%, 4.61%, -0.16%
01/27/2012, 4.71%, 4.71%, 0.1%
01/30/2012, 4.33%, 4.33%, -0.35%
01/31/2012, 4.47%, 4.47%, 0.14%
02/01/2012, 5.44%, 0.91%, 0.91%
02/02/2012, 5.65%, 1.11%, 0.2%
02/03/2012, 6.77%, 2.17%, 1.04%
02/06/2012, 6.67%, 2.08%, -0.09%
02/07/2012, 6.81%, 2.2%, 0.12%
02/08/2012, 7.05%, 2.42%, 0.22%
02/09/2012, 7.13%, 2.5%, 0.08%
02/10/2012, 6.31%, 1.73%, -0.74%
02/13/2012, 7.01%, 2.4%, 0.65%
02/14/2012, 6.8%, 2.2%, -0.19%
02/15/2012, 6.59%, 1.99%, -0.2%
02/16/2012, 7.49%, 2.84%, 0.83%
02/17/2012, 7.65%, 2.99%, 0.14%
02/21/2012, 7.64%, 2.98%, -0.01%
02/22/2012, 7.46%, 2.81%, -0.16%
02/23/2012, 7.93%, 3.26%, 0.43%
02/24/2012, 8.18%, 3.49%, 0.23%
02/27/2012, 8.1%, 3.42%, -0.06%
02/28/2012, 8.5%, 3.8%, 0.36%
02/29/2012, 7.99%, 3.32%, -0.46%
03/01/2012, 8.54%, 0.49%, 0.49%
03/02/2012, 8.15%, 0.15%, -0.34%
03/05/2012, 7.71%, -0.25%, -0.4%
03/06/2012, 6.08%, -1.72%, -1.48%
03/07/2012, 6.71%, -1.15%, 0.58%
03/08/2012, 7.78%, -0.19%, 0.98%
03/09/2012, 7.98%, -0.01%, 0.18%
03/12/2012, 7.85%, -0.12%, -0.11%
03/13/2012, 9.2%, 1.09%, 1.21%
03/14/2012, 8.75%, 0.67%, -0.41%
03/15/2012, 9.32%, 1.19%, 0.51%
03/16/2012, 9.51%, 1.36%, 0.17%
03/19/2012, 9.74%, 1.57%, 0.2%
03/20/2012, 9.22%, 1.1%, -0.46%
03/21/2012, 9.11%, 1.01%, -0.09%
03/22/2012, 8.48%, 0.43%, -0.56%
03/23/2012, 8.63%, 0.58%, 0.15%
03/26/2012, 9.78%, 1.61%, 1.02%
03/27/2012, 9.52%, 1.38%, -0.22%
03/28/2012, 9.05%, 0.96%, -0.42%
03/29/2012, 8.85%, 0.78%, -0.18%
03/30/2012, 9.09%, 0.99%, 0.21%
04/02/2012, 9.84%, 0.67%, 0.67%
04/03/2012, 9.25%, 0.13%, -0.53%
04/04/2012, 8.09%, -0.89%, -1.02%
04/05/2012, 8.04%, -0.94%, -0.05%
04/09/2012, 7.36%, -1.52%, -0.59%
04/10/2012, 5.86%, -2.85%, -1.36%
04/11/2012, 6.55%, -2.24%, 0.64%
04/12/2012, 7.78%, -1.15%, 1.13%
04/13/2012, 6.71%, -2.1%, -0.97%
04/16/2012, 6.79%, -2.03%, 0.07%
04/17/2012, 8.01%, -0.94%, 1.12%
04/18/2012, 7.62%, -1.29%, -0.35%
04/19/2012, 7.24%, -1.62%, -0.34%
04/20/2012, 7.49%, -1.4%, 0.23%
04/23/2012, 6.59%, -2.2%, -0.82%
04/24/2012, 6.9%, -1.93%, 0.28%
04/25/2012, 8.02%, -0.93%, 1.02%
04/26/2012, 8.55%, -0.46%, 0.48%
04/27/2012, 8.82%, -0.21%, 0.24%
04/30/2012, 8.48%, -0.51%, -0.3%
05/01/2012, 8.82%, 0.3%, 0.3%
05/02/2012, 8.63%, 0.13%, -0.16%
05/03/2012, 7.95%, -0.48%, -0.61%
05/04/2012, 6.65%, -1.64%, -1.17%
05/07/2012, 6.76%, -1.54%, 0.11%
05/08/2012, 6.19%, -2.06%, -0.53%
05/09/2012, 5.55%, -2.63%, -0.59%
05/10/2012, 5.8%, -2.42%, 0.23%
05/11/2012, 5.53%, -2.65%, -0.24%
05/14/2012, 4.46%, -3.61%, -1%
05/15/2012, 3.85%, -4.16%, -0.58%
05/16/2012, 3.34%, -4.63%, -0.5%
05/17/2012, 2.22%, -5.63%, -1.07%
05/18/2012, 1.57%, -6.22%, -0.63%
05/21/2012, 2.86%, -5.06%, 1.27%
05/22/2012, 2.8%, -5.12%, -0.06%
05/23/2012, 2.71%, -5.2%, -0.09%
05/24/2012, 2.71%, -5.2%, -0.01%
05/25/2012, 2.56%, -5.34%, -0.15%
05/29/2012, 3.51%, -4.48%, 0.93%
05/30/2012, 2.27%, -5.58%, -1.19%
05/31/2012, 2.28%, -5.57%, 0.01%
06/01/2012, 0.46%, -1.77%, -1.77%
06/04/2012, 0.42%, -1.8%, -0.04%
06/05/2012, 0.88%, -1.35%, 0.46%
06/06/2012, 2.64%, 0.36%, 1.74%
06/07/2012, 2.65%, 0.37%, 0.01%
06/08/2012, 3.04%, 0.74%, 0.37%
06/11/2012, 2.06%, -0.21%, -0.94%
06/12/2012, 2.98%, 0.7%, 0.9%
06/13/2012, 2.5%, 0.22%, -0.47%
06/14/2012, 3.19%, 0.9%, 0.67%
06/15/2012, 4.12%, 1.8%, 0.89%
06/18/2012, 4.29%, 1.97%, 0.16%
06/19/2012, 5.22%, 2.88%, 0.89%
06/20/2012, 5.18%, 2.85%, -0.03%
06/21/2012, 3.34%, 1.05%, -1.73%
06/22/2012, 3.51%, 1.22%, 0.16%
06/25/2012, 2.27%, 0.01%, -1.19%
06/26/2012, 2.63%, 0.36%, 0.35%
06/27/2012, 3.36%, 1.07%, 0.72%
06/28/2012, 3.22%, 0.94%, -0.13%
06/29/2012, 5.42%, 3.09%, 2.12%
07/02/2012, 5.81%, 0.37%, 0.37%
07/03/2012, 6.49%, 1.01%, 0.64%
07/05/2012, 6.01%, 0.56%, -0.45%
07/06/2012, 5.22%, -0.19%, -0.74%
07/09/2012, 5.05%, -0.34%, -0.15%
07/10/2012, 4.45%, -0.9%, -0.56%
07/11/2012, 4.47%, -0.88%, 0.02%
07/12/2012, 3.96%, -1.36%, -0.49%
07/13/2012, 5.2%, -0.2%, 1.19%
07/16/2012, 5.07%, -0.32%, -0.13%
07/17/2012, 5.55%, 0.13%, 0.46%
07/18/2012, 6.03%, 0.58%, 0.45%
07/19/2012, 6.39%, 0.92%, 0.34%
07/20/2012, 5.43%, 0.02%, -0.9%
07/23/2012, 4.45%, -0.91%, -0.93%
07/24/2012, 3.69%, -1.62%, -0.72%
07/25/2012, 3.84%, -1.47%, 0.15%
07/26/2012, 5.25%, -0.15%, 1.36%
07/27/2012, 6.7%, 1.21%, 1.37%
07/30/2012, 6.75%, 1.26%, 0.05%
07/31/2012, 6.4%, 0.93%, -0.32%
08/01/2012, 6.06%, -0.32%, -0.32%
08/02/2012, 5.44%, -0.89%, -0.58%
08/03/2012, 7.12%, 0.66%, 1.57%
08/06/2012, 7.44%, 0.97%, 0.3%
08/07/2012, 7.9%, 1.39%, 0.42%
08/08/2012, 7.93%, 1.42%, 0.03%
08/09/2012, 8.06%, 1.54%, 0.12%
08/10/2012, 8.24%, 1.7%, 0.16%
08/13/2012, 8.06%, 1.53%, -0.16%
08/14/2012, 7.98%, 1.46%, -0.07%
08/15/2012, 8.06%, 1.52%, 0.06%
08/16/2012, 8.7%, 2.12%, 0.58%
08/17/2012, 8.9%, 2.3%, 0.18%
08/20/2012, 8.84%, 2.25%, -0.05%
08/21/2012, 8.77%, 2.19%, -0.06%
08/22/2012, 8.89%, 2.3%, 0.11%
08/23/2012, 8.3%, 1.76%, -0.52%
08/24/2012, 8.66%, 2.09%, 0.32%
08/27/2012, 8.59%, 2.03%, -0.06%
08/28/2012, 8.54%, 1.98%, -0.05%
08/29/2012, 8.57%, 2%, 0.02%
08/30/2012, 7.86%, 1.35%, -0.64%
08/31/2012, 8.44%, 1.89%, 0.53%
09/04/2012, 8.35%, -0.09%, -0.09%
09/05/2012, 8.21%, -0.22%, -0.13%
09/06/2012, 9.87%, 1.28%, 1.51%
09/07/2012, 10.48%, 1.84%, 0.55%
09/10/2012, 9.99%, 1.4%, -0.43%
09/11/2012, 10.38%, 1.75%, 0.34%
09/12/2012, 10.64%, 1.99%, 0.23%
09/13/2012, 11.98%, 3.2%, 1.18%
09/14/2012, 12.54%, 3.71%, 0.48%
09/17/2012, 12.19%, 3.39%, -0.3%
09/18/2012, 11.99%, 3.21%, -0.17%
09/19/2012, 12.16%, 3.37%, 0.15%
09/20/2012, 11.94%, 3.17%, -0.19%
09/21/2012, 11.32%, 2.59%, -0.55%
09/24/2012, 11.11%, 2.41%, -0.17%
09/25/2012, 10.29%, 1.68%, -0.71%
09/26/2012, 9.77%, 1.2%, -0.47%
09/27/2012, 10.66%, 2.01%, 0.79%
09/28/2012, 10.11%, 1.5%, -0.49%
10/01/2012, 10.42%, 0.28%, 0.28%
10/02/2012, 10.52%, 0.37%, 0.09%
10/03/2012, 10.65%, 0.49%, 0.12%
10/04/2012, 11.27%, 1.03%, 0.54%
10/05/2012, 11.24%, 1%, -0.03%
10/08/2012, 10.86%, 0.66%, -0.34%
10/09/2012, 9.99%, -0.11%, -0.77%
10/10/2012, 9.55%, -0.49%, -0.38%
10/11/2012, 9.81%, -0.26%, 0.23%
10/12/2012, 9.57%, -0.47%, -0.21%
10/15/2012, 10.23%, 0.11%, 0.58%
10/16/2012, 11.12%, 0.9%, 0.79%
10/17/2012, 11.55%, 1.28%, 0.37%
10/18/2012, 11.31%, 1.06%, -0.21%
10/19/2012, 10.08%, -0.01%, -1.06%
10/22/2012, 10.18%, 0.07%, 0.09%
10/23/2012, 9%, -0.97%, -1.04%
10/24/2012, 8.8%, -1.14%, -0.18%
10/25/2012, 9.07%, -0.91%, 0.24%
10/26/2012, 9.01%, -0.96%, -0.05%
10/29/2012, 9.01%, -0.96%, 0%
10/30/2012, 9.01%, -0.96%, 0%
10/31/2012, 9.17%, -0.81%, 0.15%
11/01/2012, 10.1%, 0.83%, 0.83%
11/02/2012, 9.27%, 0.09%, -0.74%
11/05/2012, 9.45%, 0.25%, 0.17%
11/06/2012, 10.05%, 0.78%, 0.52%
11/07/2012, 8.4%, -0.69%, -1.45%
11/08/2012, 7.54%, -1.45%, -0.77%
11/09/2012, 7.6%, -1.4%, 0.06%
11/12/2012, 7.59%, -1.41%, -0.01%
11/13/2012, 7.28%, -1.69%, -0.29%
11/14/2012, 6.18%, -2.67%, -1.01%
11/15/2012, 6.09%, -2.75%, -0.08%
11/16/2012, 6.41%, -2.47%, 0.3%
11/19/2012, 7.95%, -1.09%, 1.42%
11/20/2012, 7.94%, -1.1%, -0.01%
11/21/2012, 8.17%, -0.9%, 0.21%
11/23/2012, 9.36%, 0.17%, 1.08%
11/26/2012, 9.21%, 0.03%, -0.14%
11/27/2012, 8.84%, -0.3%, -0.33%
11/28/2012, 9.47%, 0.27%, 0.57%
11/29/2012, 10%, 0.75%, 0.48%
11/30/2012, 10.06%, 0.8%, 0.05%
12/03/2012, 9.78%, -0.25%, -0.25%
12/04/2012, 9.82%, -0.21%, 0.04%
12/05/2012, 10.01%, -0.04%, 0.17%
12/06/2012, 10.27%, 0.19%, 0.22%
12/07/2012, 10.43%, 0.33%, 0.14%
12/10/2012, 10.54%, 0.43%, 0.1%
12/11/2012, 11.06%, 0.88%, 0.45%
12/12/2012, 11.12%, 0.94%, 0.06%
12/13/2012, 10.63%, 0.5%, -0.44%
12/14/2012, 10.55%, 0.43%, -0.07%
12/17/2012, 11.27%, 1.06%, 0.63%
12/18/2012, 12.13%, 1.82%, 0.75%
12/19/2012, 11.04%, 0.86%, -0.94%
12/20/2012, 11.55%, 1.31%, 0.45%
12/21/2012, 10.7%, 0.55%, -0.75%
12/24/2012, 10.52%, 0.39%, -0.15%
12/26/2012, 10.27%, 0.17%, -0.22%
12/27/2012, 10.34%, 0.23%, 0.06%
12/28/2012, 9.6%, -0.42%, -0.65%
12/31/2012, 10.81%, 0.65%, 1.07%
