Date, YTD, MTD, Day
01/03/2017, 0.47%, 0.47%, 0.47%
01/04/2017, 1.02%, 1.02%, 0.55%
01/05/2017, 1.31%, 1.31%, 0.29%
01/06/2017, 1.22%, 1.22%, -0.09%
01/09/2017, 1.11%, 1.11%, -0.1%
01/10/2017, 1.17%, 1.17%, 0.05%
01/11/2017, 1.45%, 1.45%, 0.28%
01/12/2017, 1.35%, 1.35%, -0.1%
01/13/2017, 1.47%, 1.47%, 0.11%
01/17/2017, 1.38%, 1.38%, -0.08%
01/18/2017, 1.19%, 1.19%, -0.18%
01/19/2017, 0.92%, 0.92%, -0.27%
01/20/2017, 1.17%, 1.17%, 0.24%
01/23/2017, 1.23%, 1.23%, 0.06%
01/24/2017, 1.56%, 1.56%, 0.32%
01/25/2017, 1.96%, 1.96%, 0.39%
01/26/2017, 1.89%, 1.89%, -0.06%
01/27/2017, 1.84%, 1.84%, -0.04%
01/30/2017, 1.43%, 1.43%, -0.4%
01/31/2017, 1.56%, 1.56%, 0.13%
02/01/2017, 1.55%, -0%, -0%
02/02/2017, 1.6%, 0.04%, 0.04%
02/03/2017, 2.07%, 0.5%, 0.46%
02/06/2017, 1.97%, 0.41%, -0.09%
02/07/2017, 1.97%, 0.4%, -0.01%
02/08/2017, 2.18%, 0.61%, 0.2%
02/09/2017, 2.4%, 0.82%, 0.21%
02/10/2017, 2.64%, 1.06%, 0.23%
02/13/2017, 2.91%, 1.32%, 0.26%
02/14/2017, 3.01%, 1.42%, 0.1%
02/15/2017, 3.24%, 1.65%, 0.22%
02/16/2017, 3.32%, 1.72%, 0.08%
02/17/2017, 3.39%, 1.79%, 0.07%
02/21/2017, 3.74%, 2.13%, 0.33%
02/22/2017, 3.72%, 2.11%, -0.02%
02/23/2017, 3.75%, 2.15%, 0.04%
02/24/2017, 3.83%, 2.23%, 0.08%
02/27/2017, 3.79%, 2.19%, -0.05%
02/28/2017, 3.61%, 2.01%, -0.17%
03/01/2017, 4.18%, 0.53%, 0.53%
03/02/2017, 3.7%, 0.08%, -0.45%
03/03/2017, 3.81%, 0.18%, 0.1%
03/06/2017, 3.56%, -0.06%, -0.24%
03/07/2017, 3.33%, -0.28%, -0.22%
03/08/2017, 3.02%, -0.57%, -0.3%
03/09/2017, 2.92%, -0.68%, -0.11%
03/10/2017, 3.24%, -0.38%, 0.3%
03/13/2017, 3.32%, -0.3%, 0.08%
03/14/2017, 3.1%, -0.51%, -0.21%
03/15/2017, 3.98%, 0.33%, 0.84%
03/16/2017, 4.01%, 0.36%, 0.02%
03/17/2017, 4.09%, 0.44%, 0.08%
03/20/2017, 4.08%, 0.44%, -0%
03/21/2017, 3.43%, -0.18%, -0.61%
03/22/2017, 3.53%, -0.08%, 0.1%
03/23/2017, 3.26%, -0.34%, -0.26%
03/24/2017, 3.31%, -0.29%, 0.05%
03/27/2017, 3.41%, -0.19%, 0.09%
03/28/2017, 3.7%, 0.08%, 0.27%
03/29/2017, 3.86%, 0.24%, 0.16%
03/30/2017, 3.86%, 0.23%, 0%
03/31/2017, 3.81%, 0.18%, -0.05%
04/03/2017, 3.79%, -0.01%, -0.01%
04/04/2017, 3.79%, -0.01%, -0%
04/05/2017, 3.61%, -0.18%, -0.17%
04/06/2017, 3.72%, -0.08%, 0.1%
04/07/2017, 3.55%, -0.24%, -0.16%
04/10/2017, 3.63%, -0.16%, 0.07%
04/11/2017, 3.82%, 0.03%, 0.19%
04/12/2017, 3.7%, -0.09%, -0.11%
04/13/2017, 3.37%, -0.4%, -0.31%
04/17/2017, 3.85%, 0.06%, 0.46%
04/18/2017, 3.79%, 0.01%, -0.05%
04/19/2017, 3.59%, -0.19%, -0.19%
04/20/2017, 4.01%, 0.21%, 0.4%
04/21/2017, 3.86%, 0.07%, -0.14%
04/24/2017, 4.65%, 0.81%, 0.74%
04/25/2017, 4.99%, 1.11%, 0.3%
04/26/2017, 4.99%, 1.12%, 0.01%
04/27/2017, 5.04%, 1.17%, 0.05%
04/28/2017, 4.93%, 1.06%, -0.1%
05/01/2017, 4.99%, 0.05%, 0.05%
05/02/2017, 5.18%, 0.23%, 0.18%
05/03/2017, 4.98%, 0.04%, -0.19%
05/04/2017, 5.03%, 0.08%, 0.04%
05/05/2017, 5.4%, 0.43%, 0.35%
05/08/2017, 5.23%, 0.27%, -0.16%
05/09/2017, 5.18%, 0.22%, -0.05%
05/10/2017, 5.29%, 0.31%, 0.09%
05/11/2017, 5.19%, 0.23%, -0.09%
05/12/2017, 5.33%, 0.36%, 0.14%
05/15/2017, 5.65%, 0.66%, 0.29%
05/16/2017, 5.78%, 0.78%, 0.12%
05/17/2017, 4.94%, 0.01%, -0.76%
05/18/2017, 4.99%, 0.06%, 0.05%
05/19/2017, 5.53%, 0.55%, 0.49%
05/22/2017, 5.8%, 0.8%, 0.25%
05/23/2017, 5.79%, 0.79%, -0.01%
05/24/2017, 6.02%, 1.01%, 0.22%
05/25/2017, 6.24%, 1.21%, 0.2%
05/26/2017, 6.21%, 1.19%, -0.03%
05/30/2017, 6.17%, 1.16%, -0.03%
05/31/2017, 6.16%, 1.15%, -0.01%
06/01/2017, 6.71%, 0.5%, 0.5%
06/02/2017, 7.16%, 0.92%, 0.42%
06/05/2017, 6.99%, 0.76%, -0.16%
06/06/2017, 6.89%, 0.68%, -0.08%
06/07/2017, 6.87%, 0.65%, -0.02%
06/08/2017, 6.89%, 0.67%, 0.01%
06/09/2017, 6.77%, 0.56%, -0.11%
06/12/2017, 6.65%, 0.45%, -0.1%
06/13/2017, 7.04%, 0.8%, 0.35%
06/14/2017, 7.1%, 0.87%, 0.07%
06/15/2017, 6.76%, 0.57%, -0.3%
06/16/2017, 6.87%, 0.66%, 0.1%
06/19/2017, 7.32%, 1.07%, 0.4%
06/20/2017, 6.45%, 0.29%, -0.77%
06/21/2017, 6.41%, 0.25%, -0.04%
06/22/2017, 6.44%, 0.27%, 0.03%
06/23/2017, 6.64%, 0.46%, 0.19%
06/26/2017, 6.73%, 0.54%, 0.08%
06/27/2017, 6.23%, 0.07%, -0.47%
06/28/2017, 6.8%, 0.59%, 0.53%
06/29/2017, 6.16%, -0%, -0.59%
06/30/2017, 6.19%, 0.02%, 0.03%
07/03/2017, 6.26%, 0.06%, 0.06%
07/05/2017, 6.27%, 0.07%, 0.01%
07/06/2017, 5.7%, -0.46%, -0.53%
07/07/2017, 5.98%, -0.2%, 0.26%
07/10/2017, 6.04%, -0.15%, 0.05%
07/11/2017, 6.13%, -0.06%, 0.08%
07/12/2017, 6.77%, 0.53%, 0.6%
07/13/2017, 6.88%, 0.62%, 0.08%
07/14/2017, 7.29%, 0.99%, 0.37%
07/17/2017, 7.31%, 1.02%, 0.03%
07/18/2017, 7.47%, 1.17%, 0.15%
07/19/2017, 7.85%, 1.52%, 0.35%
07/20/2017, 7.9%, 1.56%, 0.04%
07/21/2017, 7.88%, 1.56%, -0%
07/24/2017, 7.8%, 1.48%, -0.08%
07/25/2017, 7.83%, 1.49%, 0.01%
07/26/2017, 7.98%, 1.64%, 0.14%
07/27/2017, 7.85%, 1.51%, -0.12%
07/28/2017, 7.81%, 1.48%, -0.03%
07/31/2017, 7.81%, 1.48%, -0%
08/01/2017, 8.13%, 0.29%, 0.29%
08/02/2017, 8.07%, 0.24%, -0.06%
08/03/2017, 8.03%, 0.21%, -0.03%
08/04/2017, 8.08%, 0.24%, 0.03%
08/07/2017, 8.19%, 0.34%, 0.1%
08/08/2017, 7.97%, 0.15%, -0.2%
08/09/2017, 7.87%, 0.06%, -0.09%
08/10/2017, 6.94%, -0.77%, -0.83%
08/11/2017, 7.02%, -0.69%, 0.07%
08/14/2017, 7.56%, -0.21%, 0.49%
08/15/2017, 7.43%, -0.33%, -0.12%
08/16/2017, 7.7%, -0.09%, 0.24%
08/17/2017, 6.87%, -0.83%, -0.74%
08/18/2017, 6.83%, -0.87%, -0.04%
08/21/2017, 6.9%, -0.81%, 0.06%
08/22/2017, 7.42%, -0.34%, 0.48%
08/23/2017, 7.36%, -0.39%, -0.05%
08/24/2017, 7.27%, -0.47%, -0.09%
08/25/2017, 7.52%, -0.25%, 0.22%
08/28/2017, 7.56%, -0.21%, 0.04%
08/29/2017, 7.6%, -0.18%, 0.04%
08/30/2017, 7.8%, 0.01%, 0.18%
08/31/2017, 8.28%, 0.44%, 0.44%
09/01/2017, 8.37%, 0.07%, 0.07%
09/05/2017, 8.07%, -0.18%, -0.25%
09/06/2017, 8.21%, -0.07%, 0.11%
09/07/2017, 8.48%, 0.18%, 0.25%
09/08/2017, 8.4%, 0.11%, -0.07%
09/11/2017, 8.89%, 0.53%, 0.43%
09/12/2017, 9.06%, 0.67%, 0.14%
09/13/2017, 8.95%, 0.58%, -0.09%
09/14/2017, 9%, 0.62%, 0.04%
09/15/2017, 9.13%, 0.74%, 0.12%
09/18/2017, 9.24%, 0.84%, 0.09%
09/19/2017, 9.2%, 0.8%, -0.04%
09/20/2017, 9.18%, 0.78%, -0.02%
09/21/2017, 8.8%, 0.44%, -0.33%
09/22/2017, 8.93%, 0.56%, 0.12%
09/25/2017, 8.77%, 0.43%, -0.13%
09/26/2017, 8.68%, 0.34%, -0.09%
09/27/2017, 8.81%, 0.45%, 0.11%
09/28/2017, 8.92%, 0.55%, 0.1%
09/29/2017, 9.18%, 0.78%, 0.22%
10/02/2017, 9.42%, 0.21%, 0.21%
10/03/2017, 9.66%, 0.42%, 0.21%
10/04/2017, 9.72%, 0.48%, 0.05%
10/05/2017, 9.92%, 0.65%, 0.18%
10/06/2017, 9.82%, 0.56%, -0.09%
10/09/2017, 9.75%, 0.51%, -0.05%
10/10/2017, 10.03%, 0.74%, 0.23%
10/11/2017, 10.2%, 0.89%, 0.14%
10/12/2017, 10.18%, 0.88%, -0.01%
10/13/2017, 10.37%, 1.05%, 0.17%
10/16/2017, 10.41%, 1.08%, 0.03%
10/17/2017, 10.38%, 1.05%, -0.03%
10/18/2017, 10.39%, 1.05%, 0%
10/19/2017, 10.39%, 1.06%, 0.01%
10/20/2017, 10.5%, 1.15%, 0.08%
10/23/2017, 10.25%, 0.94%, -0.21%
10/24/2017, 10.29%, 0.96%, 0.03%
10/25/2017, 9.94%, 0.65%, -0.31%
10/26/2017, 9.92%, 0.63%, -0.03%
10/27/2017, 10.46%, 1.11%, 0.48%
10/30/2017, 10.41%, 1.08%, -0.03%
10/31/2017, 10.58%, 1.22%, 0.15%
11/01/2017, 10.68%, 0.08%, 0.08%
11/02/2017, 10.79%, 0.18%, 0.1%
11/03/2017, 10.93%, 0.31%, 0.13%
11/06/2017, 11.11%, 0.46%, 0.15%
11/07/2017, 10.97%, 0.34%, -0.12%
11/08/2017, 11.08%, 0.43%, 0.09%
11/09/2017, 10.75%, 0.14%, -0.28%
11/10/2017, 10.51%, -0.08%, -0.22%
11/13/2017, 10.46%, -0.12%, -0.04%
11/14/2017, 10.36%, -0.19%, -0.08%
11/15/2017, 10.05%, -0.46%, -0.26%
11/16/2017, 10.62%, 0.03%, 0.49%
11/17/2017, 10.61%, 0.02%, -0.01%
11/20/2017, 10.7%, 0.09%, 0.07%
11/21/2017, 11.26%, 0.58%, 0.49%
11/22/2017, 11.37%, 0.67%, 0.1%
