Date, YTD, MTD, Day
01/03/2017, 0.23%, 0.23%, 0.23%
01/04/2017, 0.56%, 0.56%, 0.32%
01/05/2017, 0.94%, 0.94%, 0.38%
01/06/2017, 0.7%, 0.7%, -0.23%
01/09/2017, 0.79%, 0.79%, 0.09%
01/10/2017, 0.77%, 0.77%, -0.02%
01/11/2017, 0.96%, 0.96%, 0.19%
01/12/2017, 0.91%, 0.91%, -0.05%
01/13/2017, 0.87%, 0.87%, -0.04%
01/17/2017, 1.02%, 1.02%, 0.15%
01/18/2017, 0.64%, 0.64%, -0.37%
01/19/2017, 0.42%, 0.42%, -0.23%
01/20/2017, 0.58%, 0.58%, 0.17%
01/23/2017, 0.76%, 0.76%, 0.17%
01/24/2017, 0.78%, 0.78%, 0.02%
01/25/2017, 0.84%, 0.84%, 0.05%
01/26/2017, 0.85%, 0.85%, 0.02%
01/27/2017, 0.88%, 0.88%, 0.03%
01/30/2017, 0.67%, 0.67%, -0.2%
01/31/2017, 0.82%, 0.82%, 0.16%
02/01/2017, 0.73%, -0.1%, -0.1%
02/02/2017, 0.75%, -0.07%, 0.02%
02/03/2017, 1.03%, 0.2%, 0.28%
02/06/2017, 1.13%, 0.3%, 0.1%
02/07/2017, 1.17%, 0.34%, 0.04%
02/08/2017, 1.42%, 0.59%, 0.24%
02/09/2017, 1.34%, 0.51%, -0.08%
02/10/2017, 1.46%, 0.62%, 0.11%
02/13/2017, 1.55%, 0.71%, 0.08%
02/14/2017, 1.51%, 0.67%, -0.05%
02/15/2017, 1.53%, 0.68%, 0.01%
02/16/2017, 1.71%, 0.86%, 0.18%
02/17/2017, 1.79%, 0.94%, 0.08%
02/21/2017, 1.96%, 1.11%, 0.17%
02/22/2017, 2%, 1.15%, 0.04%
02/23/2017, 2.06%, 1.22%, 0.07%
02/24/2017, 2.29%, 1.44%, 0.23%
02/27/2017, 2.13%, 1.28%, -0.16%
02/28/2017, 2.09%, 1.24%, -0.04%
03/01/2017, 2.09%, -0.01%, -0.01%
