Date, YTD, MTD, Day
01/02/2014, -0.93%, -0.93%, -0.93%
01/03/2014, -0.93%, -0.93%, -0%
01/06/2014, -1.09%, -1.09%, -0.16%
01/07/2014, -0.64%, -0.64%, 0.46%
01/08/2014, -0.69%, -0.69%, -0.05%
01/09/2014, -0.69%, -0.69%, -0%
01/10/2014, -0.2%, -0.2%, 0.5%
01/13/2014, -0.96%, -0.96%, -0.76%
01/14/2014, -0.25%, -0.25%, 0.72%
01/15/2014, 0.12%, 0.12%, 0.37%
01/16/2014, 0.06%, 0.06%, -0.06%
01/17/2014, -0.21%, -0.21%, -0.27%
01/21/2014, 0.06%, 0.06%, 0.27%
01/22/2014, 0.14%, 0.14%, 0.09%
01/23/2014, -0.5%, -0.5%, -0.65%
01/24/2014, -2.37%, -2.37%, -1.88%
01/27/2014, -2.97%, -2.97%, -0.62%
01/28/2014, -2.35%, -2.35%, 0.64%
01/29/2014, -3.08%, -3.08%, -0.75%
01/30/2014, -2.39%, -2.39%, 0.71%
01/31/2014, -3%, -3%, -0.63%
02/03/2014, -4.69%, -1.76%, -1.76%
02/04/2014, -4.2%, -1.25%, 0.52%
02/05/2014, -4.29%, -1.34%, -0.09%
02/06/2014, -3.18%, -0.19%, 1.17%
02/07/2014, -2.14%, 0.9%, 1.09%
02/10/2014, -2.12%, 0.91%, 0.02%
02/11/2014, -1.19%, 1.88%, 0.96%
02/12/2014, -1.05%, 2.03%, 0.14%
02/13/2014, -0.6%, 2.49%, 0.46%
02/14/2014, -0.2%, 2.91%, 0.4%
02/18/2014, 0.15%, 3.27%, 0.35%
02/19/2014, -0.37%, 2.73%, -0.52%
02/20/2014, 0.06%, 3.18%, 0.43%
02/21/2014, 0.07%, 3.19%, 0.01%
02/24/2014, 0.61%, 3.76%, 0.55%
02/25/2014, 0.53%, 3.67%, -0.08%
02/26/2014, 0.49%, 3.62%, -0.04%
02/27/2014, 0.91%, 4.06%, 0.42%
02/28/2014, 1.14%, 4.3%, 0.23%
03/03/2014, 0.15%, -0.98%, -0.98%
03/04/2014, 1.48%, 0.34%, 1.33%
03/05/2014, 1.47%, 0.33%, -0.01%
03/06/2014, 1.84%, 0.69%, 0.36%
03/07/2014, 1.61%, 0.47%, -0.22%
03/10/2014, 1.36%, 0.22%, -0.25%
03/11/2014, 0.91%, -0.23%, -0.45%
03/12/2014, 0.85%, -0.29%, -0.06%
03/13/2014, -0.16%, -1.29%, -1%
03/14/2014, -0.36%, -1.48%, -0.2%
03/17/2014, 0.43%, -0.71%, 0.79%
03/18/2014, 1.1%, -0.05%, 0.67%
03/19/2014, 0.3%, -0.84%, -0.79%
03/20/2014, 0.47%, -0.67%, 0.17%
03/21/2014, 0.31%, -0.83%, -0.16%
03/24/2014, -0.38%, -1.51%, -0.68%
03/25/2014, 0.1%, -1.03%, 0.49%
03/26/2014, -0.28%, -1.41%, -0.38%
03/27/2014, -0.16%, -1.29%, 0.13%
03/28/2014, 0.3%, -0.84%, 0.46%
03/31/2014, 1.02%, -0.12%, 0.72%
