Date, YTD, MTD, Day
01/02/2015, 0.19%, 0.19%, 0.19%
01/05/2015, 0.04%, 0.04%, -0.16%
01/06/2015, 0.14%, 0.14%, 0.1%
01/07/2015, 0.35%, 0.35%, 0.21%
01/08/2015, 0.46%, 0.46%, 0.12%
01/09/2015, 0.54%, 0.54%, 0.08%
01/12/2015, 0.57%, 0.57%, 0.03%
01/13/2015, 0.58%, 0.58%, 0.01%
01/14/2015, 0.64%, 0.64%, 0.05%
01/15/2015, 0.93%, 0.93%, 0.28%
01/16/2015, 0.79%, 0.79%, -0.13%
01/20/2015, 0.96%, 0.96%, 0.17%
01/21/2015, 0.86%, 0.86%, -0.1%
01/22/2015, 1.01%, 1.01%, 0.16%
01/23/2015, 1.23%, 1.23%, 0.21%
01/26/2015, 1.27%, 1.27%, 0.04%
01/27/2015, 1.13%, 1.13%, -0.14%
01/28/2015, 1.25%, 1.25%, 0.12%
01/29/2015, 1.27%, 1.27%, 0.02%
01/30/2015, 1.38%, 1.38%, 0.1%
02/02/2015, 1.53%, 0.16%, 0.16%
02/03/2015, 1.46%, 0.1%, -0.06%
02/04/2015, 1.44%, 0.08%, -0.02%
02/05/2015, 1.51%, 0.15%, 0.07%
02/06/2015, 0.86%, -0.48%, -0.63%
02/09/2015, 0.78%, -0.57%, -0.09%
02/10/2015, 0.79%, -0.55%, 0.01%
02/11/2015, 0.75%, -0.59%, -0.04%
02/12/2015, 0.99%, -0.34%, 0.24%
02/13/2015, 0.97%, -0.36%, -0.03%
02/17/2015, 0.71%, -0.61%, -0.25%
02/18/2015, 0.97%, -0.36%, 0.26%
02/19/2015, 0.82%, -0.51%, -0.15%
02/20/2015, 0.95%, -0.37%, 0.13%
02/23/2015, 1.14%, -0.19%, 0.19%
02/24/2015, 1.51%, 0.18%, 0.37%
02/25/2015, 1.6%, 0.27%, 0.09%
02/26/2015, 1.27%, -0.06%, -0.33%
02/27/2015, 1.46%, 0.12%, 0.18%
03/02/2015, 1.17%, -0.29%, -0.29%
03/03/2015, 1%, -0.46%, -0.17%
03/04/2015, 0.91%, -0.54%, -0.08%
03/05/2015, 0.93%, -0.51%, 0.03%
03/06/2015, 0.22%, -1.21%, -0.7%
03/09/2015, 0.4%, -1.03%, 0.18%
03/10/2015, 0.26%, -1.17%, -0.13%
03/11/2015, 0.34%, -1.08%, 0.08%
03/12/2015, 0.6%, -0.84%, 0.25%
03/13/2015, 0.38%, -1.05%, -0.21%
03/16/2015, 0.77%, -0.67%, 0.39%
03/17/2015, 0.74%, -0.7%, -0.04%
03/18/2015, 1.58%, 0.12%, 0.83%
03/19/2015, 1.28%, -0.17%, -0.29%
03/20/2015, 1.69%, 0.23%, 0.4%
03/23/2015, 1.78%, 0.32%, 0.09%
03/24/2015, 1.78%, 0.32%, 0%
03/25/2015, 1.32%, -0.13%, -0.45%
03/26/2015, 0.93%, -0.51%, -0.38%
03/27/2015, 1.19%, -0.25%, 0.26%
03/30/2015, 1.38%, -0.07%, 0.18%
03/31/2015, 1.27%, -0.18%, -0.1%
04/01/2015, 1.57%, 0.3%, 0.3%
04/02/2015, 1.55%, 0.27%, -0.02%
04/06/2015, 1.72%, 0.44%, 0.16%
04/07/2015, 1.76%, 0.48%, 0.04%
04/08/2015, 1.86%, 0.58%, 0.1%
04/09/2015, 1.64%, 0.35%, -0.22%
04/10/2015, 1.79%, 0.5%, 0.15%
04/13/2015, 1.79%, 0.51%, 0%
04/14/2015, 2%, 0.72%, 0.21%
04/15/2015, 2.12%, 0.83%, 0.11%
04/16/2015, 2.14%, 0.85%, 0.02%
04/17/2015, 1.96%, 0.68%, -0.17%
04/20/2015, 1.93%, 0.64%, -0.04%
04/21/2015, 1.89%, 0.61%, -0.04%
04/22/2015, 1.69%, 0.4%, -0.21%
04/23/2015, 1.91%, 0.63%, 0.22%
04/24/2015, 2.12%, 0.83%, 0.2%
04/27/2015, 2.03%, 0.73%, -0.09%
04/28/2015, 1.85%, 0.56%, -0.17%
04/29/2015, 1.51%, 0.23%, -0.33%
04/30/2015, 1.3%, 0.02%, -0.2%
05/01/2015, 1.16%, -0.14%, -0.14%
05/04/2015, 1.06%, -0.25%, -0.11%
05/05/2015, 0.74%, -0.56%, -0.31%
05/06/2015, 0.49%, -0.81%, -0.25%
05/07/2015, 0.65%, -0.64%, 0.16%
05/08/2015, 1.1%, -0.2%, 0.44%
05/11/2015, 0.56%, -0.74%, -0.53%
05/12/2015, 0.52%, -0.78%, -0.05%
05/13/2015, 0.5%, -0.8%, -0.02%
05/14/2015, 0.85%, -0.46%, 0.34%
05/15/2015, 1.26%, -0.06%, 0.41%
05/18/2015, 0.98%, -0.33%, -0.28%
05/19/2015, 0.65%, -0.65%, -0.33%
05/20/2015, 0.73%, -0.58%, 0.07%
05/21/2015, 1.07%, -0.24%, 0.35%
05/22/2015, 0.86%, -0.45%, -0.21%
05/26/2015, 0.89%, -0.41%, 0.05%
05/27/2015, 1.06%, -0.24%, 0.17%
05/28/2015, 1.02%, -0.28%, -0.04%
05/29/2015, 0.87%, -0.42%, -0.14%
06/01/2015, 0.66%, -0.21%, -0.21%
06/02/2015, 0.39%, -0.48%, -0.27%
06/03/2015, 0.1%, -0.78%, -0.3%
06/04/2015, 0.11%, -0.75%, 0.03%
06/05/2015, -0.34%, -1.2%, -0.45%
06/08/2015, -0.36%, -1.22%, -0.02%
06/09/2015, -0.55%, -1.41%, -0.19%
06/10/2015, -0.48%, -1.35%, 0.06%
06/11/2015, -0.07%, -0.95%, 0.41%
