Date, YTD, MTD, Day
01/02/2019, 0.06%, 0.06%, 0.06%
01/03/2019, 0.09%, 0.09%, 0.03%
01/04/2019, 0.43%, 0.43%, 0.35%
01/07/2019, 0.42%, 0.42%, -0.01%
01/08/2019, 0.51%, 0.51%, 0.08%
01/09/2019, 0.76%, 0.76%, 0.25%
01/10/2019, 0.77%, 0.77%, 0.01%
01/11/2019, 0.82%, 0.82%, 0.05%
01/14/2019, 0.71%, 0.71%, -0.11%
01/15/2019, 0.82%, 0.82%, 0.1%
01/16/2019, 0.88%, 0.88%, 0.06%
01/17/2019, 1%, 1%, 0.12%
01/18/2019, 1.09%, 1.09%, 0.07%
01/22/2019, 0.96%, 0.96%, -0.12%
01/23/2019, 1.08%, 1.08%, 0.12%
01/24/2019, 1.29%, 1.29%, 0.2%
01/25/2019, 1.43%, 1.43%, 0.13%
01/28/2019, 1.28%, 1.28%, -0.13%
01/29/2019, 1.45%, 1.45%, 0.16%
01/30/2019, 1.81%, 1.81%, 0.35%
01/31/2019, 2.26%, 2.26%, 0.44%
02/01/2019, 2.03%, -0.23%, -0.23%
02/04/2019, 2.07%, -0.2%, 0.03%
02/05/2019, 2.35%, 0.08%, 0.27%
02/06/2019, 2.28%, 0.01%, -0.07%
02/07/2019, 2.21%, -0.04%, -0.05%
02/08/2019, 2.26%, 0.01%, 0.05%
02/11/2019, 2.19%, -0.06%, -0.07%
02/12/2019, 2.38%, 0.11%, 0.17%
02/13/2019, 2.26%, -0.01%, -0.12%
02/14/2019, 2.39%, 0.12%, 0.13%
02/15/2019, 2.69%, 0.4%, 0.28%
02/19/2019, 2.83%, 0.54%, 0.13%
02/20/2019, 2.83%, 0.53%, -0.01%
02/21/2019, 2.61%, 0.31%, -0.22%
02/22/2019, 2.91%, 0.6%, 0.28%
02/25/2019, 2.88%, 0.57%, -0.03%
02/26/2019, 3.04%, 0.73%, 0.16%
02/27/2019, 2.78%, 0.48%, -0.25%
02/28/2019, 2.63%, 0.33%, -0.15%
03/01/2019, 2.52%, -0.12%, -0.12%
03/04/2019, 2.6%, -0.03%, 0.09%
03/05/2019, 2.67%, 0.04%, 0.07%
03/06/2019, 2.61%, -0.01%, -0.05%
03/07/2019, 2.64%, 0.04%, 0.04%
03/08/2019, 2.58%, -0.02%, -0.06%
03/11/2019, 2.86%, 0.24%, 0.26%
03/12/2019, 3.08%, 0.45%, 0.21%
03/13/2019, 3.22%, 0.57%, 0.13%
03/14/2019, 3.03%, 0.39%, -0.18%
03/15/2019, 3.33%, 0.67%, 0.28%
03/18/2019, 3.44%, 0.78%, 0.1%
03/19/2019, 3.44%, 0.77%, -0%
03/20/2019, 3.7%, 1.04%, 0.26%
03/21/2019, 3.86%, 1.18%, 0.14%
03/22/2019, 3.69%, 1.07%, -0.1%
03/25/2019, 3.83%, 1.2%, 0.13%
03/26/2019, 3.98%, 1.34%, 0.14%
03/27/2019, 4.05%, 1.42%, 0.07%
03/28/2019, 4.11%, 1.47%, 0.05%
03/29/2019, 4.16%, 1.51%, 0.05%
04/01/2019, 4.12%, -0.06%, -0.06%
04/02/2019, 4.2%, 0.01%, 0.08%
04/03/2019, 4.15%, -0.04%, -0.06%
04/04/2019, 4.18%, -0.02%, 0.02%
04/05/2019, 4.35%, 0.14%, 0.16%
04/08/2019, 4.3%, 0.09%, -0.05%
04/09/2019, 4.25%, 0.05%, -0.04%
04/10/2019, 4.5%, 0.28%, 0.24%
04/11/2019, 4.31%, 0.11%, -0.18%
04/12/2019, 4.3%, 0.08%, -0.03%
04/15/2019, 4.37%, 0.15%, 0.07%
04/16/2019, 4.24%, 0.02%, -0.13%
04/17/2019, 4.21%, -0.01%, -0.03%
04/18/2019, 4.37%, 0.15%, 0.16%
04/22/2019, 4.22%, -0%, -0.15%
04/23/2019, 4.45%, 0.21%, 0.21%
04/24/2019, 4.5%, 0.27%, 0.06%
04/25/2019, 4.46%, 0.24%, -0.03%
04/26/2019, 4.73%, 0.49%, 0.25%
04/29/2019, 4.62%, 0.38%, -0.11%
04/30/2019, 4.79%, 0.55%, 0.17%
05/01/2019, 4.64%, -0.14%, -0.14%
05/02/2019, 4.45%, -0.31%, -0.18%
05/03/2019, 4.75%, -0.04%, 0.27%
05/06/2019, 4.68%, -0.1%, -0.06%
05/07/2019, 4.46%, -0.27%, -0.16%
05/08/2019, 4.28%, -0.45%, -0.18%
05/09/2019, 4.31%, -0.4%, 0.05%
05/10/2019, 4.33%, -0.39%, 0.01%
05/13/2019, 4.03%, -0.62%, -0.24%
05/14/2019, 4.15%, -0.53%, 0.1%
05/15/2019, 4.41%, -0.29%, 0.25%
05/16/2019, 4.5%, -0.23%, 0.07%
05/17/2019, 4.33%, -0.37%, -0.15%
05/20/2019, 4.13%, -0.55%, -0.19%
05/21/2019, 4.23%, -0.47%, 0.09%
05/22/2019, 4.31%, -0.39%, 0.08%
05/23/2019, 4.35%, -0.32%, 0.06%
05/24/2019, 4.37%, -0.3%, 0.02%
05/28/2019, 4.38%, -0.28%, 0.02%
05/29/2019, 4.23%, -0.4%, -0.13%
05/30/2019, 4.51%, -0.14%, 0.27%
05/31/2019, 4.69%, 0.06%, 0.19%
06/03/2019, 4.95%, 0.25%, 0.25%
06/04/2019, 5.09%, 0.37%, 0.11%
06/05/2019, 5.18%, 0.45%, 0.08%
06/06/2019, 5.2%, 0.46%, 0.01%
06/07/2019, 5.65%, 0.89%, 0.42%
06/10/2019, 5.53%, 0.76%, -0.13%
06/11/2019, 5.57%, 0.8%, 0.04%
06/12/2019, 5.64%, 0.87%, 0.07%
06/13/2019, 5.79%, 1.02%, 0.14%
06/14/2019, 5.64%, 0.88%, -0.13%
06/17/2019, 5.65%, 0.88%, 0%
06/18/2019, 6.06%, 1.27%, 0.38%
06/19/2019, 6.4%, 1.6%, 0.32%
06/20/2019, 6.68%, 1.86%, 0.25%
06/21/2019, 6.4%, 1.59%, -0.27%
06/24/2019, 6.59%, 1.77%, 0.18%
06/25/2019, 6.47%, 1.67%, -0.09%
06/26/2019, 6.24%, 1.45%, -0.22%
06/27/2019, 6.59%, 1.78%, 0.33%
06/28/2019, 6.72%, 1.9%, 0.11%
07/01/2019, 6.87%, 0.13%, 0.13%
07/02/2019, 7.08%, 0.33%, 0.2%
07/03/2019, 7.39%, 0.6%, 0.27%
07/05/2019, 6.94%, 0.18%, -0.42%
07/08/2019, 6.72%, -0.02%, -0.2%
07/09/2019, 6.64%, -0.1%, -0.08%
07/10/2019, 6.81%, 0.06%, 0.15%
07/11/2019, 6.53%, -0.21%, -0.27%
07/12/2019, 6.69%, -0.06%, 0.15%
07/15/2019, 6.78%, 0.02%, 0.08%
07/16/2019, 6.63%, -0.12%, -0.14%
07/17/2019, 6.75%, 0.01%, 0.13%
07/18/2019, 6.9%, 0.15%, 0.14%
07/19/2019, 6.8%, 0.05%, -0.09%
07/22/2019, 6.84%, 0.09%, 0.04%
07/23/2019, 6.89%, 0.13%, 0.04%
07/24/2019, 7.07%, 0.29%, 0.16%
07/25/2019, 6.84%, 0.08%, -0.21%
07/26/2019, 6.96%, 0.19%, 0.1%
07/29/2019, 6.92%, 0.15%, -0.04%
07/30/2019, 6.92%, 0.15%, 0%
07/31/2019, 6.75%, 0.02%, -0.13%
08/01/2019, 7.19%, 0.44%, 0.44%
08/02/2019, 7.07%, 0.33%, -0.11%
08/05/2019, 6.88%, 0.22%, -0.13%
08/06/2019, 7.19%, 0.49%, 0.28%
08/07/2019, 7.23%, 0.53%, 0.04%
08/08/2019, 7.61%, 0.85%, 0.33%
08/09/2019, 7.28%, 0.55%, -0.3%
08/12/2019, 7.43%, 0.72%, 0.15%
08/13/2019, 7.52%, 0.77%, 0.07%
08/14/2019, 7.31%, 0.63%, -0.16%
08/15/2019, 7.66%, 0.96%, 0.33%
08/16/2019, 7.88%, 1.15%, 0.2%
08/19/2019, 7.79%, 1.03%, -0.1%
08/20/2019, 7.89%, 1.15%, 0.11%
08/21/2019, 7.92%, 1.16%, 0.02%
08/22/2019, 7.79%, 1.04%, -0.12%
08/23/2019, 7.72%, 1.02%, -0.04%
08/26/2019, 7.75%, 1.03%, 0.02%
08/27/2019, 8.01%, 1.28%, 0.25%
08/28/2019, 8.19%, 1.44%, 0.16%
08/29/2019, 8.27%, 1.5%, 0.07%
08/30/2019, 8.4%, 1.62%, 0.12%
09/03/2019, 8.34%, -0.05%, -0.05%
09/04/2019, 8.69%, 0.26%, 0.31%
09/05/2019, 8.49%, 0.06%, -0.2%
09/06/2019, 8.59%, 0.16%, 0.1%
09/09/2019, 8.24%, -0.18%, -0.34%
09/10/2019, 7.8%, -0.58%, -0.41%
09/11/2019, 7.99%, -0.42%, 0.16%
09/12/2019, 7.91%, -0.49%, -0.08%
09/13/2019, 7.34%, -1.02%, -0.53%
09/16/2019, 7.49%, -0.87%, 0.15%
09/17/2019, 7.71%, -0.68%, 0.2%
09/18/2019, 7.75%, -0.63%, 0.04%
09/19/2019, 7.84%, -0.55%, 0.09%
09/20/2019, 8.08%, -0.32%, 0.24%
09/23/2019, 8.08%, -0.32%, -0%
09/24/2019, 8.15%, -0.25%, 0.08%
09/25/2019, 7.84%, -0.55%, -0.3%
09/26/2019, 7.96%, -0.43%, 0.12%
09/27/2019, 7.92%, -0.46%, -0.03%
09/30/2019, 8.07%, -0.32%, 0.14%
10/01/2019, 7.98%, -0.07%, -0.07%
10/02/2019, 7.69%, -0.32%, -0.25%
10/03/2019, 8.15%, 0.1%, 0.42%
10/04/2019, 8.48%, 0.4%, 0.3%
10/07/2019, 8.17%, 0.11%, -0.29%
10/08/2019, 8.03%, -0%, -0.12%
10/09/2019, 7.98%, -0.06%, -0.05%
10/10/2019, 7.81%, -0.23%, -0.16%
10/11/2019, 7.81%, -0.25%, -0.02%
10/14/2019, 7.84%, -0.21%, 0.04%
10/15/2019, 7.91%, -0.16%, 0.05%
10/16/2019, 7.97%, -0.1%, 0.06%
10/17/2019, 7.98%, -0.1%, -0%
10/18/2019, 7.98%, -0.09%, 0.01%
10/21/2019, 7.98%, -0.11%, -0.01%
10/22/2019, 8%, -0.08%, 0.03%
10/23/2019, 8.06%, -0.03%, 0.05%
10/24/2019, 8.12%, 0.02%, 0.05%
10/25/2019, 8.11%, 0.01%, -0.01%
10/28/2019, 8.07%, -0.04%, -0.05%
10/29/2019, 8.07%, -0.04%, -0%
10/30/2019, 8.45%, 0.31%, 0.35%
10/31/2019, 8.67%, 0.53%, 0.22%
11/01/2019, 8.83%, 0.13%, 0.13%
11/04/2019, 8.71%, 0%, -0.13%
11/05/2019, 8.39%, -0.29%, -0.3%
11/06/2019, 8.54%, -0.15%, 0.14%
11/07/2019, 8.25%, -0.44%, -0.29%
11/08/2019, 8.18%, -0.5%, -0.07%
11/11/2019, 8.13%, -0.54%, -0.04%
11/12/2019, 8.23%, -0.45%, 0.09%
11/13/2019, 8.35%, -0.34%, 0.12%
11/14/2019, 8.58%, -0.13%, 0.21%
11/15/2019, 8.68%, -0.05%, 0.08%
11/18/2019, 8.84%, 0.11%, 0.15%
11/19/2019, 8.93%, 0.18%, 0.08%
11/20/2019, 8.98%, 0.25%, 0.06%
11/21/2019, 8.85%, 0.13%, -0.12%
11/22/2019, 8.9%, 0.17%, 0.04%
11/25/2019, 9.1%, 0.34%, 0.17%
11/26/2019, 9.28%, 0.51%, 0.17%
11/27/2019, 9.23%, 0.44%, -0.07%
11/29/2019, 9.09%, 0.33%, -0.11%
12/02/2019, 8.69%, -0.36%, -0.36%
12/03/2019, 9.02%, -0.03%, 0.33%
12/04/2019, 9.03%, -0.04%, -0.01%
12/05/2019, 8.91%, -0.16%, -0.12%
12/06/2019, 9.04%, -0.06%, 0.1%
12/09/2019, 8.97%, -0.12%, -0.06%
12/10/2019, 8.95%, -0.13%, -0.01%
12/11/2019, 9.2%, 0.1%, 0.23%
12/12/2019, 9.01%, -0.11%, -0.21%
12/13/2019, 9.44%, 0.3%, 0.41%
12/16/2019, 9.41%, 0.24%, -0.06%
12/17/2019, 9.43%, 0.26%, 0.01%
12/18/2019, 9.27%, 0.11%, -0.15%
12/19/2019, 9.42%, 0.24%, 0.14%
12/20/2019, 9.4%, 0.22%, -0.02%
12/23/2019, 9.26%, 0.1%, -0.12%
12/24/2019, 9.34%, 0.17%, 0.07%
12/26/2019, 9.53%, 0.33%, 0.16%
12/27/2019, 9.63%, 0.43%, 0.1%
12/30/2019, 9.5%, 0.33%, -0.1%
12/31/2019, 9.41%, 0.23%, -0.09%
