Date, YTD, MTD, Day
01/02/2013, 2.18%, 2.18%, 2.18%
01/03/2013, 1.9%, 1.9%, -0.28%
01/04/2013, 2.4%, 2.4%, 0.49%
01/07/2013, 2.13%, 2.13%, -0.27%
01/08/2013, 1.83%, 1.83%, -0.29%
01/09/2013, 2.15%, 2.15%, 0.31%
01/10/2013, 2.86%, 2.86%, 0.7%
01/11/2013, 2.85%, 2.85%, -0.01%
01/14/2013, 2.83%, 2.83%, -0.02%
01/15/2013, 2.93%, 2.93%, 0.1%
01/16/2013, 2.85%, 2.85%, -0.08%
01/17/2013, 3.44%, 3.44%, 0.57%
01/18/2013, 3.68%, 3.68%, 0.23%
01/22/2013, 4.06%, 4.06%, 0.36%
01/23/2013, 4.1%, 4.1%, 0.04%
01/24/2013, 4.19%, 4.19%, 0.08%
01/25/2013, 4.7%, 4.7%, 0.49%
01/28/2013, 4.47%, 4.47%, -0.23%
01/29/2013, 4.94%, 4.94%, 0.45%
01/30/2013, 4.57%, 4.57%, -0.35%
01/31/2013, 4.47%, 4.47%, -0.09%
02/01/2013, 5.34%, 0.82%, 0.82%
02/04/2013, 4.22%, -0.24%, -1.05%
02/05/2013, 5.07%, 0.56%, 0.8%
02/06/2013, 5.15%, 0.64%, 0.08%
02/07/2013, 4.91%, 0.41%, -0.23%
02/08/2013, 5.46%, 0.94%, 0.53%
02/11/2013, 5.37%, 0.85%, -0.09%
02/12/2013, 5.59%, 1.05%, 0.21%
02/13/2013, 5.72%, 1.18%, 0.12%
02/14/2013, 5.74%, 1.2%, 0.02%
02/15/2013, 5.62%, 1.09%, -0.11%
02/19/2013, 6.37%, 1.8%, 0.7%
02/20/2013, 5.12%, 0.61%, -1.17%
02/21/2013, 4.38%, -0.09%, -0.7%
02/22/2013, 5.3%, 0.78%, 0.87%
02/25/2013, 3.64%, -0.79%, -1.56%
02/26/2013, 4.16%, -0.3%, 0.5%
02/27/2013, 5.31%, 0.79%, 1.09%
02/28/2013, 5.25%, 0.74%, -0.05%
03/01/2013, 5.43%, 0.17%, 0.17%
03/04/2013, 5.75%, 0.47%, 0.3%
03/05/2013, 6.7%, 1.36%, 0.89%
03/06/2013, 6.83%, 1.48%, 0.12%
03/07/2013, 7.04%, 1.68%, 0.19%
03/08/2013, 7.48%, 2.09%, 0.4%
03/11/2013, 7.77%, 2.36%, 0.27%
03/12/2013, 7.51%, 2.12%, -0.23%
03/13/2013, 7.58%, 2.18%, 0.06%
03/14/2013, 8.22%, 2.79%, 0.59%
03/15/2013, 8.11%, 2.69%, -0.1%
03/18/2013, 7.51%, 2.11%, -0.56%
03/19/2013, 7.24%, 1.86%, -0.24%
03/20/2013, 7.89%, 2.47%, 0.6%
03/21/2013, 6.72%, 1.37%, -1.07%
03/22/2013, 7.31%, 1.92%, 0.55%
03/25/2013, 6.94%, 1.58%, -0.34%
03/26/2013, 7.66%, 2.26%, 0.67%
03/27/2013, 7.62%, 2.22%, -0.04%
03/28/2013, 7.98%, 2.55%, 0.33%
04/01/2013, 7.41%, -0.53%, -0.53%
04/02/2013, 7.78%, -0.19%, 0.34%
04/03/2013, 6.75%, -1.12%, -0.93%
04/04/2013, 7.2%, -0.71%, 0.42%
04/05/2013, 6.83%, -1.05%, -0.35%
04/08/2013, 7.43%, -0.51%, 0.55%
04/09/2013, 7.75%, -0.21%, 0.3%
04/10/2013, 8.98%, 0.91%, 1.13%
04/11/2013, 9.35%, 1.26%, 0.35%
04/12/2013, 9.08%, 1.01%, -0.25%
04/15/2013, 6.64%, -1.22%, -2.21%
04/16/2013, 8.07%, 0.09%, 1.33%
04/17/2013, 6.56%, -1.3%, -1.4%
04/18/2013, 6.01%, -1.8%, -0.5%
04/19/2013, 6.92%, -0.96%, 0.85%
04/22/2013, 7.34%, -0.58%, 0.39%
04/23/2013, 8.37%, 0.36%, 0.95%
04/24/2013, 8.6%, 0.58%, 0.21%
04/25/2013, 9.09%, 1.03%, 0.45%
04/26/2013, 8.89%, 0.85%, -0.18%
