Date, YTD, MTD, Day
01/03/2012, 0.5%, 0.5%, 0.5%
01/04/2012, 0.41%, 0.41%, -0.09%
01/05/2012, 0.38%, 0.38%, -0.03%
01/06/2012, 0.38%, 0.38%, 0%
01/09/2012, 0.54%, 0.54%, 0.16%
01/10/2012, 0.86%, 0.86%, 0.32%
01/11/2012, 1.05%, 1.05%, 0.19%
01/12/2012, 1.16%, 1.16%, 0.1%
01/13/2012, 1.08%, 1.08%, -0.08%
01/17/2012, 1.32%, 1.32%, 0.24%
01/18/2012, 1.61%, 1.61%, 0.28%
01/19/2012, 1.72%, 1.72%, 0.1%
01/20/2012, 1.65%, 1.65%, -0.08%
01/23/2012, 1.65%, 1.65%, -0%
01/24/2012, 1.61%, 1.61%, -0.03%
01/25/2012, 2.09%, 2.09%, 0.46%
01/26/2012, 2.17%, 2.17%, 0.09%
01/27/2012, 2.26%, 2.26%, 0.08%
01/30/2012, 2.2%, 2.2%, -0.04%
01/31/2012, 2.35%, 2.35%, 0.14%
02/01/2012, 2.73%, 0.36%, 0.36%
02/02/2012, 2.87%, 0.49%, 0.14%
02/03/2012, 3.21%, 0.8%, 0.3%
02/06/2012, 3.27%, 0.87%, 0.07%
02/07/2012, 3.18%, 0.77%, -0.1%
02/08/2012, 3.28%, 0.87%, 0.1%
02/09/2012, 3.27%, 0.86%, -0.01%
02/10/2012, 3.02%, 0.63%, -0.22%
02/13/2012, 3.34%, 0.93%, 0.29%
02/14/2012, 3.31%, 0.91%, -0.02%
02/15/2012, 3.18%, 0.78%, -0.12%
02/16/2012, 3.51%, 1.09%, 0.29%
02/17/2012, 3.53%, 1.11%, 0.01%
02/21/2012, 3.42%, 0.99%, -0.11%
02/22/2012, 3.47%, 1.05%, 0.06%
02/23/2012, 3.69%, 1.26%, 0.2%
02/24/2012, 3.84%, 1.4%, 0.14%
02/27/2012, 3.93%, 1.49%, 0.09%
02/28/2012, 4.09%, 1.64%, 0.14%
02/29/2012, 3.81%, 1.37%, -0.26%
03/01/2012, 3.96%, 0.13%, 0.13%
03/02/2012, 3.94%, 0.12%, -0%
03/05/2012, 3.65%, -0.15%, -0.27%
03/06/2012, 3.03%, -0.69%, -0.55%
03/07/2012, 3.23%, -0.53%, 0.17%
03/08/2012, 3.59%, -0.21%, 0.33%
