Date, YTD, MTD, Day
01/02/2013, 0.38%, 0.38%, 0.38%
01/03/2013, 0.14%, 0.14%, -0.24%
01/04/2013, 0.28%, 0.28%, 0.14%
01/07/2013, 0.26%, 0.26%, -0.01%
01/08/2013, 0.23%, 0.23%, -0.03%
01/09/2013, 0.26%, 0.26%, 0.03%
01/10/2013, 0.42%, 0.42%, 0.16%
01/11/2013, 0.54%, 0.54%, 0.12%
01/14/2013, 0.55%, 0.55%, 0.01%
01/15/2013, 0.56%, 0.56%, 0.01%
01/16/2013, 0.58%, 0.58%, 0.02%
01/17/2013, 0.56%, 0.56%, -0.03%
01/18/2013, 0.67%, 0.67%, 0.11%
01/22/2013, 0.82%, 0.82%, 0.14%
01/23/2013, 0.81%, 0.81%, -0%
01/24/2013, 0.78%, 0.78%, -0.04%
01/25/2013, 0.66%, 0.66%, -0.13%
01/28/2013, 0.51%, 0.51%, -0.15%
01/29/2013, 0.6%, 0.6%, 0.08%
01/30/2013, 0.51%, 0.51%, -0.08%
01/31/2013, 0.48%, 0.48%, -0.02%
02/01/2013, 0.64%, 0.15%, 0.15%
02/04/2013, 0.45%, -0.03%, -0.18%
02/05/2013, 0.59%, 0.1%, 0.13%
02/06/2013, 0.66%, 0.17%, 0.07%
02/07/2013, 0.57%, 0.08%, -0.09%
02/08/2013, 0.72%, 0.23%, 0.14%
02/11/2013, 0.69%, 0.19%, -0.03%
02/12/2013, 0.7%, 0.2%, 0.01%
02/13/2013, 0.61%, 0.11%, -0.09%
02/14/2013, 0.72%, 0.22%, 0.11%
02/15/2013, 0.68%, 0.19%, -0.04%
02/19/2013, 0.83%, 0.33%, 0.14%
02/20/2013, 0.5%, 0.01%, -0.31%
02/21/2013, 0.34%, -0.15%, -0.16%
02/22/2013, 0.6%, 0.11%, 0.25%
02/25/2013, 0.48%, 0.01%, -0.09%
02/26/2013, 0.55%, 0.07%, 0.06%
02/27/2013, 0.79%, 0.3%, 0.23%
02/28/2013, 0.83%, 0.34%, 0.05%
03/01/2013, 0.94%, 0.1%, 0.1%
03/04/2013, 0.93%, 0.09%, -0.01%
03/05/2013, 1.19%, 0.34%, 0.25%
03/06/2013, 1.1%, 0.25%, -0.1%
03/07/2013, 0.96%, 0.1%, -0.14%
03/08/2013, 0.87%, 0.01%, -0.1%
03/11/2013, 1.02%, 0.15%, 0.14%
03/12/2013, 1%, 0.14%, -0.01%
03/13/2013, 0.99%, 0.12%, -0.02%
03/14/2013, 1.17%, 0.3%, 0.18%
03/15/2013, 1.22%, 0.35%, 0.05%
03/18/2013, 1.16%, 0.3%, -0.05%
03/19/2013, 1.14%, 0.29%, -0.01%
03/20/2013, 1.18%, 0.31%, 0.03%
03/21/2013, 0.94%, 0.09%, -0.22%
03/22/2013, 1.1%, 0.24%, 0.14%
03/25/2013, 0.98%, 0.12%, -0.11%
03/26/2013, 1.17%, 0.3%, 0.18%
03/27/2013, 1.27%, 0.41%, 0.11%
03/28/2013, 1.24%, 0.37%, -0.04%
04/01/2013, 1.13%, -0.1%, -0.1%
04/02/2013, 1.18%, -0.05%, 0.04%
04/03/2013, 1.05%, -0.17%, -0.11%
04/04/2013, 1.37%, 0.15%, 0.31%
04/05/2013, 1.44%, 0.23%, 0.08%
04/08/2013, 1.46%, 0.24%, 0.01%
04/09/2013, 1.56%, 0.33%, 0.1%
04/10/2013, 1.71%, 0.45%, 0.12%
04/11/2013, 1.88%, 0.62%, 0.17%
04/12/2013, 1.99%, 0.74%, 0.12%
04/15/2013, 1.41%, 0.2%, -0.54%
04/16/2013, 1.74%, 0.5%, 0.31%
04/17/2013, 1.29%, 0.09%, -0.41%
04/18/2013, 1.24%, 0.04%, -0.05%
04/19/2013, 1.42%, 0.21%, 0.17%
04/22/2013, 1.6%, 0.37%, 0.17%
04/23/2013, 1.8%, 0.56%, 0.19%
04/24/2013, 1.91%, 0.66%, 0.1%
04/25/2013, 2.06%, 0.8%, 0.14%
04/26/2013, 2.13%, 0.88%, 0.08%
04/29/2013, 2.36%, 1.1%, 0.21%
04/30/2013, 2.43%, 1.15%, 0.05%
05/01/2013, 2.38%, -0.02%, -0.02%
05/02/2013, 2.51%, 0.08%, 0.1%
05/03/2013, 2.45%, 0%, -0.08%
05/06/2013, 2.48%, 0.03%, 0.02%
05/07/2013, 2.56%, 0.09%, 0.06%
05/08/2013, 2.74%, 0.26%, 0.17%
05/09/2013, 2.5%, 0.04%, -0.22%
05/10/2013, 2.41%, -0.07%, -0.11%
05/13/2013, 2.31%, -0.17%, -0.1%
05/14/2013, 2.39%, -0.11%, 0.05%
05/15/2013, 2.56%, 0.05%, 0.16%
05/16/2013, 2.54%, 0.05%, 0%
05/17/2013, 2.58%, 0.06%, 0%
05/20/2013, 2.56%, 0.04%, -0.02%
05/21/2013, 2.75%, 0.22%, 0.18%
05/22/2013, 2.21%, -0.29%, -0.5%
05/23/2013, 2.02%, -0.47%, -0.18%
05/24/2013, 1.93%, -0.55%, -0.08%
05/28/2013, 1.6%, -0.89%, -0.35%
05/29/2013, 1.54%, -0.94%, -0.04%
05/30/2013, 1.58%, -0.91%, 0.03%
05/31/2013, 1.09%, -1.37%, -0.45%
06/03/2013, 1.22%, 0.12%, 0.12%
06/04/2013, 1%, -0.09%, -0.21%
06/05/2013, 0.71%, -0.34%, -0.24%
06/06/2013, 0.91%, -0.16%, 0.18%
06/07/2013, 0.91%, -0.2%, -0.04%
06/10/2013, 0.78%, -0.33%, -0.13%
06/11/2013, 0.54%, -0.54%, -0.21%
06/12/2013, 0.15%, -0.92%, -0.38%
06/13/2013, 0.81%, -0.29%, 0.63%
06/14/2013, 0.7%, -0.38%, -0.09%
06/17/2013, 0.88%, -0.23%, 0.16%
06/18/2013, 0.98%, -0.14%, 0.09%
06/19/2013, 0.15%, -0.95%, -0.81%
06/20/2013, -1.02%, -2.06%, -1.12%
06/21/2013, -1.65%, -2.69%, -0.65%
06/24/2013, -2.23%, -3.24%, -0.57%
06/25/2013, -2.05%, -3.09%, 0.17%
06/26/2013, -1.62%, -2.67%, 0.43%
06/27/2013, -1.09%, -2.16%, 0.53%
06/28/2013, -1.08%, -2.14%, 0.02%
07/01/2013, -0.81%, 0.26%, 0.26%
07/02/2013, -0.87%, 0.2%, -0.06%
07/03/2013, -0.97%, 0.1%, -0.1%
07/05/2013, -1.5%, -0.48%, -0.59%
07/08/2013, -1.11%, -0.09%, 0.39%
07/09/2013, -0.85%, 0.15%, 0.24%
07/10/2013, -0.94%, 0.06%, -0.1%
07/11/2013, -0.1%, 0.89%, 0.82%
07/12/2013, -0.09%, 0.9%, 0.01%
07/15/2013, 0.14%, 1.13%, 0.23%
07/16/2013, 0.14%, 1.14%, 0.01%
07/17/2013, 0.37%, 1.37%, 0.23%
07/18/2013, 0.38%, 1.36%, -0.01%
07/19/2013, 0.6%, 1.59%, 0.22%
07/22/2013, 0.75%, 1.74%, 0.14%
07/23/2013, 0.71%, 1.69%, -0.04%
07/24/2013, 0.39%, 1.38%, -0.31%
07/25/2013, 0.5%, 1.48%, 0.09%
07/26/2013, 0.5%, 1.48%, 0.01%
07/29/2013, 0.27%, 1.26%, -0.21%
07/30/2013, 0.23%, 1.2%, -0.05%
07/31/2013, 0.3%, 1.28%, 0.07%
08/01/2013, 0.29%, -0.06%, -0.06%
08/02/2013, 0.73%, 0.38%, 0.44%
08/05/2013, 0.58%, 0.23%, -0.15%
08/06/2013, 0.42%, 0.09%, -0.14%
08/07/2013, 0.36%, 0.05%, -0.04%
08/08/2013, 0.6%, 0.28%, 0.23%
08/09/2013, 0.57%, 0.26%, -0.02%
08/12/2013, 0.5%, 0.18%, -0.08%
08/13/2013, 0.25%, -0.09%, -0.27%
08/14/2013, 0.16%, -0.16%, -0.08%
08/15/2013, -0.36%, -0.64%, -0.48%
08/16/2013, -0.62%, -0.9%, -0.26%
08/19/2013, -1.01%, -1.29%, -0.39%
08/20/2013, -0.75%, -1.03%, 0.27%
08/21/2013, -1.24%, -1.52%, -0.49%
08/22/2013, -0.99%, -1.29%, 0.23%
08/23/2013, -0.57%, -0.87%, 0.42%
08/26/2013, -0.55%, -0.84%, 0.04%
08/27/2013, -0.8%, -1.03%, -0.2%
08/28/2013, -0.98%, -1.22%, -0.19%
08/29/2013, -0.77%, -1.02%, 0.21%
08/30/2013, -0.98%, -1.22%, -0.21%
09/03/2013, -1.03%, -0.07%, -0.07%
09/04/2013, -0.94%, -0.01%, 0.05%
09/05/2013, -1.24%, -0.33%, -0.32%
09/06/2013, -0.96%, -0.04%, 0.29%
09/09/2013, -0.48%, 0.41%, 0.45%
09/10/2013, -0.43%, 0.44%, 0.01%
09/11/2013, -0.13%, 0.74%, 0.3%
09/12/2013, -0.26%, 0.62%, -0.12%
09/13/2013, -0.11%, 0.76%, 0.14%
09/16/2013, 0.14%, 1%, 0.23%
09/17/2013, 0.32%, 1.18%, 0.17%
09/18/2013, 1.26%, 2.1%, 0.9%
09/19/2013, 1.12%, 1.97%, -0.13%
09/20/2013, 0.78%, 1.66%, -0.3%
09/23/2013, 0.83%, 1.72%, 0.07%
