Date, YTD, MTD, Day
01/04/2021, -1.3%, -1.3%, -1.3%
01/05/2021, -0.41%, -0.41%, 0.9%
01/06/2021, 0.37%, 0.37%, 0.79%
01/07/2021, 1.92%, 1.92%, 1.54%
01/08/2021, 2.47%, 2.47%, 0.54%
01/11/2021, 1.86%, 1.86%, -0.59%
01/12/2021, 2.21%, 2.21%, 0.34%
01/13/2021, 2.3%, 2.3%, 0.09%
01/14/2021, 2.26%, 2.26%, -0.04%
01/15/2021, 1.4%, 1.4%, -0.84%
01/19/2021, 2.3%, 2.3%, 0.89%
01/20/2021, 3.57%, 3.57%, 1.25%
01/21/2021, 3.49%, 3.49%, -0.08%
01/22/2021, 3.29%, 3.29%, -0.19%
01/25/2021, 3.54%, 3.54%, 0.24%
01/26/2021, 3.22%, 3.22%, -0.31%
01/27/2021, 0.6%, 0.6%, -2.54%
01/28/2021, 1.58%, 1.58%, 0.97%
01/29/2021, -0.31%, -0.31%, -1.85%
02/01/2021, 1.42%, 1.73%, 1.73%
02/02/2021, 2.85%, 3.16%, 1.41%
02/03/2021, 3.02%, 3.33%, 0.17%
02/04/2021, 4.13%, 4.45%, 1.09%
02/05/2021, 4.73%, 5.06%, 0.58%
02/08/2021, 5.69%, 6.02%, 0.91%
02/09/2021, 5.76%, 6.09%, 0.07%
02/10/2021, 5.72%, 6.05%, -0.04%
02/11/2021, 6.01%, 6.34%, 0.27%
02/12/2021, 6.52%, 6.85%, 0.48%
02/16/2021, 6.46%, 6.79%, -0.06%
02/17/2021, 6.25%, 6.58%, -0.19%
02/18/2021, 5.62%, 5.94%, -0.6%
02/19/2021, 5.81%, 6.14%, 0.18%
02/22/2021, 4.83%, 5.15%, -0.93%
02/23/2021, 4.83%, 5.15%, -0%
02/24/2021, 5.93%, 6.25%, 1.05%
02/25/2021, 3.25%, 3.57%, -2.53%
02/26/2021, 2.78%, 3.1%, -0.45%
03/01/2021, 5.3%, 2.45%, 2.45%
03/02/2021, 4.36%, 1.54%, -0.89%
03/03/2021, 2.98%, 0.19%, -1.33%
03/04/2021, 1.33%, -1.41%, -1.6%
