Date, YTD, MTD, Day
01/04/2016, -1.58%, -1.58%, -1.58%
01/05/2016, -1.43%, -1.43%, 0.15%
01/06/2016, -2.77%, -2.77%, -1.36%
01/07/2016, -5.08%, -5.08%, -2.38%
01/08/2016, -6.15%, -6.15%, -1.13%
01/11/2016, -6.22%, -6.22%, -0.07%
01/12/2016, -5.6%, -5.6%, 0.66%
01/13/2016, -7.91%, -7.91%, -2.45%
01/14/2016, -6.53%, -6.53%, 1.5%
01/15/2016, -8.58%, -8.58%, -2.2%
01/19/2016, -8.65%, -8.65%, -0.07%
01/20/2016, -9.68%, -9.68%, -1.13%
01/21/2016, -9.3%, -9.3%, 0.42%
01/22/2016, -7.3%, -7.3%, 2.2%
01/25/2016, -8.79%, -8.79%, -1.6%
01/26/2016, -7.42%, -7.42%, 1.51%
01/27/2016, -8.37%, -8.37%, -1.03%
01/28/2016, -8%, -8%, 0.41%
01/29/2016, -5.65%, -5.65%, 2.55%
02/01/2016, -5.7%, -0.06%, -0.06%
02/02/2016, -7.54%, -2%, -1.95%
02/03/2016, -7.07%, -1.51%, 0.5%
02/04/2016, -6.79%, -1.2%, 0.31%
02/05/2016, -8.61%, -3.13%, -1.95%
02/08/2016, -10.05%, -4.67%, -1.58%
02/09/2016, -10.27%, -4.89%, -0.24%
02/10/2016, -10.22%, -4.85%, 0.05%
02/11/2016, -11.37%, -6.06%, -1.28%
02/12/2016, -9.68%, -4.27%, 1.91%
02/16/2016, -8.03%, -2.52%, 1.82%
02/17/2016, -6.45%, -0.85%, 1.71%
02/18/2016, -6.86%, -1.28%, -0.43%
02/19/2016, -6.83%, -1.25%, 0.03%
02/22/2016, -5.51%, 0.15%, 1.41%
02/23/2016, -6.66%, -1.07%, -1.22%
02/24/2016, -6.28%, -0.66%, 0.41%
02/25/2016, -5.22%, 0.45%, 1.13%
02/26/2016, -5.26%, 0.41%, -0.04%
02/29/2016, -5.9%, -0.26%, -0.67%
03/01/2016, -3.69%, 2.35%, 2.35%
03/02/2016, -3.15%, 2.92%, 0.56%
03/03/2016, -2.62%, 3.49%, 0.55%
03/04/2016, -2.2%, 3.93%, 0.43%
03/07/2016, -2%, 4.14%, 0.2%
03/08/2016, -3.27%, 2.8%, -1.29%
03/09/2016, -2.77%, 3.33%, 0.52%
03/10/2016, -2.84%, 3.25%, -0.08%
03/11/2016, -1.08%, 5.12%, 1.81%
03/14/2016, -1.67%, 4.49%, -0.6%
03/15/2016, -2.12%, 4.02%, -0.45%
03/16/2016, -1.46%, 4.72%, 0.67%
03/17/2016, -0.67%, 5.56%, 0.81%
03/18/2016, -0.21%, 6.04%, 0.45%
03/21/2016, -0.16%, 6.1%, 0.05%
03/22/2016, -0.21%, 6.05%, -0.05%
03/23/2016, -1.06%, 5.15%, -0.85%
03/24/2016, -1.11%, 5.09%, -0.05%
03/28/2016, -1.01%, 5.2%, 0.1%
03/29/2016, 0.07%, 6.35%, 1.09%
03/30/2016, 0.51%, 6.82%, 0.44%
03/31/2016, 0.38%, 6.67%, -0.14%
04/01/2016, 0.81%, 0.43%, 0.43%
04/04/2016, 0.45%, 0.07%, -0.36%
04/05/2016, -0.65%, -1.02%, -1.1%
04/06/2016, 0.47%, 0.09%, 1.12%
04/07/2016, -0.74%, -1.11%, -1.2%
04/08/2016, -0.29%, -0.66%, 0.46%
04/11/2016, -0.52%, -0.9%, -0.24%
04/12/2016, 0.48%, 0.11%, 1.01%
04/13/2016, 1.69%, 1.31%, 1.2%
04/14/2016, 1.69%, 1.31%, -0%
04/15/2016, 1.64%, 1.26%, -0.05%
04/18/2016, 2.28%, 1.9%, 0.63%
04/19/2016, 2.73%, 2.34%, 0.43%
04/20/2016, 2.78%, 2.4%, 0.06%
04/21/2016, 2.26%, 1.88%, -0.51%
04/22/2016, 2.41%, 2.02%, 0.14%
04/25/2016, 2.13%, 1.75%, -0.27%
04/26/2016, 2.43%, 2.05%, 0.3%
04/27/2016, 2.64%, 2.26%, 0.21%
04/28/2016, 1.71%, 1.33%, -0.91%
04/29/2016, 1.18%, 0.81%, -0.52%
05/02/2016, 1.95%, 0.76%, 0.76%
05/03/2016, 0.86%, -0.32%, -1.07%
05/04/2016, 0.21%, -0.97%, -0.65%
05/05/2016, 0.13%, -1.04%, -0.08%
05/06/2016, 0.45%, -0.72%, 0.33%
05/09/2016, 0.51%, -0.67%, 0.05%
05/10/2016, 1.76%, 0.57%, 1.24%
05/11/2016, 0.84%, -0.34%, -0.91%
05/12/2016, 0.75%, -0.43%, -0.09%
05/13/2016, -0.07%, -1.24%, -0.82%
05/16/2016, 0.92%, -0.26%, 0.99%
05/17/2016, 0.03%, -1.14%, -0.87%
05/18/2016, 0.04%, -1.13%, 0.01%
05/19/2016, -0.4%, -1.57%, -0.44%
05/20/2016, 0.36%, -0.81%, 0.76%
05/23/2016, 0.17%, -1.01%, -0.19%
05/24/2016, 1.56%, 0.38%, 1.39%
05/25/2016, 2.29%, 1.09%, 0.72%
05/26/2016, 2.3%, 1.1%, 0.01%
05/27/2016, 2.74%, 1.54%, 0.43%
05/31/2016, 2.69%, 1.49%, -0.04%
06/01/2016, 2.89%, 0.19%, 0.19%
06/02/2016, 3.25%, 0.54%, 0.34%
06/03/2016, 3.01%, 0.31%, -0.22%
06/06/2016, 3.62%, 0.9%, 0.58%
06/07/2016, 3.87%, 1.15%, 0.25%
06/08/2016, 4.27%, 1.53%, 0.38%
06/09/2016, 3.94%, 1.22%, -0.31%
06/10/2016, 2.72%, 0.02%, -1.18%
06/13/2016, 1.29%, -1.37%, -1.39%
06/14/2016, 0.99%, -1.67%, -0.3%
06/15/2016, 0.96%, -1.69%, -0.02%
06/16/2016, 1.17%, -1.49%, 0.21%
06/17/2016, 0.98%, -1.67%, -0.18%
06/20/2016, 1.82%, -0.85%, 0.84%
06/21/2016, 2.07%, -0.61%, 0.24%
06/22/2016, 1.91%, -0.76%, -0.16%
06/23/2016, 3.44%, 0.73%, 1.5%
06/24/2016, -0.69%, -3.3%, -3.99%
06/27/2016, -2.72%, -5.28%, -2.05%
06/28/2016, -0.87%, -3.48%, 1.9%
06/29/2016, 0.9%, -1.75%, 1.79%
06/30/2016, 2.3%, -0.39%, 1.39%
07/01/2016, 2.56%, 0.26%, 0.26%
07/05/2016, 1.66%, -0.63%, -0.88%
07/06/2016, 2.15%, -0.15%, 0.48%
07/07/2016, 2.12%, -0.18%, -0.03%
07/08/2016, 3.73%, 1.39%, 1.57%
07/11/2016, 4.25%, 1.9%, 0.51%
07/12/2016, 5.09%, 2.72%, 0.8%
07/13/2016, 5.07%, 2.71%, -0.01%
07/14/2016, 5.58%, 3.21%, 0.49%
07/15/2016, 5.5%, 3.12%, -0.08%
07/18/2016, 5.75%, 3.37%, 0.24%
07/19/2016, 5.51%, 3.14%, -0.23%
07/20/2016, 6.06%, 3.67%, 0.52%
07/21/2016, 5.69%, 3.31%, -0.35%
07/22/2016, 6.17%, 3.78%, 0.45%
07/25/2016, 5.87%, 3.49%, -0.28%
07/26/2016, 6.01%, 3.63%, 0.14%
07/27/2016, 5.93%, 3.55%, -0.08%
07/28/2016, 6.11%, 3.72%, 0.17%
07/29/2016, 6.39%, 4%, 0.27%
08/01/2016, 6.22%, -0.16%, -0.16%
08/02/2016, 5.46%, -0.87%, -0.71%
08/03/2016, 5.81%, -0.54%, 0.33%
08/04/2016, 5.92%, -0.44%, 0.1%
08/05/2016, 6.82%, 0.4%, 0.85%
08/08/2016, 6.78%, 0.37%, -0.03%
08/09/2016, 6.93%, 0.52%, 0.15%
08/10/2016, 6.66%, 0.26%, -0.26%
08/11/2016, 7.18%, 0.75%, 0.49%
08/12/2016, 7.12%, 0.69%, -0.06%
08/15/2016, 7.54%, 1.09%, 0.39%
08/16/2016, 6.94%, 0.52%, -0.56%
08/17/2016, 7.07%, 0.64%, 0.12%
08/18/2016, 7.41%, 0.97%, 0.32%
08/19/2016, 7.21%, 0.78%, -0.19%
08/22/2016, 7.2%, 0.77%, -0.01%
08/23/2016, 7.48%, 1.03%, 0.26%
08/24/2016, 6.89%, 0.48%, -0.55%
08/25/2016, 6.8%, 0.39%, -0.08%
08/26/2016, 6.59%, 0.19%, -0.2%
08/29/2016, 7.15%, 0.71%, 0.53%
08/30/2016, 6.98%, 0.55%, -0.16%
08/31/2016, 6.72%, 0.32%, -0.23%
09/01/2016, 6.79%, 0.06%, 0.06%
09/02/2016, 7.38%, 0.62%, 0.56%
09/06/2016, 7.78%, 0.99%, 0.37%
09/07/2016, 7.9%, 1.11%, 0.11%
09/08/2016, 7.64%, 0.87%, -0.24%
09/09/2016, 4.98%, -1.63%, -2.47%
09/12/2016, 5.85%, -0.81%, 0.83%
09/13/2016, 4.19%, -2.38%, -1.58%
09/14/2016, 4.13%, -2.43%, -0.05%
09/15/2016, 5.2%, -1.42%, 1.03%
09/16/2016, 4.75%, -1.85%, -0.43%
09/19/2016, 4.93%, -1.68%, 0.17%
09/20/2016, 4.93%, -1.68%, -0%
09/21/2016, 6.17%, -0.52%, 1.18%
09/22/2016, 7%, 0.26%, 0.78%
09/23/2016, 6.37%, -0.33%, -0.59%
09/26/2016, 5.47%, -1.18%, -0.85%
09/27/2016, 6.07%, -0.61%, 0.58%
09/28/2016, 6.72%, -0%, 0.61%
09/29/2016, 5.69%, -0.97%, -0.96%
09/30/2016, 6.49%, -0.21%, 0.76%
10/03/2016, 6.19%, -0.29%, -0.29%
10/04/2016, 5.7%, -0.74%, -0.46%
10/05/2016, 6.19%, -0.28%, 0.46%
10/06/2016, 6.14%, -0.33%, -0.05%
10/07/2016, 5.74%, -0.71%, -0.38%
10/10/2016, 6.27%, -0.21%, 0.5%
10/11/2016, 4.86%, -1.54%, -1.33%
10/12/2016, 4.96%, -1.44%, 0.09%
10/13/2016, 4.58%, -1.79%, -0.36%
10/14/2016, 4.56%, -1.82%, -0.02%
10/17/2016, 4.29%, -2.07%, -0.26%
10/18/2016, 4.98%, -1.42%, 0.66%
10/19/2016, 5.28%, -1.13%, 0.29%
10/20/2016, 5.12%, -1.29%, -0.16%
10/21/2016, 5.08%, -1.33%, -0.04%
10/24/2016, 5.55%, -0.88%, 0.45%
10/25/2016, 5.1%, -1.31%, -0.43%
10/26/2016, 4.82%, -1.57%, -0.27%
10/27/2016, 4.38%, -1.98%, -0.42%
10/28/2016, 4.14%, -2.21%, -0.23%
10/31/2016, 4.18%, -2.17%, 0.05%
11/01/2016, 3.48%, -0.68%, -0.68%
11/02/2016, 2.7%, -1.42%, -0.75%
11/03/2016, 2.3%, -1.81%, -0.39%
11/04/2016, 2.17%, -1.93%, -0.13%
11/07/2016, 4.35%, 0.16%, 2.13%
11/08/2016, 4.77%, 0.56%, 0.4%
11/09/2016, 5.97%, 1.71%, 1.14%
11/10/2016, 6.16%, 1.89%, 0.18%
11/11/2016, 6.15%, 1.88%, -0.02%
11/14/2016, 6.32%, 2.04%, 0.16%
11/15/2016, 7.07%, 2.76%, 0.7%
11/16/2016, 6.88%, 2.58%, -0.18%
11/17/2016, 7.41%, 3.09%, 0.49%
11/18/2016, 7.18%, 2.87%, -0.21%
11/21/2016, 7.97%, 3.62%, 0.73%
11/22/2016, 8.3%, 3.94%, 0.31%
11/23/2016, 8.42%, 4.06%, 0.11%
11/25/2016, 8.84%, 4.45%, 0.38%
11/28/2016, 8.22%, 3.86%, -0.56%
11/29/2016, 8.38%, 4.02%, 0.15%
11/30/2016, 8.14%, 3.79%, -0.21%
12/01/2016, 7.72%, -0.39%, -0.39%
12/02/2016, 7.78%, -0.34%, 0.06%
12/05/2016, 8.56%, 0.38%, 0.72%
12/06/2016, 9.07%, 0.86%, 0.47%
12/07/2016, 10.45%, 2.14%, 1.27%
12/08/2016, 10.84%, 2.49%, 0.35%
12/09/2016, 11.36%, 2.97%, 0.47%
12/12/2016, 11.07%, 2.71%, -0.26%
12/13/2016, 11.75%, 3.34%, 0.62%
12/14/2016, 10.69%, 2.35%, -0.96%
12/15/2016, 11.11%, 2.73%, 0.38%
12/16/2016, 10.94%, 2.58%, -0.15%
12/19/2016, 10.45%, 2.12%, -0.45%
12/20/2016, 10.89%, 2.53%, 0.4%
12/21/2016, 10.6%, 2.26%, -0.26%
12/22/2016, 10.31%, 1.99%, -0.27%
12/23/2016, 10.51%, 2.17%, 0.18%
12/27/2016, 10.76%, 2.41%, 0.23%
12/28/2016, 9.9%, 1.61%, -0.77%
12/29/2016, 9.96%, 1.67%, 0.06%
12/30/2016, 9.53%, 1.29%, -0.38%
