Date, YTD, MTD, Day
01/03/2011, 0.26%, 0.26%, 0.26%
01/04/2011, 0.26%, 0.26%, -0.01%
01/05/2011, -0.08%, -0.08%, -0.34%
01/06/2011, -0.14%, -0.14%, -0.06%
01/07/2011, -0.05%, -0.05%, 0.09%
01/10/2011, -0.09%, -0.09%, -0.03%
01/11/2011, 0.06%, 0.06%, 0.15%
01/12/2011, 0.54%, 0.54%, 0.48%
01/13/2011, 0.71%, 0.71%, 0.17%
01/14/2011, 0.87%, 0.87%, 0.15%
01/18/2011, 0.93%, 0.93%, 0.06%
01/19/2011, 0.64%, 0.64%, -0.28%
01/20/2011, 0.15%, 0.15%, -0.48%
01/21/2011, 0.27%, 0.27%, 0.12%
01/24/2011, 0.53%, 0.53%, 0.25%
01/25/2011, 0.68%, 0.68%, 0.15%
01/26/2011, 0.77%, 0.77%, 0.09%
01/27/2011, 0.97%, 0.97%, 0.2%
01/28/2011, 0.32%, 0.32%, -0.63%
01/31/2011, 0.47%, 0.47%, 0.14%
02/01/2011, 1.08%, 0.6%, 0.6%
02/02/2011, 0.99%, 0.52%, -0.08%
02/03/2011, 0.84%, 0.36%, -0.15%
02/04/2011, 0.67%, 0.19%, -0.18%
02/07/2011, 0.84%, 0.36%, 0.17%
02/08/2011, 0.78%, 0.29%, -0.07%
02/09/2011, 0.79%, 0.3%, 0.02%
02/10/2011, 0.44%, -0.05%, -0.35%
02/11/2011, 0.78%, 0.3%, 0.34%
02/14/2011, 1%, 0.51%, 0.21%
02/15/2011, 0.93%, 0.44%, -0.06%
02/16/2011, 1.3%, 0.8%, 0.35%
02/17/2011, 1.58%, 1.09%, 0.28%
02/18/2011, 1.69%, 1.2%, 0.1%
02/22/2011, 0.92%, 0.44%, -0.71%
02/23/2011, 0.75%, 0.27%, -0.16%
02/24/2011, 0.77%, 0.29%, 0.02%
02/25/2011, 1.36%, 0.87%, 0.58%
02/28/2011, 1.7%, 1.21%, 0.33%
03/01/2011, 1.25%, -0.43%, -0.43%
03/02/2011, 1.2%, -0.48%, -0.05%
03/03/2011, 1.57%, -0.14%, 0.35%
03/04/2011, 1.59%, -0.11%, 0.03%
03/07/2011, 1.17%, -0.51%, -0.4%
03/08/2011, 1.29%, -0.4%, 0.11%
03/09/2011, 1.41%, -0.28%, 0.12%
03/10/2011, 0.8%, -0.85%, -0.57%
03/11/2011, 0.91%, -0.75%, 0.1%
03/14/2011, 0.58%, -1.07%, -0.32%
03/15/2011, -0.01%, -1.63%, -0.59%
03/16/2011, -0.5%, -2.08%, -0.49%
