Date, YTD, MTD, Day
01/03/2012, 0.55%, 0.55%, 0.55%
01/04/2012, 0.45%, 0.45%, -0.1%
01/05/2012, 0.36%, 0.36%, -0.09%
01/06/2012, 0.33%, 0.33%, -0.02%
01/09/2012, 0.5%, 0.5%, 0.16%
01/10/2012, 0.84%, 0.84%, 0.34%
01/11/2012, 1.01%, 1.01%, 0.18%
01/12/2012, 1.13%, 1.13%, 0.11%
01/13/2012, 1.03%, 1.03%, -0.09%
01/17/2012, 1.31%, 1.31%, 0.27%
01/18/2012, 1.62%, 1.62%, 0.3%
01/19/2012, 1.75%, 1.75%, 0.12%
01/20/2012, 1.68%, 1.68%, -0.07%
01/23/2012, 1.71%, 1.71%, 0.02%
01/24/2012, 1.65%, 1.65%, -0.05%
01/25/2012, 2.14%, 2.14%, 0.46%
01/26/2012, 2.25%, 2.25%, 0.12%
01/27/2012, 2.34%, 2.34%, 0.09%
01/30/2012, 2.26%, 2.26%, -0.07%
01/31/2012, 2.43%, 2.43%, 0.16%
02/01/2012, 2.83%, 0.38%, 0.38%
02/02/2012, 2.98%, 0.52%, 0.14%
02/03/2012, 3.31%, 0.82%, 0.29%
02/06/2012, 3.36%, 0.87%, 0.06%
02/07/2012, 3.27%, 0.79%, -0.09%
02/08/2012, 3.38%, 0.89%, 0.1%
02/09/2012, 3.38%, 0.88%, -0.01%
02/10/2012, 3.09%, 0.61%, -0.25%
02/13/2012, 3.42%, 0.92%, 0.3%
02/14/2012, 3.37%, 0.88%, -0.04%
02/15/2012, 3.27%, 0.79%, -0.09%
02/16/2012, 3.59%, 1.09%, 0.29%
02/17/2012, 3.62%, 1.11%, 0.02%
02/21/2012, 3.52%, 1.01%, -0.1%
02/22/2012, 3.58%, 1.07%, 0.07%
02/23/2012, 3.8%, 1.28%, 0.2%
02/24/2012, 3.96%, 1.44%, 0.15%
02/27/2012, 4.02%, 1.5%, 0.07%
02/28/2012, 4.21%, 1.68%, 0.17%
02/29/2012, 3.92%, 1.4%, -0.26%
03/01/2012, 4.08%, 0.13%, 0.13%
03/02/2012, 4.05%, 0.12%, -0.01%
03/05/2012, 3.74%, -0.17%, -0.28%
03/06/2012, 3.08%, -0.75%, -0.59%
03/07/2012, 3.28%, -0.59%, 0.18%
03/08/2012, 3.68%, -0.23%, 0.36%
03/09/2012, 3.77%, -0.15%, 0.08%
03/12/2012, 3.71%, -0.2%, -0.05%
03/13/2012, 4.15%, 0.17%, 0.37%
03/14/2012, 3.65%, -0.31%, -0.48%
03/15/2012, 3.96%, -0.03%, 0.28%
03/16/2012, 4.05%, 0.05%, 0.08%
03/19/2012, 4.01%, 0.01%, -0.05%
03/20/2012, 3.77%, -0.21%, -0.22%
03/21/2012, 3.86%, -0.11%, 0.11%
03/22/2012, 3.62%, -0.33%, -0.21%
03/23/2012, 3.79%, -0.17%, 0.17%
03/26/2012, 4.27%, 0.27%, 0.43%
03/27/2012, 4.3%, 0.31%, 0.04%
03/28/2012, 4.03%, 0.06%, -0.25%
03/29/2012, 4.03%, 0.07%, 0.02%
03/30/2012, 3.95%, -0.02%, -0.1%
04/02/2012, 4.35%, 0.36%, 0.36%
04/03/2012, 3.88%, -0.08%, -0.44%
04/04/2012, 3.44%, -0.46%, -0.38%
04/05/2012, 3.51%, -0.39%, 0.08%
04/09/2012, 3.48%, -0.37%, 0.02%
04/10/2012, 2.83%, -0.94%, -0.59%
04/11/2012, 3.06%, -0.75%, 0.2%
04/12/2012, 3.58%, -0.29%, 0.48%
04/13/2012, 3.23%, -0.59%, -0.31%
04/16/2012, 3.26%, -0.56%, 0.03%
04/17/2012, 3.83%, -0.05%, 0.52%
04/18/2012, 3.65%, -0.21%, -0.16%
04/19/2012, 3.52%, -0.32%, -0.11%
04/20/2012, 3.64%, -0.22%, 0.11%
04/23/2012, 3.27%, -0.54%, -0.33%
04/24/2012, 3.32%, -0.51%, 0.04%
04/25/2012, 3.84%, -0.05%, 0.48%
04/26/2012, 4.14%, 0.23%, 0.27%
04/27/2012, 4.26%, 0.34%, 0.11%
04/30/2012, 4.15%, 0.25%, -0.09%
05/01/2012, 4.26%, 0.09%, 0.09%
05/02/2012, 4.22%, 0.06%, -0.03%
05/03/2012, 3.95%, -0.17%, -0.24%
05/04/2012, 3.44%, -0.62%, -0.45%
05/07/2012, 3.5%, -0.57%, 0.05%
05/08/2012, 3.23%, -0.82%, -0.25%
05/09/2012, 2.93%, -1.08%, -0.28%
05/10/2012, 3%, -1.03%, 0.06%
05/11/2012, 2.92%, -1.09%, -0.07%
05/14/2012, 2.52%, -1.44%, -0.37%
05/15/2012, 2.19%, -1.75%, -0.32%
05/16/2012, 1.95%, -1.97%, -0.23%
05/17/2012, 1.52%, -2.34%, -0.4%
05/18/2012, 1.17%, -2.66%, -0.34%
05/21/2012, 1.67%, -2.22%, 0.5%
05/22/2012, 1.6%, -2.29%, -0.08%
05/23/2012, 1.56%, -2.33%, -0.04%
05/24/2012, 1.51%, -2.38%, -0.05%
05/25/2012, 1.49%, -2.39%, -0.02%
05/29/2012, 1.88%, -2.04%, 0.39%
05/30/2012, 1.55%, -2.32%, -0.31%
05/31/2012, 1.64%, -2.22%, 0.1%
06/01/2012, 0.99%, -0.63%, -0.63%
06/04/2012, 0.83%, -0.79%, -0.16%
06/05/2012, 0.95%, -0.68%, 0.12%
06/06/2012, 1.57%, -0.07%, 0.62%
06/07/2012, 1.67%, 0.03%, 0.1%
06/08/2012, 1.81%, 0.16%, 0.13%
06/11/2012, 1.45%, -0.19%, -0.34%
06/12/2012, 1.78%, 0.13%, 0.32%
06/13/2012, 1.65%, 0.01%, -0.12%
06/14/2012, 1.93%, 0.28%, 0.27%
06/15/2012, 2.46%, 0.79%, 0.51%
06/18/2012, 2.58%, 0.92%, 0.12%
06/19/2012, 2.92%, 1.25%, 0.32%
06/20/2012, 2.86%, 1.19%, -0.06%
06/21/2012, 2.09%, 0.44%, -0.71%
06/22/2012, 2.03%, 0.38%, -0.07%
06/25/2012, 1.59%, -0.05%, -0.41%
06/26/2012, 1.71%, 0.07%, 0.12%
06/27/2012, 2.1%, 0.45%, 0.38%
06/28/2012, 2.09%, 0.44%, -0.01%
06/29/2012, 3.01%, 1.34%, 0.89%
07/02/2012, 3.34%, 0.32%, 0.32%
07/03/2012, 3.61%, 0.57%, 0.25%
07/05/2012, 3.44%, 0.4%, -0.16%
07/06/2012, 3.16%, 0.15%, -0.25%
07/09/2012, 3.18%, 0.18%, 0.02%
07/10/2012, 2.9%, -0.08%, -0.26%
07/11/2012, 2.91%, -0.07%, 0.01%
07/12/2012, 2.77%, -0.2%, -0.13%
07/13/2012, 3.3%, 0.29%, 0.51%
07/16/2012, 3.33%, 0.33%, 0.04%
07/17/2012, 3.51%, 0.49%, 0.17%
07/18/2012, 3.79%, 0.75%, 0.26%
07/19/2012, 3.95%, 0.91%, 0.16%
07/20/2012, 3.6%, 0.58%, -0.32%
07/23/2012, 3.19%, 0.2%, -0.39%
07/24/2012, 2.89%, -0.08%, -0.29%
07/25/2012, 3%, 0.03%, 0.12%
07/26/2012, 3.56%, 0.55%, 0.54%
07/27/2012, 4.05%, 1%, 0.45%
07/30/2012, 4.17%, 1.11%, 0.12%
07/31/2012, 4.1%, 1.06%, -0.05%
08/01/2012, 3.85%, -0.24%, -0.24%
08/02/2012, 3.61%, -0.46%, -0.22%
08/03/2012, 4.24%, 0.12%, 0.59%
08/06/2012, 4.44%, 0.31%, 0.19%
08/07/2012, 4.51%, 0.36%, 0.05%
08/08/2012, 4.48%, 0.33%, -0.04%
08/09/2012, 4.49%, 0.34%, 0.01%
08/10/2012, 4.62%, 0.46%, 0.12%
08/13/2012, 4.54%, 0.38%, -0.08%
08/14/2012, 4.36%, 0.21%, -0.18%
08/15/2012, 4.24%, 0.09%, -0.12%
08/16/2012, 4.45%, 0.28%, 0.18%
08/17/2012, 4.59%, 0.41%, 0.13%
08/20/2012, 4.61%, 0.43%, 0.03%
08/21/2012, 4.58%, 0.41%, -0.03%
08/22/2012, 4.87%, 0.7%, 0.29%
